dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500011,10.160000,0.000007,0.001471,0.147059,14.705882,6.283176
0.010000,1.500006,10.160000,0.000012,0.000426,-0.104412,-25.147121,6.283180
0.010000,1.500020,10.160000,0.000025,0.001335,0.090810,19.522272,0.000003
0.010000,1.500120,10.160000,0.000126,0.010059,0.872420,78.160994,0.000018
0.010000,1.500277,10.160000,0.000283,0.015717,0.565790,-30.662984,0.000041
0.010000,1.500504,10.160000,0.000509,0.022632,0.691503,12.571224,0.000074
0.010000,1.500812,10.160000,0.000817,0.030804,0.817193,12.569074,0.000119
0.010000,1.501214,10.160000,0.001219,0.040232,0.942863,12.566944,0.000178
0.010000,1.501723,10.160000,0.001729,0.050917,1.068496,12.563349,0.000252
0.010000,1.502352,10.160000,0.002357,0.062858,1.194089,12.559244,0.000344
0.010000,1.503112,10.160001,0.003118,0.076054,1.319627,12.553773,0.000455
0.010000,1.504017,10.160001,0.004023,0.090505,1.445100,12.547303,0.000588
0.010000,1.505079,10.160002,0.005085,0.106210,1.570495,12.539532,0.000744
0.010000,1.506311,10.160003,0.006317,0.123168,1.695797,12.530166,0.000924
0.010000,1.507725,10.160004,0.007730,0.141378,1.820990,12.519318,0.001132
0.010000,1.509333,10.160006,0.009339,0.160839,1.946060,12.507072,0.001368
0.010000,1.511149,10.160009,0.011154,0.181549,2.070983,12.492307,0.001635
0.010000,1.513178,10.160013,0.013183,0.202878,2.132941,6.195787,0.001933
0.010000,1.515420,10.160017,0.015425,0.224198,2.131963,-0.097852,0.002263
0.010000,1.517875,10.160023,0.017880,0.245506,2.130877,-0.108553,0.002625
0.010000,1.520543,10.160031,0.020548,0.266803,2.129687,-0.119053,0.003019
0.010000,1.523424,10.160040,0.023429,0.288087,2.128391,-0.129584,0.003445
0.010000,1.526517,10.160052,0.026522,0.309357,2.126984,-0.140695,0.003903
0.010000,1.529823,10.160065,0.029829,0.330612,2.125472,-0.151177,0.004394
0.010000,1.533342,10.160082,0.033347,0.351850,2.123848,-0.162386,0.004917
0.010000,1.537072,10.160101,0.037078,0.373071,2.122116,-0.173251,0.005472
0.010000,1.541015,10.160124,0.041021,0.394274,2.120271,-0.184460,0.006060
0.010000,1.545169,10.160150,0.045175,0.415457,2.118313,-0.195793,0.006681
0.010000,1.549536,10.160181,0.049541,0.436620,2.116242,-0.207115,0.007335
0.010000,1.554113,10.160216,0.054119,0.457760,2.114056,-0.218663,0.008023
0.010000,1.558902,10.160256,0.058908,0.478878,2.111753,-0.230260,0.008744
0.010000,1.563901,10.160302,0.063907,0.499971,2.109331,-0.242236,0.009498
0.010000,1.569111,10.160353,0.069118,0.521039,2.106791,-0.253991,0.010287
0.010000,1.574532,10.160411,0.074539,0.542080,2.104128,-0.266315,0.011109
0.010000,1.580162,10.160476,0.080170,0.563094,2.101343,-0.278470,0.011966
0.010000,1.586003,10.160549,0.086010,0.584078,2.098432,-0.291043,0.012858
