dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499989,7.840000,0.000003,0.000500,0.050000,5.000000,6.283176
0.010000,1.499990,7.840000,0.000004,0.000145,-0.035500,-8.550026,6.283177
0.010000,1.499993,7.840000,0.000007,0.000326,0.018125,5.362507,6.283180
0.010000,1.499999,7.840000,0.000013,0.000580,0.025375,0.725029,6.283185
0.010000,1.500066,7.840000,0.000080,0.006656,0.607627,58.225209,0.000007
0.010000,1.500169,7.840000,0.000183,0.010305,0.364878,-24.274931,0.000018
0.010000,1.500309,7.840000,0.000323,0.014026,0.372135,0.725681,0.000034
0.010000,1.500492,7.840000,0.000506,0.018320,0.429391,5.725640,0.000054
0.010000,1.500724,7.840000,0.000738,0.023187,0.486652,5.726129,0.000079
0.010000,1.501010,7.840000,0.001024,0.028626,0.543920,5.726756,0.000110
0.010000,1.501357,7.840000,0.001371,0.034638,0.601193,5.727296,0.000148
0.010000,1.501769,7.840000,0.001783,0.041223,0.658472,5.727906,0.000193
0.010000,1.502253,7.840000,0.002267,0.048380,0.715761,5.728923,0.000246
0.010000,1.502814,7.840000,0.002828,0.056111,0.773061,5.729969,0.000307
0.010000,1.503458,7.840001,0.003472,0.064415,0.830374,5.731267,0.000378
0.010000,1.504191,7.840001,0.004205,0.073292,0.887700,5.732657,0.000458
0.010000,1.505018,7.840001,0.005032,0.082742,0.945043,5.734289,0.000548
0.010000,1.505946,7.840002,0.005960,0.092766,1.002404,5.736140,0.000650
0.010000,1.506980,7.840003,0.006994,0.103364,1.059788,5.738387,0.000763
0.010000,1.508125,7.840004,0.008139,0.114536,1.117193,5.740485,0.000888
0.010000,1.509388,7.840005,0.009402,0.126282,1.174626,5.743261,0.001026
0.010000,1.510774,7.840006,0.010788,0.138603,1.232086,5.746059,0.001178
0.010000,1.512289,7.840008,0.012303,0.151499,1.289579,5.749308,0.001344
0.010000,1.513939,7.840011,0.013952,0.164970,1.347108,5.752819,0.001525
0.010000,1.515729,7.840014,0.015743,0.179017,1.404673,5.756538,0.001721
0.010000,1.517665,7.840017,0.017679,0.193639,1.462280,5.760711,0.001933
0.010000,1.519754,7.840021,0.019767,0.208839,1.519934,5.765412,0.002163
0.010000,1.522000,7.840026,0.022014,0.224615,1.577634,5.769979,0.002409
0.010000,1.524409,7.840033,0.024423,0.240969,1.635388,5.775388,0.002674
0.010000,1.526988,7.840040,0.027002,0.257901,1.693198,5.781059,0.002958
0.010000,1.529740,7.840048,0.029753,0.275125,1.722410,2.921180,0.003261
0.010000,1.532663,7.840058,0.032677,0.292355,1.723009,0.059867,0.003583
0.010000,1.535759,7.840070,0.035773,0.309592,1.723646,0.063704,0.003924
0.010000,1.539027,7.840083,0.039041,0.326835,1.724322,0.067568,0.004285
0.010000,1.542468,7.840099,0.042482,0.344085,1.725036,0.071459,0.004665
0.010000,1.546082,7.840116,0.046096,0.361343,1.725791,0.075507,0.005064
0.010000,1.549868,7.840136,0.049882,0.378609,1.726587,0.079563,0.005483
0.010000,1.553826,7.840159,0.053840,0.395883,1.727420,0.083318,0.005922
0.010000,1.557958,7.840184,0.057972,0.413166,1.728295,0.087463,0.006380
0.010000,1.562263,7.840213,0.062277,0.430458,1.729213,0.091778,0.006858
0.010000,1.566740,7.840245,0.066754,0.447760,1.730168,0.095512,0.007356
0.010000,1.571391,7.840280,0.071405,0.465072,1.731166,0.099812,0.007874
0.010000,1.576214,7.840319,0.076229,0.482394,1.732206,0.103995,0.008412
0.010000,1.581211,7.840363,0.081226,0.499727,1.733288,0.108197,0.008970
0.010000,1.586382,7.840411,0.086397,0.517071,1.734414,0.112622,0.009548
0.010000,1.591726,7.840463,0.091741,0.534426,1.735580,0.116650,0.010147
0.010000,1.597244,7.840521,0.097259,0.551794,1.736791,0.121035,0.010765
0.010000,1.602935,7.840584,0.102951,0.569175,1.738048,0.125745,0.011405
0.010000,1.608800,7.840653,0.108817,0.586568,1.739346,0.129763,0.012065
0.010000,1.614840,7.840728,0.114856,0.603975,1.740692,0.134623,0.012746
0.010000,1.621053,7.840809,0.121070,0.621396,1.742080,0.138780,0.013447
0.010000,1.627441,7.840897,0.127459,0.638831,1.743519,0.143939,0.014170
0.010000,1.634003,7.840993,0.134021,0.656281,1.744999,0.147988,0.014914
0.010000,1.640739,7.841096,0.140759,0.673747,1.746529,0.152988,0.015679
0.010000,1.647651,7.841207,0.147671,0.691228,1.748107,0.157781,0.016465
0.010000,1.654737,7.841327,0.154758,0.708725,1.749734,0.162698,0.017273
0.010000,1.661998,7.841455,0.162021,0.726239,1.751407,0.167320,0.018103
0.010000,1.669435,7.841593,0.169459,0.743770,1.753131,0.172434,0.018955
0.010000,1.677047,7.841740,0.177072,0.761319,1.754906,0.177457,0.019828
0.010000,1.684834,7.841898,0.184861,0.778887,1.756731,0.182549,0.020724
0.010000,1.692797,7.842067,0.192825,0.796473,1.758609,0.187714,0.021641
0.010000,1.700936,7.842247,0.200966,0.814078,1.760538,0.192952,0.022582
0.010000,1.709250,7.842439,0.209283,0.831703,1.762521,0.198266,0.023545
0.010000,1.717741,7.842643,0.217777,0.849349,1.764557,0.203657,0.024531
0.010000,1.726409,7.842860,0.226447,0.867015,1.766649,0.209128,0.025539
0.010000,1.735253,7.843091,0.235294,0.884703,1.768795,0.214680,0.026571
0.010000,1.744274,7.843335,0.244318,0.902413,1.770999,0.220355,0.027626
0.010000,1.753471,7.843594,0.253519,0.920146,1.773260,0.226081,0.028705
0.010000,1.762846,7.843869,0.262898,0.937902,1.775578,0.231795,0.029808
0.010000,1.772399,7.844159,0.272455,0.955681,1.777955,0.237750,0.030934
0.010000,1.782129,7.844465,0.282190,0.973485,1.780393,0.243739,0.032085
0.010000,1.792037,7.844789,0.292103,0.991314,1.782892,0.249929,0.033260
0.010000,1.802123,7.845131,0.302195,1.009169,1.785453,0.256117,0.034460
0.010000,1.812387,7.845491,0.312465,1.027049,1.788074,0.262112,0.035685
0.010000,1.822830,7.845870,0.322915,1.044957,1.790765,0.269046,0.036934
0.010000,1.833451,7.846270,0.333544,1.062892,1.793514,0.274908,0.038209
0.010000,1.844251,7.846689,0.344352,1.080856,1.796336,0.282216,0.039510
0.010000,1.855231,7.847131,0.355341,1.098848,1.799219,0.288334,0.040836
0.010000,1.866390,7.847594,0.366510,1.116869,1.802174,0.295454,0.042188
0.010000,1.877729,7.848081,0.377859,1.134921,1.805198,0.302406,0.043567
0.010000,1.889248,7.848591,0.389389,1.153004,1.808292,0.309449,0.044972
0.010000,1.900947,7.849126,0.401100,1.171119,1.811458,0.316605,0.046404
0.010000,1.912826,7.849686,0.412993,1.189266,1.814698,0.323917,0.047863
0.010000,1.924886,7.850273,0.425067,1.207446,1.818014,0.331645,0.049350
0.010000,1.937127,7.850887,0.437324,1.225660,1.821401,0.338690,0.050864
0.010000,1.949550,7.851529,0.449763,1.243909,1.824869,0.346802,0.052407
0.010000,1.962154,7.852200,0.462385,1.262193,1.828415,0.354629,0.053977
0.010000,1.974940,7.852901,0.475190,1.280513,1.832041,0.362545,0.055576
0.010000,1.987908,7.853633,0.488179,1.298871,1.835747,0.370589,0.057205
0.010000,2.001058,7.854397,0.501351,1.317266,1.839535,0.378829,0.058862
0.010000,2.014392,7.855194,0.514708,1.335700,1.843411,0.387605,0.060549
0.010000,2.027908,7.856025,0.528250,1.354174,1.847369,0.395799,0.062266
0.010000,2.041607,7.856891,0.541977,1.372688,1.851415,0.404621,0.064014
0.010000,2.055491,7.857793,0.555889,1.391244,1.855553,0.413778,0.065792
0.010000,2.069558,7.858733,0.569988,1.409841,1.859776,0.422270,0.067601
0.010000,2.083809,7.859711,0.584273,1.428482,1.864096,0.432050,0.069441
0.010000,2.098245,7.860729,0.598744,1.447167,1.868508,0.441161,0.071313
0.010000,2.112865,7.861787,0.613403,1.465898,1.873014,0.450670,0.073217
0.010000,2.127671,7.862888,0.628250,1.484674,1.877618,0.460377,0.075154
0.010000,2.142663,7.864031,0.643285,1.503497,1.882322,0.470384,0.077124
0.010000,2.157840,7.865219,0.658509,1.522368,1.887126,0.480356,0.079127
0.010000,2.173203,7.866453,0.673922,1.541289,1.892032,0.490684,0.081164
0.010000,2.188753,7.867734,0.689524,1.560259,1.897042,0.501006,0.083235
0.010000,2.204490,7.869064,0.705317,1.579281,1.902159,0.511675,0.085341
0.010000,2.220414,7.870443,0.721300,1.598354,1.907384,0.522506,0.087482
0.010000,2.236525,7.871874,0.737475,1.617482,1.912718,0.533420,0.089659
0.010000,2.252825,7.873357,0.753842,1.636663,1.918164,0.544589,0.091871
0.010000,2.269312,7.874895,0.770401,1.655900,1.923726,0.556173,0.094120
0.010000,2.285988,7.876489,0.787153,1.675194,1.929400,0.567388,0.096407
0.010000,2.302853,7.878139,0.804098,1.694546,1.935196,0.579572,0.098730
0.010000,2.319907,7.879849,0.821238,1.713958,1.941107,0.591135,0.101092
0.010000,2.337151,7.881619,0.838572,1.733429,1.947142,0.603495,0.103492
0.010000,2.354584,7.883451,0.856102,1.752962,1.953302,0.615993,0.105932
0.010000,2.372208,7.885347,0.873827,1.772558,1.959587,0.628506,0.108411
0.010000,2.390023,7.887309,0.891750,1.792218,1.965997,0.641013,0.110930
0.010000,2.408028,7.889338,0.909869,1.811943,1.972540,0.654318,0.113490
0.010000,2.426225,7.891436,0.928186,1.831735,1.979215,0.667435,0.116091
0.010000,2.444614,7.893605,0.946702,1.851596,1.986021,0.680682,0.118734
0.010000,2.463194,7.895846,0.965418,1.871525,1.992967,0.694572,0.121419
0.010000,2.481967,7.898163,0.984333,1.891526,2.000050,0.708262,0.124148
0.010000,2.500932,7.900556,1.003449,1.911598,2.007270,0.721998,0.126920
0.010000,2.520091,7.903029,1.022766,1.931745,2.014635,0.736505,0.129737
0.010000,2.539443,7.905582,1.042286,1.951966,2.022144,0.750925,0.132599
0.010000,2.558989,7.908218,1.062009,1.972264,2.029797,0.765330,0.135506
0.010000,2.578729,7.910939,1.081935,1.992640,2.037600,0.780262,0.138460
0.010000,2.598663,7.913747,1.102066,2.013096,2.045552,0.795212,0.141461
0.010000,2.618791,7.916645,1.122402,2.033632,2.053657,0.810482,0.144510
0.010000,2.639115,7.919635,1.142945,2.054251,2.061912,0.825537,0.147607
0.010000,2.659634,7.922718,1.163694,2.074955,2.070326,0.841373,0.150753
0.010000,2.680349,7.925899,1.184652,2.095744,2.078894,0.856782,0.153949
0.010000,2.701260,7.929179,1.205818,2.116620,2.087622,0.872856,0.157196
0.010000,2.722366,7.932560,1.227194,2.137585,2.096508,0.888569,0.160494
0.010000,2.743670,7.936045,1.248780,2.158640,2.105558,0.904996,0.163844
0.010000,2.765169,7.939637,1.270578,2.179788,2.114767,0.920929,0.167247
0.010000,2.786866,7.943338,1.292588,2.201030,2.124143,0.937565,0.170705
0.010000,2.808760,7.947152,1.314812,2.222366,2.133679,0.953588,0.174216
0.010000,2.830852,7.951081,1.337250,2.243800,2.143386,0.970702,0.177784
0.010000,2.853141,7.955127,1.359903,2.265333,2.153254,0.986767,0.181407
0.010000,2.875627,7.959295,1.382773,2.286966,2.163290,1.003662,0.185088
0.010000,2.898312,7.963586,1.405860,2.308701,2.173493,1.020280,0.188827
0.010000,2.921195,7.968004,1.429165,2.330539,2.183862,1.036926,0.192625
0.010000,2.944276,7.972552,1.452690,2.352483,2.194400,1.053806,0.196482
0.010000,2.967555,7.977233,1.476436,2.374534,2.205100,1.069958,0.200401
0.010000,2.991033,7.982051,1.500403,2.396694,2.215968,1.086826,0.204381
0.010000,3.014709,7.987008,1.524592,2.418964,2.227000,1.103219,0.208424
0.010000,3.038584,7.992109,1.549006,2.441346,2.238194,1.119320,0.212530
0.010000,3.062657,7.997356,1.573644,2.463841,2.249551,1.135728,0.216701
0.010000,3.086929,8.002753,1.598509,2.486452,2.261063,1.151233,0.220938
0.010000,3.111399,8.008305,1.623600,2.509179,2.272737,1.167387,0.225241
0.010000,3.136067,8.014014,1.648921,2.532025,2.284559,1.182187,0.229612
0.010000,3.160933,8.019884,1.674471,2.554990,2.296534,1.197503,0.234052
0.010000,3.185998,8.025919,1.700251,2.578077,2.308656,1.212180,0.238561
0.010000,3.211260,8.032124,1.726264,2.601286,2.320916,1.226079,0.243141
0.010000,3.236719,8.038502,1.752510,2.624619,2.333315,1.239843,0.247793
0.010000,3.262376,8.045057,1.778991,2.648078,2.345845,1.253013,0.252518
0.010000,3.288229,8.051794,1.805708,2.671663,2.358496,1.265137,0.257316
0.010000,3.314279,8.058717,1.832661,2.695375,2.371269,1.277233,0.262190
0.010000,3.340524,8.065830,1.859854,2.719217,2.384147,1.287863,0.267141
0.010000,3.366964,8.073138,1.887286,2.743188,2.397128,1.298088,0.272168
