dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500000,7.840000,0.000007,0.001481,0.148148,14.814815,0.000000
0.010000,1.500000,7.840000,0.000007,0.000000,-0.148148,-29.629630,0.000000
0.010000,1.500019,7.840000,0.000026,0.001870,0.187037,33.518519,0.000000
0.010000,1.500137,7.840000,0.000145,0.011852,0.998148,81.111111,0.000000
0.010000,1.500322,7.840000,0.000330,0.018519,0.666667,-33.148148,0.000000
0.010000,1.500589,7.840000,0.000596,0.026667,0.814815,14.814815,0.000000
0.010000,1.500952,7.840000,0.000959,0.036296,0.962963,14.814815,0.000000
0.010000,1.501426,7.840000,0.001434,0.047407,1.111111,14.814815,0.000000
0.010000,1.502026,7.840000,0.002034,0.060000,1.259259,14.814815,0.000000
0.010000,1.502767,7.840000,0.002774,0.074074,1.407407,14.814815,0.000000
0.010000,1.503663,7.840000,0.003671,0.089630,1.555556,14.814815,0.000000
0.010000,1.504730,7.840000,0.004737,0.106667,1.703704,14.814815,0.000000
0.010000,1.505982,7.840000,0.005989,0.125185,1.851852,14.814815,0.000000
0.010000,1.507434,7.840000,0.007441,0.145185,2.000000,14.814815,0.000000
0.010000,1.509100,7.840000,0.009108,0.166667,2.148148,14.814815,0.000000
0.010000,1.510996,7.840000,0.011004,0.189630,2.296296,14.814815,0.000000
0.010000,1.513137,7.840000,0.013145,0.214074,2.444444,14.814815,0.000000
0.010000,1.515537,7.840000,0.015545,0.240000,2.592593,14.814815,0.000000
0.010000,1.518211,7.840000,0.018219,0.267407,2.740741,14.814815,0.000000
0.010000,1.521174,7.840000,0.021182,0.296296,2.888889,14.814815,0.000000
0.010000,1.524441,7.840000,0.024448,0.326667,3.037037,14.814815,0.000000
0.010000,1.528026,7.840000,0.028034,0.358519,3.185185,14.814815,0.000000
0.010000,1.531945,7.840000,0.031952,0.391852,3.333333,14.814815,0.000000
0.010000,1.536211,7.840000,0.036219,0.426667,3.481481,14.814815,0.000000
0.010000,1.540841,7.840000,0.040848,0.462963,3.629630,14.814815,0.000000
0.010000,1.545848,7.840000,0.045856,0.500741,3.777778,14.814815,0.000000
0.010000,1.551248,7.840000,0.051256,0.540000,3.925926,14.814815,0.000000
0.010000,1.557048,7.840000,0.057056,0.580000,4.000000,7.407407,0.000000
0.010000,1.563248,7.840000,0.063256,0.620000,4.000000,0.000000,0.000000
0.010000,1.569848,7.840000,0.069856,0.660000,4.000000,0.000000,0.000000
0.010000,1.576848,7.840000,0.076856,0.700000,4.000000,-0.000000,0.000000
0.010000,1.584248,7.840000,0.084256,0.740000,4.000000,0.000000,0.000000
0.010000,1.592048,7.840000,0.092056,0.780000,4.000000,0.000000,0.000000
0.010000,1.600248,7.840000,0.100256,0.820000,4.000000,-0.000000,0.000000
0.010000,1.608848,7.840000,0.108856,0.860000,4.000000,0.000000,0.000000
0.010000,1.617848,7.840000,0.117856,0.900000,4.000000,-0.000000,0.000000
0.010000,1.627248,7.840000,0.127256,0.940000,4.000000,0.000000,0.000000
0.010000,1.637048,7.840000,0.137056,0.980000,4.000000,-0.000000,0.000000
0.010000,1.647248,7.840000,0.147256,1.020000,4.000000,0.000000,0.000000
0.010000,1.657848,7.840000,0.157856,1.060000,4.000000,-0.000000,0.000000
0.010000,1.668848,7.840000,0.168856,1.100000,4.000000,0.000000,0.000000
0.010000,1.680248,7.840000,0.180256,1.140000,4.000000,-0.000000,0.000000
0.010000,1.692048,7.840000,0.192056,1.180000,4.000000,0.000000,0.000000
0.010000,1.704248,7.840000,0.204256,1.220000,4.000000,-0.000000,0.000000
0.010000,1.716848,7.840000,0.216856,1.260000,4.000000,0.000000,0.000000
0.010000,1.729848,7.840000,0.229856,1.300000,4.000000,0.000000,0.000000
0.010000,1.743248,7.840000,0.243256,1.340000,4.000000,-0.000000,0.000000
0.010000,1.757048,7.840000,0.257056,1.380000,4.000000,0.000000,0.000000
0.010000,1.771248,7.840000,0.271256,1.420000,4.000000,-0.000000,0.000000
0.010000,1.785848,7.840000,0.285856,1.460000,4.000000,-0.000000,0.000000
0.010000,1.800848,7.840000,0.300856,1.500000,4.000000,0.000000,0.000000
0.010000,1.816248,7.840000,0.316256,1.540000,4.000000,0.000000,0.000000
0.010000,1.832048,7.840000,0.332056,1.580000,4.000000,-0.000000,0.000000
0.010000,1.848248,7.840000,0.348256,1.620000,4.000000,0.000000,0.000000
0.010000,1.864848,7.840000,0.364856,1.660000,4.000000,0.000000,0.000000
0.010000,1.881848,7.840000,0.381856,1.700000,4.000000,-0.000000,0.000000
0.010000,1.899248,7.840000,0.399256,1.740000,4.000000,0.000000,0.000000
0.010000,1.917048,7.840000,0.417056,1.780000,4.000000,-0.000000,0.000000
0.010000,1.935248,7.840000,0.435256,1.820000,4.000000,-0.000000,0.000000
0.010000,1.953848,7.840000,0.453856,1.860000,4.000000,0.000000,0.000000
0.010000,1.972848,7.840000,0.472856,1.900000,4.000000,0.000000,0.000000
0.010000,1.992248,7.840000,0.492256,1.940000,4.000000,0.000000,0.000000
0.010000,2.012048,7.840000,0.512056,1.980000,4.000000,0.000000,0.000000
0.010000,2.032248,7.840000,0.532256,2.020000,4.000000,0.000000,0.000000
0.010000,2.052848,7.840000,0.552856,2.060000,4.000000,0.000000,0.000000
0.010000,2.073848,7.840000,0.573856,2.100000,4.000000,-0.000000,0.000000
0.010000,2.095248,7.840000,0.595256,2.140000,4.000000,0.000000,0.000000
0.010000,2.117048,7.840000,0.617056,2.180000,4.000000,0.000000,0.000000
0.010000,2.139248,7.840000,0.639256,2.220000,4.000000,-0.000000,0.000000
0.010000,2.161848,7.840000,0.661856,2.260000,4.000000,0.000000,0.000000
0.010000,2.184848,7.840000,0.684856,2.300000,4.000000,0.000000,0.000000
0.010000,2.208248,7.840000,0.708256,2.340000,4.000000,-0.000000,0.000000
0.010000,2.232048,7.840000,0.732056,2.380000,4.000000,0.000000,0.000000
0.010000,2.256248,7.840000,0.756256,2.420000,4.000000,-0.000000,0.000000
0.010000,2.280848,7.840000,0.780856,2.460000,4.000000,0.000000,0.000000
0.010000,2.305848,7.840000,0.805856,2.500000,4.000000,0.000000,0.000000
0.010000,2.331248,7.840000,0.831256,2.540000,4.000000,-0.000000,0.000000
0.010000,2.357048,7.840000,0.857056,2.580000,4.000000,0.000000,0.000000
0.010000,2.383248,7.840000,0.883256,2.620000,4.000000,-0.000000,0.000000
0.010000,2.409848,7.840000,0.909856,2.660000,4.000000,0.000000,0.000000
0.010000,2.436848,7.840000,0.936856,2.700000,4.000000,-0.000000,0.000000
0.010000,2.464248,7.840000,0.964256,2.740000,4.000000,0.000000,0.000000
0.010000,2.492048,7.840000,0.992056,2.780000,4.000000,-0.000000,0.000000
0.010000,2.520248,7.840000,1.020256,2.820000,4.000000,0.000000,0.000000
0.010000,2.548848,7.840000,1.048856,2.860000,4.000000,-0.000000,0.000000
0.010000,2.577848,7.840000,1.077856,2.900000,4.000000,-0.000000,0.000000
0.010000,2.607248,7.840000,1.107256,2.940000,4.000000,0.000000,0.000000
0.010000,2.637048,7.840000,1.137056,2.980000,4.000000,0.000000,0.000000
0.010000,2.667248,7.840000,1.167256,3.020000,4.000000,-0.000000,0.000000
0.010000,2.697848,7.840000,1.197856,3.060000,4.000000,0.000000,0.000000
0.010000,2.728848,7.840000,1.228856,3.100000,4.000000,-0.000000,0.000000
0.010000,2.760248,7.840000,1.260256,3.140000,4.000000,0.000000,0.000000
0.010000,2.792048,7.840000,1.292056,3.180000,4.000000,0.000000,0.000000
0.010000,2.824248,7.840000,1.324256,3.220000,4.000000,-0.000000,0.000000
0.010000,2.856848,7.840000,1.356856,3.260000,4.000000,0.000000,0.000000
0.010000,2.889848,7.840000,1.389856,3.300000,4.000000,-0.000000,0.000000
0.010000,2.923248,7.840000,1.423256,3.340000,4.000000,0.000000,0.000000
0.010000,2.957048,7.840000,1.457056,3.380000,4.000000,0.000000,0.000000
0.010000,2.991248,7.840000,1.491256,3.420000,4.000000,-0.000000,0.000000
0.010000,3.025848,7.840000,1.525856,3.460000,4.000000,0.000000,0.000000
0.010000,3.060848,7.840000,1.560856,3.500000,4.000000,-0.000000,0.000000
0.010000,3.096248,7.840000,1.596256,3.540000,4.000000,0.000000,0.000000
0.010000,3.132048,7.840000,1.632056,3.580000,4.000000,0.000000,0.000000
0.010000,3.168248,7.840000,1.668256,3.620000,4.000000,0.000000,0.000000
0.010000,3.204848,7.840000,1.704856,3.660000,4.000000,-0.000000,0.000000
0.010000,3.241848,7.840000,1.741856,3.700000,4.000000,0.000000,0.000000
0.010000,3.279248,7.840000,1.779256,3.740000,4.000000,0.000000,0.000000
0.010000,3.317048,7.840000,1.817056,3.780000,4.000000,-0.000000,0.000000
0.010000,3.355248,7.840000,1.855256,3.820000,4.000000,0.000000,0.000000
0.010000,3.393848,7.840000,1.893856,3.860000,4.000000,-0.000000,0.000000
0.010000,3.432848,7.840000,1.932856,3.900000,4.000000,0.000000,0.000000
0.010000,3.472248,7.840000,1.972256,3.940000,4.000000,-0.000000,0.000000
0.010000,3.512048,7.840000,2.012056,3.980000,4.000000,0.000000,0.000000
0.010000,3.552248,7.840000,2.052256,4.020000,4.000000,0.000000,0.000000
0.010000,3.592848,7.840000,2.092856,4.060000,4.000000,0.000000,0.000000
0.010000,3.633848,7.840000,2.133856,4.100000,4.000000,-0.000000,0.000000
0.010000,3.675248,7.840000,2.175256,4.140000,4.000000,0.000000,0.000000
0.010000,3.717048,7.840000,2.217056,4.180000,4.000000,-0.000000,0.000000
0.010000,3.759248,7.840000,2.259256,4.220000,4.000000,-0.000000,0.000000
0.010000,3.801848,7.840000,2.301856,4.260000,4.000000,0.000000,0.000000
0.010000,3.844848,7.840000,2.344856,4.300000,4.000000,-0.000000,0.000000
0.010000,3.888248,7.840000,2.388256,4.340000,4.000000,0.000000,0.000000
0.010000,3.932048,7.840000,2.432056,4.380000,4.000000,0.000000,0.000000
0.010000,3.976248,7.840000,2.476256,4.420000,4.000000,-0.000000,0.000000
0.010000,4.020848,7.840000,2.520856,4.460000,4.000000,0.000000,0.000000
0.010000,4.065841,7.840000,2.565848,4.499259,3.925926,-7.407407,0.000000
0.010000,4.111211,7.840000,2.611219,4.537037,3.777778,-14.814815,0.000000
0.010000,4.156945,7.840000,2.656952,4.573333,3.629630,-14.814815,0.000000
0.010000,4.203026,7.840000,2.703034,4.608148,3.481481,-14.814815,0.000000
0.010000,4.249441,7.840000,2.749448,4.641481,3.333333,-14.814815,0.000000
0.010000,4.296174,7.840000,2.796182,4.673333,3.185185,-14.814815,0.000000
0.010000,4.343211,7.840000,2.843219,4.703704,3.037037,-14.814815,0.000000
0.010000,4.390537,7.840000,2.890545,4.732593,2.888889,-14.814815,0.000000
0.010000,4.438137,7.840000,2.938145,4.760000,2.740741,-14.814815,0.000000
0.010000,4.485996,7.840000,2.986004,4.785926,2.592593,-14.814815,0.000000
0.010000,4.534100,7.840000,3.034108,4.810370,2.444444,-14.814815,0.000000
0.010000,4.582434,7.840000,3.082441,4.833333,2.296296,-14.814815,0.000000
0.010000,4.630982,7.840000,3.130989,4.854815,2.148148,-14.814815,0.000000
0.010000,4.679730,7.840000,3.179737,4.874815,2.000000,-14.814815,0.000000
0.010000,4.728663,7.840000,3.228671,4.893333,1.851852,-14.814815,0.000000
0.010000,4.777767,7.840000,3.277774,4.910370,1.703704,-14.814815,0.000000
0.010000,4.827026,7.840000,3.327034,4.925926,1.555556,-14.814815,0.000000
0.010000,4.876426,7.840000,3.376434,4.940000,1.407407,-14.814815,0.000000
0.010000,4.925952,7.840000,3.425959,4.952593,1.259259,-14.814815,0.000000
0.010000,4.975589,7.840000,3.475596,4.963704,1.111111,-14.814815,0.000000
0.010000,5.025322,7.840000,3.525330,4.973333,0.962963,-14.814815,0.000000
0.010000,5.075137,7.840000,3.575145,4.981481,0.814815,-14.814815,0.000000
0.010000,5.125019,7.840000,3.625026,4.988148,0.666667,-14.814815,0.000000
0.010000,5.174952,7.840000,3.674959,4.993333,0.518519,-14.814815,0.000000
0.010000,5.224922,7.840000,3.724930,4.997037,0.370370,-14.814815,0.000000
0.010000,5.274915,7.840000,3.774922,4.999259,0.222222,-14.814815,0.000000
0.010000,5.324915,7.840000,3.824922,5.000000,0.074074,-14.814815,0.000000
0.010000,5.374915,7.840000,3.874922,5.000000,0.000000,-7.407407,0.000000
0.010000,5.424915,7.840000,3.924922,5.000000,0.000000,-0.000000,0.000000
0.010000,5.474915,7.840000,3.974922,5.000000,-0.000000,-0.000000,0.000000
0.010000,5.524915,7.840000,4.024922,5.000000,0.000000,0.000000,0.000000
0.010000,5.574915,7.840000,4.074922,5.000000,0.000000,-0.000000,0.000000
0.010000,5.624915,7.840000,4.124922,5.000000,0.000000,0.000000,0.000000
0.010000,5.674915,7.840000,4.174922,5.000000,-0.000000,-0.000000,0.000000
0.010000,5.724915,7.840000,4.224922,5.000000,0.000000,0.000000,0.000000
0.010000,5.774915,7.840000,4.274922,5.000000,0.000000,0.000000,0.000000
0.010000,5.824915,7.840000,4.324922,5.000000,0.000000,-0.000000,0.000000
0.010000,5.874915,7.840000,4.374922,5.000000,-0.000000,-0.000000,0.000000
0.010000,5.924915,7.840000,4.424922,5.000000,0.000000,0.000000,0.000000
0.010000,5.974915,7.840000,4.474922,5.000000,0.000000,0.000000,0.000000
0.010000,6.024915,7.840000,4.524922,5.000000,0.000000,0.000000,0.000000
0.010000,6.074915,7.840000,4.574922,5.000000,0.000000,0.000000,0.000000
0.010000,6.124915,7.840000,4.624922,5.000000,0.000000,0.000000,0.000000
0.010000,6.174915,7.840000,4.674922,5.000000,0.000000,0.000000,0.000000
0.010000,6.224915,7.840000,4.724922,5.000000,0.000000,0.000000,0.000000
0.010000,6.274908,7.840000,4.774915,4.999261,-0.073948,-7.394815,0.000000
0.010000,6.324878,7.840000,4.824885,4.997041,-0.221970,-14.802222,0.000000
0.010000,6.374811,7.840000,4.874819,4.993340,-0.370119,-14.814815,0.000000
0.010000,6.424693,7.840000,4.924700,4.988157,-0.518267,-14.814815,0.000000
0.010000,6.474508,7.840000,4.974515,4.981493,-0.666415,-14.814815,0.000000
0.010000,6.524241,7.840000,5.024249,4.973347,-0.814563,-14.814815,0.000000
0.010000,6.573879,7.840000,5.073886,4.963720,-0.962711,-14.814815,0.000000
0.010000,6.623405,7.840000,5.123412,4.952611,-1.110859,-14.814815,0.000000
0.010000,6.672805,7.840000,5.172812,4.940021,-1.259007,-14.814815,0.000000
0.010000,6.722064,7.840000,5.222072,4.925950,-1.407156,-14.814815,0.000000
0.010000,6.771168,7.840000,5.271176,4.910397,-1.555304,-14.814815,0.000000
0.010000,6.820102,7.840000,5.320109,4.893362,-1.703452,-14.814815,0.000000
0.010000,6.868850,7.840000,5.368858,4.874846,-1.851600,-14.814815,0.000000
0.010000,6.917399,7.840000,5.417406,4.854849,-1.999748,-14.814815,0.000000
0.010000,6.965733,7.840000,5.465740,4.833370,-2.147896,-14.814815,0.000000
0.010000,7.013837,7.840000,5.513844,4.810409,-2.296044,-14.814815,0.000000
0.010000,7.061696,7.840000,5.561704,4.785967,-2.444193,-14.814815,0.000000
0.010000,7.109297,7.840000,5.609304,4.760044,-2.592341,-14.814815,0.000000
0.010000,7.156623,7.840000,5.656631,4.732639,-2.740489,-14.814815,0.000000
0.010000,7.203661,7.840000,5.703668,4.703753,-2.888637,-14.814815,0.000000
0.010000,7.250395,7.840000,5.750402,4.673385,-3.036785,-14.814815,0.000000
0.010000,7.296810,7.840000,5.796817,4.641536,-3.184933,-14.814815,0.000000
0.010000,7.342892,7.840000,5.842899,4.608205,-3.333081,-14.814815,0.000000
0.010000,7.388626,7.840000,5.888633,4.573393,-3.481230,-14.814815,0.000000
0.010000,7.433997,7.840000,5.934004,4.537099,-3.629378,-14.814815,0.000000
0.010000,7.478990,7.840000,5.978998,4.499323,-3.777526,-14.814815,0.000000
0.010000,7.523591,7.840000,6.023598,4.460067,-3.925674,-14.814815,0.000000
0.010000,7.567792,7.840000,6.067799,4.420068,-3.999874,-7.420000,0.000000
0.010000,7.611592,7.840000,6.111600,4.380068,-4.000000,-0.012593,0.000000
0.010000,7.654993,7.840000,6.155000,4.340068,-4.000000,-0.000000,0.000000
0.010000,7.697994,7.840000,6.198001,4.300068,-4.000000,0.000000,0.000000
0.010000,7.740594,7.840000,6.240602,4.260068,-4.000000,0.000000,0.000000
0.010000,7.782795,7.840000,6.282802,4.220068,-4.000000,-0.000000,0.000000
0.010000,7.824596,7.840000,6.324603,4.180068,-4.000000,0.000000,0.000000
0.010000,7.865996,7.840000,6.366004,4.140068,-4.000000,0.000000,0.000000
0.010000,7.906997,7.840000,6.407004,4.100068,-4.000000,0.000000,0.000000
0.010000,7.947598,7.840000,6.447605,4.060068,-4.000000,-0.000000,0.000000
0.010000,7.987798,7.840000,6.487806,4.020068,-4.000000,0.000000,0.000000
0.010000,8.027599,7.840000,6.527606,3.980068,-4.000000,-0.000000,0.000000
0.010000,8.067000,7.840000,6.567007,3.940068,-4.000000,-0.000000,0.000000
0.010000,8.106000,7.840000,6.606008,3.900068,-4.000000,0.000000,0.000000
0.010000,8.144601,7.840000,6.644608,3.860068,-4.000000,0.000000,0.000000
0.010000,8.182802,7.840000,6.682809,3.820068,-4.000000,-0.000000,0.000000
0.010000,8.220602,7.840000,6.720610,3.780068,-4.000000,0.000000,0.000000
0.010000,8.258003,7.840000,6.758010,3.740068,-4.000000,0.000000,0.000000
0.010000,8.295004,7.840000,6.795011,3.700068,-4.000000,-0.000000,0.000000
0.010000,8.331604,7.840000,6.831612,3.660068,-4.000000,0.000000,0.000000
0.010000,8.367805,7.840000,6.867813,3.620068,-4.000000,0.000000,0.000000
0.010000,8.403606,7.840000,6.903613,3.580068,-4.000000,-0.000000,0.000000
0.010000,8.439006,7.840000,6.939014,3.540068,-4.000000,0.000000,0.000000
0.010000,8.474007,7.840000,6.974015,3.500068,-4.000000,-0.000000,0.000000
0.010000,8.508608,7.840000,7.008615,3.460068,-4.000000,0.000000,0.000000
0.010000,8.542809,7.840000,7.042816,3.420068,-4.000000,0.000000,0.000000
0.010000,8.576609,7.840000,7.076617,3.380068,-4.000000,0.000000,0.000000
0.010000,8.610010,7.840000,7.110017,3.340068,-4.000000,0.000000,0.000000
0.010000,8.643011,7.840000,7.143018,3.300068,-4.000000,-0.000000,0.000000
0.010000,8.675611,7.840000,7.175619,3.260068,-4.000000,0.000000,0.000000
0.010000,8.707812,7.840000,7.207819,3.220068,-4.000000,0.000000,0.000000
0.010000,8.739613,7.840000,7.239620,3.180068,-4.000000,0.000000,0.000000
0.010000,8.771013,7.840000,7.271021,3.140068,-4.000000,-0.000000,0.000000
0.010000,8.802014,7.840000,7.302021,3.100068,-4.000000,0.000000,0.000000
0.010000,8.832615,7.840000,7.332622,3.060068,-4.000000,0.000000,0.000000
0.010000,8.862815,7.840000,7.362823,3.020068,-4.000000,-0.000000,0.000000
0.010000,8.892616,7.840000,7.392623,2.980068,-4.000000,0.000000,0.000000
0.010000,8.922017,7.840000,7.422024,2.940068,-4.000000,0.000000,0.000000
0.010000,8.951017,7.840000,7.451025,2.900068,-4.000000,0.000000,0.000000
0.010000,8.979618,7.840000,7.479625,2.860068,-4.000000,-0.000000,0.000000
0.010000,9.007819,7.840000,7.507826,2.820068,-4.000000,0.000000,0.000000
