dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.999981,18.160000,0.000007,0.001471,0.147077,14.707705,0.000016
0.010000,3.999992,18.160000,0.000018,0.001075,-0.039584,-18.666064,0.000007
0.010000,4.000060,18.160000,0.000086,0.006823,0.574847,61.443108,6.283171
0.010000,4.000221,18.160000,0.000247,0.016066,0.924270,34.942220,6.283134
0.010000,4.000472,18.160000,0.000498,0.025104,0.903758,-2.051142,6.283076
0.010000,4.000833,18.160000,0.000860,0.036150,1.104650,20.089126,6.282993
0.010000,4.001325,18.160000,0.001352,0.049206,1.305586,20.093632,6.282879
0.010000,4.001968,18.160000,0.001994,0.064272,1.506591,20.100485,6.282731
0.010000,4.002782,18.159999,0.002808,0.081349,1.707684,20.109309,6.282543
0.010000,4.003786,18.159998,0.003812,0.100438,1.908890,20.120579,6.282311
0.010000,4.005001,18.159997,0.005028,0.121540,2.110240,20.135042,6.282031
0.010000,4.006448,18.159995,0.006474,0.144658,2.311759,20.151933,6.281697
0.010000,4.008146,18.159992,0.008172,0.169793,2.513488,20.172891,6.281304
0.010000,4.010115,18.159988,0.010142,0.196947,2.715460,20.197139,6.280849
0.010000,4.012377,18.159982,0.012403,0.226124,2.917717,20.225717,6.280326
0.010000,4.014950,18.159974,0.014976,0.257327,3.120302,20.258493,6.279731
0.010000,4.017855,18.159963,0.017882,0.290560,3.323260,20.295808,6.279058
0.010000,4.021114,18.159948,0.021140,0.325826,3.526639,20.337917,6.278303
0.010000,4.024745,18.159929,0.024771,0.363131,3.730492,20.385293,6.277461
0.010000,4.028770,18.159904,0.028796,0.402480,3.934876,20.438403,6.276527
0.010000,4.033208,18.159872,0.033235,0.443878,4.139842,20.496585,6.275497
0.010000,4.038081,18.159832,0.038108,0.487333,4.345450,20.560837,6.274364
0.010000,4.043410,18.159782,0.043437,0.532851,4.551767,20.631709,6.273124
0.010000,4.049214,18.159720,0.049241,0.580439,4.758849,20.708157,6.271772
0.010000,4.055514,18.159643,0.055542,0.630107,4.966768,20.791927,6.270302
0.010000,4.062332,18.159550,0.062361,0.681863,5.175583,20.881518,6.268709
0.010000,4.069689,18.159437,0.069718,0.735716,5.385371,20.978802,6.266988
0.010000,4.077594,18.159302,0.077625,0.790668,5.495185,10.981401,6.265136
0.010000,4.086050,18.159141,0.086082,0.845716,5.504777,0.959204,6.263152
0.010000,4.095056,18.158951,0.095090,0.900866,5.514977,1.019940,6.261034
0.010000,4.104615,18.158728,0.104652,0.956123,5.525771,1.079375,6.258782
0.010000,4.114727,18.158469,0.114767,1.011495,5.537144,1.137345,6.256396
0.010000,4.125392,18.158170,0.125436,1.066986,5.549081,1.193667,6.253873
0.010000,4.136613,18.157826,0.136662,1.122601,5.561562,1.248140,6.251214
0.010000,4.148390,18.157433,0.148446,1.178347,5.574568,1.300546,6.248416
0.010000,4.160724,18.156986,0.160788,1.234228,5.588074,1.350647,6.245478
0.010000,4.173617,18.156479,0.173691,1.290248,5.602058,1.398412,6.242400
0.010000,4.187069,18.155909,0.187155,1.346413,5.616491,1.443260,6.239180
0.010000,4.201081,18.155268,0.201182,1.402727,5.631343,1.485233,6.235817
0.010000,4.215656,18.154552,0.215774,1.459192,5.646577,1.523436,6.232310
0.010000,4.230793,18.153753,0.230932,1.515814,5.662160,1.558264,6.228657
0.010000,4.246494,18.152866,0.246658,1.572594,5.678049,1.588920,6.224857
0.010000,4.262760,18.151884,0.262953,1.629537,5.694202,1.615249,6.220908
0.010000,4.279591,18.150800,0.279820,1.686642,5.710565,1.636330,6.216809
0.010000,4.296989,18.149606,0.297259,1.743913,5.727091,1.652604,6.212559
0.010000,4.314955,18.148296,0.315273,1.801350,5.743716,1.662523,6.208156
0.010000,4.333489,18.146860,0.333862,1.858954,5.760384,1.666780,6.203598
0.010000,4.352592,18.145291,0.353029,1.916724,5.777019,1.663500,6.198885
0.010000,4.372264,18.143581,0.372776,1.974660,5.793554,1.653478,6.194015
0.010000,4.392507,18.141720,0.393103,2.032759,5.809904,1.635045,6.188987
0.010000,4.413319,18.139699,0.414014,2.091019,5.825985,1.608111,6.183798
0.010000,4.434701,18.137509,0.435508,2.149436,5.841706,1.572029,6.178448
0.010000,4.456654,18.135140,0.457588,2.208005,5.856966,1.526049,6.172936
0.010000,4.479176,18.132582,0.480255,2.266722,5.871656,1.468960,6.167260
0.010000,4.502268,18.129825,0.503511,2.325579,5.885670,1.401443,6.161419
0.010000,4.525929,18.126857,0.527357,2.384567,5.898877,1.320701,6.155411
0.010000,4.550156,18.123669,0.551794,2.443679,5.911158,1.228043,6.149237
0.010000,4.574950,18.120247,0.576823,2.502903,5.922370,1.121270,6.142894
0.010000,4.600309,18.116582,0.602445,2.562226,5.932374,1.000373,6.136382
0.010000,4.626231,18.112661,0.628661,2.621637,5.941015,0.864058,6.129700
0.010000,4.652712,18.108471,0.655472,2.681118,5.948136,0.712157,6.122848
0.010000,4.679752,18.104001,0.682879,2.740654,5.953570,0.543401,6.115825
0.010000,4.707346,18.099237,0.710881,2.800225,5.957145,0.357437,6.108630
0.010000,4.735491,18.094166,0.739479,2.859812,5.958678,0.153361,6.101264
0.010000,4.764183,18.088777,0.768673,2.919392,5.957989,-0.068903,6.093727
0.010000,4.793418,18.083054,0.798463,2.978941,5.954879,-0.311028,6.086019
0.010000,4.823190,18.076984,0.828847,3.038432,5.949158,-0.572077,6.078141
0.010000,4.853493,18.070555,0.859825,3.097838,5.940625,-0.853355,6.070093
0.010000,4.884323,18.063751,0.891397,3.157129,5.929077,-1.154721,6.061875
0.010000,4.915671,18.056560,0.923559,3.216272,5.914312,-1.476501,6.053491
0.010000,4.947531,18.048967,0.956312,3.275234,5.896126,-1.818588,6.044940
0.010000,4.979895,18.040958,0.989651,3.333977,5.874320,-2.180616,6.036225
0.010000,5.012753,18.032518,1.023576,3.392464,5.848696,-2.562451,6.027349
0.010000,5.046097,18.023636,1.058083,3.450654,5.819061,-2.963464,6.018313
0.010000,5.079916,18.014295,1.093168,3.508507,5.785234,-3.382687,6.009121
0.010000,5.114199,18.004484,1.128827,3.565977,5.747038,-3.819625,5.999775
0.010000,5.148935,17.994188,1.165058,3.623020,5.704315,-4.272259,5.990280
0.010000,5.184113,17.983394,1.201854,3.679589,5.656917,-4.739870,5.980640
0.010000,5.219717,17.972089,1.239210,3.735637,5.604714,-5.220273,5.970859
0.010000,5.255736,17.960261,1.277121,3.791113,5.547599,-5.711548,5.960942
0.010000,5.292155,17.947898,1.315581,3.845967,5.485482,-6.211637,5.950895
0.010000,5.328957,17.934988,1.354582,3.900150,5.418304,-6.717778,5.940723
0.010000,5.366129,17.921520,1.394118,3.953611,5.346028,-7.227665,5.930432
0.010000,5.403652,17.907484,1.434181,4.006297,5.268649,-7.737836,5.920029
0.010000,5.441511,17.892869,1.474763,4.058159,5.186191,-8.245830,5.909522
0.010000,5.479687,17.877667,1.515854,4.109146,5.098713,-8.747786,5.898917
0.010000,5.518162,17.861868,1.557446,4.159209,5.006307,-9.240591,5.888224
0.010000,5.556917,17.845467,1.599529,4.208300,4.909098,-9.720954,5.877449
0.010000,5.595933,17.828455,1.642093,4.256373,4.807249,-10.184924,5.866602
0.010000,5.635191,17.810827,1.685127,4.303382,4.700955,-10.629328,5.855692
0.010000,5.674670,17.792579,1.728620,4.349287,4.590449,-11.050630,5.844729
0.010000,5.714351,17.773705,1.772560,4.394047,4.475994,-11.445477,5.833723
0.010000,5.754213,17.754204,1.816937,4.437626,4.357888,-11.810654,5.822683
0.010000,5.794235,17.734073,1.861737,4.479990,4.236453,-12.143422,5.811620
0.010000,5.834397,17.713311,1.906948,4.521111,4.112045,-12.440858,5.800545
0.010000,5.874679,17.691919,1.952557,4.560961,3.985037,-12.700823,5.789469
0.010000,5.915060,17.669898,1.998552,4.599519,3.855824,-12.921275,5.778402
0.010000,5.955520,17.647250,2.044920,4.636767,3.724817,-13.100682,5.767357
0.010000,5.996039,17.623977,2.091647,4.672692,3.592438,-13.237939,5.756345
0.010000,6.036598,17.600086,2.138720,4.707283,3.459114,-13.332378,5.745376
0.010000,6.077169,17.575585,2.186115,4.739535,3.225177,-23.393731,5.734466
0.010000,6.117718,17.550492,2.233800,4.768469,2.893424,-33.175242,5.723630
0.010000,6.158210,17.524826,2.281741,4.794129,2.566028,-32.739606,5.712883
0.010000,6.198614,17.498606,2.329907,4.816566,2.243700,-32.232796,5.702240
0.010000,6.238898,17.471854,2.378265,4.835837,1.927096,-31.660385,5.691717
0.010000,6.279034,17.444590,2.426785,4.852005,1.616812,-31.028449,5.681327
0.010000,6.318995,17.416840,2.475437,4.865139,1.313375,-30.343727,5.671083
0.010000,6.358754,17.388625,2.524190,4.875311,1.017242,-29.613288,5.660999
0.010000,6.398289,17.359972,2.573016,4.882599,0.728797,-28.844445,5.651087
0.010000,6.437576,17.330905,2.621887,4.887083,0.448351,-28.044642,5.641359
0.010000,6.476595,17.301450,2.670775,4.888844,0.176138,-27.221238,5.631824
0.010000,6.515328,17.271634,2.719655,4.887968,-0.087676,-26.381438,5.622493
0.010000,6.553757,17.241484,2.768500,4.884538,-0.342998,-25.532205,5.613376
0.010000,6.591867,17.211025,2.817286,4.878640,-0.589799,-24.680064,5.604480
0.010000,6.629644,17.180285,2.865990,4.870358,-0.828110,-23.831090,5.595815
0.010000,6.667075,17.149290,2.914588,4.859778,-1.058019,-22.990899,5.587387
0.010000,6.704150,17.118069,2.963058,4.846982,-1.279663,-22.164438,5.579202
0.010000,6.740858,17.086646,3.011378,4.832049,-1.493224,-21.356136,5.571266
0.010000,6.777191,17.055049,3.059529,4.815060,-1.698922,-20.569737,5.563584
0.010000,6.813143,17.023305,3.107490,4.796090,-1.897006,-19.808445,5.556161
0.010000,6.848707,16.991438,3.155242,4.775213,-2.087754,-19.074816,5.549001
0.010000,6.883878,16.959475,3.202767,4.752498,-2.271462,-18.370795,5.542106
0.010000,6.918652,16.927441,3.250047,4.728014,-2.448441,-17.697853,5.535479
0.010000,6.953025,16.895360,3.297065,4.701823,-2.619009,-17.056851,5.529123
0.010000,6.986997,16.863258,3.343805,4.673989,-2.783493,-16.448329,5.523038
0.010000,7.020563,16.831157,3.390250,4.644518,-2.947043,-16.355043,5.517225
0.010000,7.053718,16.799089,3.436376,4.612616,-3.190165,-24.312158,5.511687
0.010000,7.086454,16.767081,3.482160,4.578407,-3.420936,-23.077145,5.506425
0.010000,7.118773,16.735156,3.527588,4.542801,-3.560620,-13.968448,5.501436
0.010000,7.150674,16.703335,3.572647,4.505843,-3.695836,-13.521514,5.496722
0.010000,7.182160,16.671640,3.617323,4.467574,-3.826861,-13.102562,5.492279
0.010000,7.213232,16.640092,3.661603,4.428034,-3.953961,-12.709931,5.488107
0.010000,7.243891,16.608710,3.705476,4.387261,-4.077379,-12.341819,5.484203
0.010000,7.274139,16.577514,3.748928,4.345287,-4.197342,-11.996303,5.480565
0.010000,7.303979,16.546523,3.791950,4.302147,-4.314057,-11.671545,5.477191
0.010000,7.333412,16.515755,3.834529,4.257869,-4.427713,-11.365591,5.474077
0.010000,7.362440,16.485229,3.876653,4.212485,-4.538478,-11.076501,5.471221
0.010000,7.391065,16.454960,3.918314,4.166020,-4.646503,-10.802457,5.468619
0.010000,7.419290,16.424968,3.959499,4.118500,-4.751918,-10.541567,5.466267
0.010000,7.447116,16.395266,4.000198,4.069952,-4.854840,-10.292135,5.464161
0.010000,7.474545,16.365872,4.040402,4.020398,-4.955364,-10.052426,5.462299
0.010000,7.501578,16.336800,4.080101,3.969863,-5.053573,-9.820900,5.460675
0.010000,7.528217,16.308065,4.119284,3.918367,-5.149533,-9.596038,5.459284
0.010000,7.554464,16.279681,4.157944,3.865934,-5.243298,-9.376492,5.458124
0.010000,7.580319,16.251662,4.196070,3.812585,-5.334908,-9.161003,5.457188
0.010000,7.605784,16.224020,4.233653,3.758341,-5.424393,-8.948429,5.456471
0.010000,7.630859,16.196768,4.270685,3.703224,-5.511770,-8.737783,5.455969
0.010000,7.655543,16.169918,4.307158,3.647253,-5.597052,-8.528184,5.455676
0.010000,7.679839,16.143482,4.343062,3.590451,-5.680241,-8.318900,5.455587
0.010000,7.703745,16.117471,4.378391,3.532837,-5.761335,-8.109329,5.455696
0.010000,7.727260,16.091894,4.413135,3.474434,-5.840325,-7.899012,5.455997
0.010000,7.750386,16.066762,4.447288,3.415262,-5.917201,-7.687628,5.456484
0.010000,7.773120,16.042083,4.480841,3.355383,-5.987915,-7.071408,5.457151
0.010000,7.795467,16.017862,4.513797,3.295529,-5.985394,0.252134,5.457992
0.010000,7.817434,15.994096,4.546160,3.236370,-5.915853,6.954094,5.459000
0.010000,7.839030,15.970783,4.577939,3.177894,-5.847678,6.817505,5.460170
0.010000,7.860262,15.947920,4.609140,3.120086,-5.780773,6.690468,5.461496
0.010000,7.881136,15.925505,4.639770,3.062935,-5.715048,6.572505,5.462972
0.010000,7.901660,15.903536,4.669834,3.006431,-5.650417,6.463113,5.464593
0.010000,7.921838,15.882009,4.699340,2.950563,-5.586799,6.361822,5.466354
0.010000,7.941677,15.860921,4.728293,2.895322,-5.524118,6.268095,5.468248
0.010000,7.961183,15.840269,4.756700,2.840699,-5.462303,6.181428,5.470271
0.010000,7.980359,15.820050,4.784567,2.786686,-5.401290,6.101322,5.472417
0.010000,7.999212,15.800260,4.811899,2.733276,-5.341018,6.027261,5.474681
0.010000,8.017746,15.780895,4.838704,2.680462,-5.281430,5.958729,5.477059
0.010000,8.035964,15.761952,4.864986,2.628237,-5.222478,5.895220,5.479544
0.010000,8.053872,15.743426,4.890752,2.576596,-5.164115,5.836267,5.482132
0.010000,8.071473,15.725314,4.916008,2.525533,-5.106302,5.781321,5.484817
0.010000,8.088770,15.707611,4.940758,2.475043,-5.049002,5.729971,5.487596
0.010000,8.105767,15.690313,4.965009,2.425121,-4.992186,5.681666,5.490463
0.010000,8.122467,15.673416,4.988767,2.375763,-4.935825,5.636043,5.493413
0.010000,8.138874,15.656914,5.012037,2.326964,-4.879900,5.592566,5.496441
0.010000,8.154990,15.640804,5.034824,2.278720,-4.824391,5.550838,5.499543
0.010000,8.170818,15.625081,5.057134,2.231027,-4.769287,5.510468,5.502714
0.010000,8.186361,15.609740,5.078973,2.183881,-4.714577,5.471004,5.505948
0.010000,8.201621,15.594776,5.100346,2.137279,-4.660256,5.432102,5.509242
0.010000,8.216601,15.580184,5.121258,2.091215,-4.606322,5.393382,5.512591
0.010000,8.231303,15.565960,5.141715,2.045688,-4.552777,5.354484,5.515990
0.010000,8.245729,15.552097,5.161722,2.000691,-4.499626,5.315120,5.519435
0.010000,8.259881,15.538592,5.181284,1.956223,-4.446876,5.274928,5.522921
0.010000,8.273762,15.525438,5.200407,1.912277,-4.394540,5.233693,5.526443
0.010000,8.287372,15.512632,5.219095,1.868851,-4.342629,5.191077,5.529997
