dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000019,15.840000,0.000007,0.001471,0.147077,14.707705,0.000016
0.010000,4.000008,15.840000,0.000018,0.001075,-0.039584,-18.666064,0.000007
0.010000,4.000028,15.840000,0.000038,0.001986,0.091121,13.070428,6.283171
0.010000,4.000103,15.840000,0.000113,0.007466,0.548008,45.688730,6.283134
0.010000,4.000219,15.840000,0.000229,0.011666,0.419935,-12.807339,6.283076
0.010000,4.000387,15.840000,0.000397,0.016798,0.513199,9.326483,6.282993
0.010000,4.000616,15.840000,0.000626,0.022862,0.606415,9.321563,6.282879
0.010000,4.000914,15.840000,0.000924,0.029857,0.699565,9.314983,6.282731
0.010000,4.001292,15.840000,0.001302,0.037784,0.792626,9.306110,6.282543
0.010000,4.001759,15.839999,0.001769,0.046639,0.885573,9.294711,6.282311
0.010000,4.002323,15.839999,0.002333,0.056423,0.978380,9.280682,6.282031
0.010000,4.002994,15.839998,0.003004,0.067133,1.071012,9.263217,6.281697
0.010000,4.003782,15.839996,0.003792,0.078768,1.163438,9.242632,6.281304
0.010000,4.004695,15.839995,0.004705,0.091324,1.255620,9.218127,6.280849
0.010000,4.005743,15.839992,0.005753,0.104799,1.347517,9.189748,6.280326
0.010000,4.006935,15.839988,0.006945,0.119190,1.439087,9.157005,6.279731
0.010000,4.008280,15.839983,0.008290,0.134493,1.530284,9.119637,6.279058
0.010000,4.009787,15.839976,0.009797,0.150703,1.621057,9.077352,6.278303
0.010000,4.011465,15.839967,0.011475,0.167817,1.711357,9.029969,6.277461
0.010000,4.013323,15.839956,0.013333,0.185828,1.801130,8.977318,6.276527
0.010000,4.015371,15.839941,0.015381,0.204731,1.890317,8.918726,6.275497
0.010000,4.017616,15.839923,0.017626,0.224520,1.978860,8.854302,6.274364
0.010000,4.020067,15.839899,0.020078,0.245187,2.066700,8.783972,6.273124
0.010000,4.022735,15.839871,0.022745,0.266725,2.153769,8.706952,6.271772
0.010000,4.025626,15.839836,0.025636,0.289125,2.240007,8.623776,6.270302
0.010000,4.028749,15.839793,0.028760,0.312378,2.325342,8.533516,6.268709
0.010000,4.032113,15.839741,0.032125,0.336475,2.409711,8.436838,6.266988
0.010000,4.035722,15.839679,0.035734,0.360945,2.446972,3.726165,6.265136
0.010000,4.039575,15.839606,0.039588,0.385319,2.437380,-0.959294,6.263152
0.010000,4.043670,15.839520,0.043683,0.409591,2.427179,-1.020023,6.261034
0.010000,4.048006,15.839419,0.048021,0.433754,2.416385,-1.079439,6.258782
0.010000,4.052583,15.839302,0.052599,0.457805,2.405011,-1.137386,6.256396
0.010000,4.057398,15.839167,0.057416,0.481735,2.393074,-1.193694,6.253873
0.010000,4.062451,15.839012,0.062472,0.505541,2.380592,-1.248177,6.251214
0.010000,4.067741,15.838835,0.067764,0.529217,2.367586,-1.300634,6.248416
0.010000,4.073264,15.838635,0.073292,0.552758,2.354078,-1.350844,6.245478
0.010000,4.079022,15.838409,0.079053,0.576159,2.340093,-1.398466,6.242400
0.010000,4.085010,15.838155,0.085047,0.599415,2.325659,-1.443376,6.239180
0.010000,4.091229,15.837870,0.091272,0.622523,2.310808,-1.485137,6.235817
0.010000,4.097676,15.837553,0.097727,0.645479,2.295571,-1.523698,6.232310
0.010000,4.104350,15.837201,0.104410,0.668279,2.279987,-1.558397,6.228657
0.010000,4.111248,15.836812,0.111319,0.690920,2.264096,-1.589068,6.224857
0.010000,4.118369,15.836382,0.118453,0.713399,2.247944,-1.615219,6.220908
0.010000,4.125711,15.835909,0.125810,0.735715,2.231577,-1.636656,6.216809
0.010000,4.133272,15.835390,0.133389,0.757866,2.215052,-1.652548,6.212559
0.010000,4.141050,15.834823,0.141188,0.779850,2.198423,-1.662891,6.208156
0.010000,4.149042,15.834204,0.149204,0.801667,2.181756,-1.666662,6.203598
0.010000,4.157248,15.833530,0.157437,0.823319,2.165117,-1.663909,6.198885
0.010000,4.165664,15.832798,0.165885,0.844804,2.148582,-1.653484,6.194015
0.010000,4.174289,15.832005,0.174547,0.866127,2.132230,-1.635257,6.188987
0.010000,4.183120,15.831148,0.183420,0.887288,2.116146,-1.608379,6.183798
0.010000,4.192156,15.830222,0.192503,0.908292,2.100424,-1.572198,6.178448
0.010000,4.201394,15.829225,0.201794,0.929144,2.085163,-1.526072,6.172936
0.010000,4.210832,15.828154,0.211292,0.949849,2.070468,-1.469514,6.167260
0.010000,4.220467,15.827003,0.220997,0.970413,2.056456,-1.401212,6.161419
0.010000,4.230299,15.825770,0.230905,0.990846,2.043243,-1.321289,6.155411
0.010000,4.240324,15.824451,0.241017,1.011155,2.030962,-1.228126,6.149237
0.010000,4.250541,15.823041,0.251330,1.031353,2.019746,-1.121560,6.142894
0.010000,4.260947,15.821537,0.261845,1.051450,2.009741,-1.000509,6.136382
0.010000,4.271541,15.819934,0.272559,1.071461,2.001097,-0.864428,6.129700
0.010000,4.282321,15.818229,0.283473,1.091401,1.993974,-0.712326,6.122848
0.010000,4.293285,15.816416,0.294586,1.111286,1.988537,-0.543693,6.115825
0.010000,4.304431,15.814492,0.305898,1.131136,1.984960,-0.357685,6.108630
0.010000,4.315759,15.812451,0.317407,1.150970,1.983423,-0.153742,6.101264
0.010000,4.327266,15.810289,0.329115,1.170811,1.984112,0.068954,6.093727
