dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000010,18.160000,0.000007,0.001479,0.147916,14.791561,6.283177
0.010000,4.000005,18.160000,0.000013,0.000541,-0.093771,-24.168639,6.283181
0.010000,4.000034,18.160000,0.000043,0.002969,0.242774,33.654434,0.000007
0.010000,4.000131,18.160000,0.000139,0.009668,0.669835,42.706134,0.000025
0.010000,4.000282,18.160000,0.000290,0.015106,0.543811,-12.602360,0.000054
0.010000,4.000499,18.160000,0.000508,0.021752,0.664675,12.086403,0.000096
0.010000,4.000796,18.160000,0.000804,0.029608,0.785555,12.087928,0.000154
0.010000,4.001182,18.160000,0.001191,0.038672,0.906455,12.089994,0.000228
0.010000,4.001672,18.160000,0.001680,0.048946,1.027382,12.092781,0.000323
0.010000,4.002276,18.160001,0.002284,0.060430,1.148346,12.096375,0.000439
0.010000,4.003007,18.160001,0.003016,0.073123,1.269354,12.100828,0.000580
0.010000,4.003878,18.160001,0.003886,0.087027,1.390417,12.106276,0.000748
0.010000,4.004899,18.160002,0.004907,0.102143,1.511546,12.112867,0.000945
0.010000,4.006084,18.160004,0.006092,0.118470,1.632752,12.120583,0.001174
0.010000,4.007444,18.160005,0.007452,0.136011,1.754048,12.129670,0.001436
0.010000,4.008991,18.160008,0.009000,0.154765,1.875450,12.140147,0.001734
0.010000,4.010739,18.160011,0.010747,0.174735,1.996971,12.152141,0.002070
0.010000,4.012698,18.160016,0.012706,0.195921,2.118629,12.165807,0.002447
0.010000,4.014881,18.160021,0.014890,0.218326,2.240441,12.181209,0.002866
0.010000,4.017301,18.160029,0.017309,0.241950,2.362426,12.198459,0.003331
0.010000,4.019969,18.160038,0.019977,0.266796,2.484604,12.217763,0.003842
0.010000,4.022897,18.160050,0.022906,0.292866,2.606995,12.239168,0.004403
0.010000,4.026099,18.160066,0.026107,0.320162,2.729624,12.262822,0.005016
0.010000,4.029586,18.160084,0.029594,0.348687,2.852512,12.288894,0.005683
0.010000,4.033370,18.160107,0.033379,0.378444,2.975687,12.317500,0.006405
0.010000,4.037464,18.160135,0.037473,0.409436,3.099175,12.348787,0.007185
0.010000,4.041881,18.160169,0.041890,0.441666,3.223004,12.382913,0.008026
0.010000,4.046632,18.160209,0.046641,0.475138,3.347205,12.420044,0.008928
0.010000,4.051730,18.160257,0.051740,0.509856,3.471809,12.460366,0.009895
0.010000,4.057188,18.160314,0.057198,0.545825,3.596849,12.503999,0.010927
0.010000,4.063018,18.160381,0.063028,0.583048,3.722360,12.551193,0.012028
0.010000,4.069233,18.160459,0.069244,0.621532,3.848381,12.602047,0.013199
0.010000,4.075846,18.160550,0.075856,0.661282,3.974950,12.656874,0.014441
0.010000,4.082868,18.160656,0.082879,0.702303,4.102108,12.715784,0.015757
0.010000,4.090313,18.160779,0.090326,0.744602,4.229898,12.779028,0.017148
0.010000,4.098193,18.160920,0.098207,0.788185,4.358366,12.846824,0.018617
0.010000,4.106522,18.161081,0.106538,0.833061,4.487560,12.919391,0.020163
0.010000,4.115307,18.161266,0.115324,0.878627,4.556622,6.906184,0.021789
0.010000,4.124547,18.161475,0.124567,0.924281,4.565402,0.877999,0.023493
0.010000,4.134245,18.161711,0.134267,0.970028,4.574710,0.930790,0.025274
0.010000,4.144400,18.161978,0.144426,1.015874,4.584556,0.984672,0.027132
0.010000,4.155014,18.162276,0.155044,1.061823,4.594952,1.039519,0.029066
0.010000,4.166088,18.162609,0.166123,1.107882,4.605907,1.095522,0.031074
0.010000,4.177622,18.162980,0.177664,1.154057,4.617432,1.152520,0.033157
0.010000,4.189619,18.163390,0.189667,1.200352,4.629538,1.210642,0.035311
0.010000,4.202078,18.163844,0.202135,1.246775,4.642237,1.269830,0.037538
0.010000,4.215002,18.164345,0.215068,1.293330,4.655537,1.330052,0.039835
0.010000,4.228391,18.164894,0.228469,1.340024,4.669451,1.391384,0.042201
0.010000,4.242246,18.165496,0.242337,1.386864,4.683988,1.453699,0.044635
0.010000,4.256570,18.166154,0.256676,1.433856,4.699159,1.517051,0.047136
0.010000,4.271363,18.166871,0.271486,1.481006,4.714973,1.581405,0.049702
0.010000,4.286626,18.167650,0.286769,1.528320,4.731439,1.646648,0.052332
0.010000,4.302361,18.168496,0.302527,1.575806,4.748568,1.712875,0.055025
0.010000,4.318570,18.169411,0.318762,1.623469,4.766367,1.779888,0.057778
0.010000,4.335254,18.170399,0.335475,1.671318,4.784845,1.847779,0.060591
0.010000,4.352415,18.171465,0.352668,1.719358,4.804008,1.916356,0.063461
0.010000,4.370053,18.172612,0.370344,1.767597,4.823865,1.985684,0.066388
0.010000,4.388172,18.173844,0.388505,1.816041,4.844421,2.055582,0.069368
0.010000,4.406772,18.175165,0.407152,1.864698,4.865681,2.126056,0.072401
0.010000,4.425855,18.176578,0.426288,1.913574,4.887651,2.196998,0.075485
0.010000,4.445424,18.178089,0.445914,1.962677,4.910335,2.268326,0.078616
0.010000,4.465479,18.179701,0.466034,2.012015,4.933734,2.339955,0.081795
0.010000,4.486024,18.181419,0.486650,2.061593,4.957852,2.411796,0.085018
0.010000,4.507059,18.183246,0.507765,2.111420,4.982690,2.483767,0.088283
0.010000,4.528586,18.185187,0.529380,2.161503,5.008247,2.555751,0.091588
0.010000,4.550609,18.187247,0.551498,2.211848,5.034524,2.627670,0.094930
0.010000,4.573128,18.189430,0.574123,2.262463,5.061518,2.699414,0.098309
0.010000,4.596146,18.191740,0.597256,2.313355,5.089227,2.770895,0.101720
0.010000,4.619665,18.194181,0.620902,2.364532,5.117647,2.841976,0.105162
0.010000,4.643687,18.196759,0.645062,2.416000,5.146773,2.912612,0.108632
0.010000,4.668214,18.199478,0.669739,2.467766,5.176599,2.982646,0.112128
0.010000,4.693249,18.202341,0.694938,2.519837,5.207120,3.052029,0.115646
0.010000,4.718794,18.205355,0.720660,2.572220,5.238326,3.120620,0.119185
0.010000,4.744852,18.208522,0.746909,2.624922,5.270209,3.188357,0.122741
0.010000,4.771424,18.211849,0.773689,2.677950,5.302761,3.255139,0.126312
0.010000,4.798513,18.215338,0.801002,2.731309,5.335970,3.320880,0.129895
0.010000,4.826122,18.218995,0.828852,2.785008,5.369825,3.385500,0.133486
0.010000,4.854253,18.222825,0.857242,2.839051,5.404314,3.448926,0.137084
0.010000,4.882909,18.226830,0.886177,2.893445,5.439425,3.511090,0.140684
0.010000,4.912092,18.231017,0.915659,2.948196,5.475144,3.571932,0.144285
0.010000,4.941805,18.235389,0.945692,3.003311,5.511458,3.631400,0.147881
0.010000,4.972051,18.239950,0.976280,3.058795,5.548353,3.689449,0.151472
0.010000,5.002833,18.244705,1.007426,3.114653,5.585813,3.746048,0.155052
0.010000,5.034152,18.249658,1.039135,3.170891,5.623825,3.801171,0.158620
0.010000,5.066013,18.254813,1.071410,3.227515,5.662373,3.854805,0.162171
0.010000,5.098418,18.260174,1.104256,3.284529,5.701442,3.906945,0.165703
0.010000,5.131370,18.265744,1.137675,3.341939,5.741018,3.957604,0.169211
0.010000,5.164872,18.271528,1.171672,3.399750,5.781086,4.006797,0.172693
0.010000,5.198927,18.277529,1.206252,3.457966,5.821632,4.054559,0.176145
0.010000,5.233531,18.283750,1.241411,3.515927,5.796086,-2.554547,0.179563
0.010000,5.268676,18.290191,1.277141,3.572962,5.703511,-9.257501,0.182941
0.010000,5.304350,18.296853,1.313432,3.629061,5.609858,-9.365391,0.186276
0.010000,5.340543,18.303736,1.350274,3.684212,5.515063,-9.479466,0.189563
0.010000,5.377246,18.310840,1.387658,3.738402,5.419069,-9.599370,0.192796
0.010000,5.414448,18.318164,1.425574,3.791621,5.321822,-9.724731,0.195973
0.010000,5.452139,18.325708,1.464013,3.843853,5.223270,-9.855173,0.199089
0.010000,5.490309,18.333470,1.502963,3.895087,5.123367,-9.990317,0.202139
0.010000,5.528947,18.341449,1.542416,3.945308,5.022069,-10.129778,0.205119
0.010000,5.568042,18.349642,1.582361,3.994501,4.919337,-10.273180,0.208026
0.010000,5.607585,18.358048,1.622788,4.042652,4.815136,-10.420147,0.210856
0.010000,5.647565,18.366663,1.663685,4.089747,4.709433,-10.570307,0.213605
0.010000,5.687971,18.375484,1.705043,4.135769,4.602200,-10.723311,0.216269
0.010000,5.728792,18.384508,1.746850,4.180703,4.493412,-10.878806,0.218846
0.010000,5.770019,18.393731,1.789096,4.224533,4.383047,-11.036472,0.221332
0.010000,5.811639,18.403150,1.831768,4.267244,4.271087,-11.195981,0.223724
0.010000,5.853642,18.412758,1.874856,4.308819,4.157517,-11.357054,0.226019
0.010000,5.896017,18.422551,1.918349,4.349243,4.042323,-11.519405,0.228214
0.010000,5.938754,18.432525,1.962234,4.388497,3.925495,-11.682786,0.230307
0.010000,5.981841,18.442673,2.006499,4.426568,3.807025,-11.846956,0.232294
0.010000,6.025267,18.452990,2.051134,4.463437,3.686908,-12.011716,0.234174
0.010000,6.069020,18.463468,2.096124,4.499088,3.565139,-12.176869,0.235945
0.010000,6.113090,18.474103,2.141460,4.533505,3.441717,-12.342260,0.237603
0.010000,6.157465,18.484887,2.187126,4.566672,3.316639,-12.507736,0.239148
0.010000,6.202135,18.495812,2.233112,4.598571,3.189907,-12.673190,0.240577
0.010000,6.247086,18.506871,2.279404,4.629186,3.061522,-12.838516,0.241889
0.010000,6.292308,18.518058,2.325989,4.658501,2.931486,-13.003644,0.243082
0.010000,6.337789,18.529363,2.372854,4.686499,2.799801,-13.168516,0.244155
0.010000,6.383517,18.540778,2.419985,4.713164,2.666470,-13.333095,0.245107
0.010000,6.429481,18.552296,2.467370,4.738479,2.531496,-13.497369,0.245935
0.010000,6.475668,18.563908,2.514995,4.762427,2.394883,-13.661325,0.246641
0.010000,6.522066,18.575604,2.562844,4.784994,2.256633,-13.824988,0.247221
0.010000,6.568664,18.587377,2.610906,4.806161,2.116749,-13.988374,0.247677
0.010000,6.615448,18.599216,2.659165,4.825914,1.975234,-14.151528,0.248007
0.010000,6.662407,18.611112,2.707608,4.844234,1.832089,-14.314495,0.248211
0.010000,6.709528,18.623057,2.756219,4.861108,1.687316,-14.477329,0.248289
0.010000,6.756792,18.635039,2.804978,4.875944,1.483650,-20.366525,0.248240
0.010000,6.804182,18.647047,2.853865,4.888721,1.277670,-20.598078,0.248065
0.010000,6.851683,18.659071,2.902865,4.899991,1.126982,-15.068801,0.247764
