dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.999990,15.840000,0.000007,0.001479,0.147916,14.791561,6.283177
0.010000,3.999995,15.840000,0.000013,0.000541,-0.093771,-24.168639,6.283181
0.010000,4.000050,15.840000,0.000067,0.005406,0.486422,58.019299,0.000007
0.010000,4.000190,15.840000,0.000207,0.013999,0.859329,37.290725,0.000025
0.010000,4.000408,15.840000,0.000426,0.021873,0.787429,-7.190030,0.000054
0.010000,4.000723,15.840000,0.000741,0.031497,0.962396,17.496704,0.000096
0.010000,4.001152,15.840000,0.001169,0.042871,1.137349,17.495235,0.000154
0.010000,4.001712,15.840000,0.001729,0.055993,1.312280,17.493102,0.000228
0.010000,4.002421,15.840000,0.002438,0.070865,1.487183,17.490322,0.000323
0.010000,4.003295,15.840001,0.003313,0.087486,1.662051,17.486775,0.000439
0.010000,4.004354,15.840001,0.004371,0.105855,1.836873,17.482291,0.000580
0.010000,4.005614,15.840002,0.005631,0.125971,2.011642,17.476814,0.000748
0.010000,4.007092,15.840003,0.007109,0.147834,2.186345,17.470310,0.000945
0.010000,4.008806,15.840005,0.008824,0.171444,2.360970,17.462494,0.001174
0.010000,4.010774,15.840008,0.010792,0.196799,2.535504,17.453463,0.001436
0.010000,4.013013,15.840011,0.013031,0.223899,2.709934,17.442979,0.001734
0.010000,4.015541,15.840016,0.015558,0.252741,2.884244,17.430955,0.002070
0.010000,4.018374,15.840022,0.018391,0.283325,3.058417,17.417337,0.002447
0.010000,4.021531,15.840031,0.021548,0.315649,3.232436,17.401933,0.002866
0.010000,4.025028,15.840042,0.025045,0.349712,3.406282,17.384612,0.003331
0.010000,4.028883,15.840056,0.028900,0.385512,3.579936,17.365370,0.003842
0.010000,4.033113,15.840073,0.033131,0.423045,3.753376,17.343961,0.004403
0.010000,4.037736,15.840095,0.037754,0.462311,3.926578,17.320277,0.005016
0.010000,4.042769,15.840122,0.042787,0.503306,4.099521,17.294225,0.005683
0.010000,4.048229,15.840155,0.048247,0.546028,4.272177,17.265626,0.006405
0.010000,4.054134,15.840195,0.054152,0.590473,4.444520,17.234330,0.007185
0.010000,4.060500,15.840243,0.060518,0.636639,4.616522,17.200188,0.008026
0.010000,4.067345,15.840301,0.067363,0.684520,4.788153,17.163047,0.008928
0.010000,4.074686,15.840370,0.074705,0.734114,4.959380,17.122765,0.009895
0.010000,4.082540,15.840452,0.082559,0.785416,5.130171,17.079093,0.010927
0.010000,4.090923,15.840548,0.090943,0.838421,5.300491,17.031946,0.012028
0.010000,4.099854,15.840661,0.099874,0.893124,5.470301,16.981006,0.013199
0.010000,4.109348,15.840792,0.109369,0.949519,5.639563,16.926242,0.014441
