dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.500083,20.000000,0.000119,0.011910,0.595495,29.774759,0.000020
0.020000,19.500560,20.000000,0.000595,0.035730,1.190990,29.774759,0.000132
0.020000,19.501632,20.000000,0.001667,0.071459,1.786486,29.774759,0.000384
0.020000,19.503537,20.000001,0.003573,0.119099,2.381981,29.774759,0.000831
0.020000,19.506515,20.000005,0.006550,0.178649,2.977476,29.774759,0.001530
0.020000,19.510802,20.000014,0.010838,0.250108,3.572971,29.774759,0.002534
0.020000,19.516638,20.000032,0.016674,0.333477,4.168466,29.774759,0.003898
0.020000,19.524260,20.000069,0.024296,0.428757,4.763961,29.774759,0.005674
0.020000,19.533907,20.000135,0.033943,0.535946,5.359457,29.774759,0.007912
0.020000,19.545817,20.000245,0.045853,0.655045,5.954952,29.774759,0.010662
0.020000,19.560107,20.000421,0.060145,0.774144,5.954952,-0.000000,0.013940
0.020000,19.576779,20.000685,0.076819,0.893243,5.954952,0.000000,0.017735
0.020000,19.595831,20.001064,0.095875,1.012342,5.954952,-0.000000,0.022034
0.020000,19.617263,20.001588,0.117313,1.131441,5.954952,0.000000,0.026820
0.020000,19.641072,20.002289,0.141132,1.250540,5.954952,0.000000,0.032076
0.020000,19.667258,20.003204,0.167334,1.369639,5.954952,0.000000,0.037779
0.020000,19.695818,20.004372,0.195918,1.488738,5.954952,-0.000000,0.043908
0.020000,19.726749,20.005832,0.226884,1.607837,5.954952,0.000000,0.050435
0.020000,19.760048,20.007629,0.260231,1.726936,5.954952,-0.000000,0.057333
0.020000,19.795711,20.009805,0.295961,1.846035,5.954952,0.000000,0.064569
0.020000,19.833734,20.012409,0.334073,1.965134,5.954952,-0.000000,0.072111
0.020000,19.874111,20.015484,0.374566,2.084233,5.954952,0.000000,0.079920
0.020000,19.916835,20.019080,0.417442,2.203332,5.954952,-0.000000,0.087958
0.020000,19.961901,20.023242,0.462700,2.322431,5.954952,-0.000000,0.096181
0.020000,20.009300,20.028016,0.510339,2.441530,5.954952,0.000000,0.104544
0.020000,20.059026,20.033448,0.560361,2.560629,5.954952,0.000000,0.113000
0.020000,20.111070,20.039580,0.612765,2.679728,5.954952,-0.000000,0.121497
0.020000,20.165422,20.046452,0.667550,2.798827,5.954952,0.000000,0.129983
0.020000,20.222075,20.054103,0.724718,2.917926,5.954952,0.000000,0.138401
0.020000,20.281020,20.062565,0.784267,3.037025,5.954952,0.000000,0.146695
0.020000,20.342249,20.071868,0.846199,3.156124,5.954952,0.000000,0.154803
0.020000,20.405753,20.082037,0.910512,3.275224,5.954952,0.000000,0.162664
0.020000,20.471526,20.093090,0.977208,3.394323,5.954952,0.000000,0.170214
0.020000,20.539562,20.105039,1.046285,3.513422,5.954952,-0.000000,0.177387
0.020000,20.609740,20.117868,1.117625,3.620611,5.359457,-29.774759,0.184105
0.020000,20.681822,20.131526,1.190990,3.715890,4.763961,-29.774759,0.190282
0.020000,20.755576,20.145949,1.266142,3.799259,4.168466,-29.774759,0.195843
0.020000,20.830772,20.161063,1.342842,3.870719,3.572971,-29.774759,0.200720
0.020000,20.907182,20.176780,1.420852,3.930268,2.977476,-29.774759,0.204855
0.020000,20.984582,20.193002,1.499933,3.977908,2.381981,-29.774759,0.208199
0.020000,21.062750,20.209624,1.579849,4.013638,1.786486,-29.774759,0.210713
0.020000,21.141465,20.226534,1.660360,4.037457,1.190990,-29.774759,0.212367
0.020000,21.220508,20.243616,1.741228,4.049367,0.595495,-29.774759,0.213143
0.020000,21.299633,20.260742,1.822185,4.046327,-0.152014,-37.375447,0.213029
0.020000,21.378591,20.277787,1.902962,4.031377,-0.747509,-29.774759,0.212030
0.020000,21.457165,20.294630,1.983321,4.004517,-1.343004,-29.774759,0.210155
0.020000,21.535136,20.311156,2.063023,3.965747,-1.938499,-29.774759,0.207428
0.020000,21.612282,20.327255,2.141832,3.915067,-2.533994,-29.774759,0.203881
0.020000,21.688382,20.342822,2.219507,3.852477,-3.129490,-29.774759,0.199554
0.020000,21.763209,20.357764,2.295812,3.777977,-3.724985,-29.774759,0.194500
0.020000,21.836536,20.371996,2.370507,3.691568,-4.320480,-29.774759,0.188779
0.020000,21.908132,20.385445,2.443355,3.593248,-4.915975,-29.774759,0.182460
0.020000,21.977762,20.398051,2.514118,3.483019,-5.511470,-29.774759,0.175622
0.020000,22.045221,20.409772,2.582587,3.363920,-5.954952,-22.174072,0.168349
0.020000,22.110415,20.420600,2.648675,3.244821,-5.954952,-0.000000,0.160716
0.020000,22.173339,20.430548,2.712380,3.125722,-5.954952,0.000000,0.152788
0.020000,22.233985,20.439636,2.773704,3.006623,-5.954952,-0.000000,0.144629
0.020000,22.292345,20.447891,2.832645,2.887524,-5.954952,0.000000,0.136300
0.020000,22.348412,20.455341,2.889204,2.768425,-5.954952,0.000000,0.127861
0.020000,22.402175,20.462023,2.943382,2.649326,-5.954952,0.000000,0.119369
0.020000,22.453628,20.467975,2.995178,2.530227,-5.954952,-0.000000,0.110879
0.020000,22.502760,20.473236,3.044591,2.411128,-5.954952,0.000000,0.102444
0.020000,22.549564,20.477852,3.091623,2.292028,-5.954952,0.000000,0.094114
