dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500014,23.160000,0.000007,0.001471,0.147059,14.705882,6.283173
0.010000,1.500011,23.160000,0.000010,0.000306,-0.116459,-26.351764,6.283176
0.010000,1.500004,23.160000,0.000017,0.000688,0.038250,15.470849,6.283182
0.010000,1.500071,23.160000,0.000084,0.006668,0.597968,55.971843,0.000007
0.010000,1.500235,23.160000,0.000249,0.016470,0.980172,38.220414,0.000024
0.010000,1.500473,23.160000,0.000486,0.023717,0.724681,-25.549116,0.000047
0.010000,1.500795,23.160000,0.000809,0.032281,0.856446,13.176504,0.000080
0.010000,1.501217,23.160000,0.001230,0.042163,0.988216,13.176968,0.000122
0.010000,1.501751,23.160000,0.001764,0.053363,1.119990,13.177431,0.000175
0.010000,1.502409,23.160000,0.002423,0.065881,1.251772,13.178139,0.000241
0.010000,1.503207,23.160001,0.003220,0.079717,1.383562,13.179031,0.000321
0.010000,1.504155,23.160001,0.004169,0.094870,1.515361,13.179887,0.000416
0.010000,1.505269,23.160001,0.005282,0.111342,1.647173,13.181241,0.000527
0.010000,1.506560,23.160002,0.006573,0.129132,1.778999,13.182616,0.000656
0.010000,1.508042,23.160003,0.008056,0.148240,1.910843,13.184355,0.000805
0.010000,1.509729,23.160005,0.009742,0.168667,2.042705,13.186268,0.000973
0.010000,1.511633,23.160007,0.011647,0.190413,2.174591,13.188520,0.001164
0.010000,1.513761,23.160009,0.013775,0.212819,2.240612,6.602146,0.001377
0.010000,1.516114,23.160013,0.016127,0.235227,2.240764,0.015224,0.001612
0.010000,1.518690,23.160017,0.018703,0.257636,2.240935,0.017022,0.001869
0.010000,1.521491,23.160023,0.021504,0.280048,2.241119,0.018484,0.002149
0.010000,1.524515,23.160030,0.024528,0.302461,2.241322,0.020249,0.002451
0.010000,1.527764,23.160039,0.027777,0.324876,2.241542,0.021969,0.002775
0.010000,1.531237,23.160049,0.031250,0.347294,2.241778,0.023594,0.003122
0.010000,1.534934,23.160061,0.034947,0.369714,2.242031,0.025384,0.003491
0.010000,1.538855,23.160075,0.038869,0.392137,2.242302,0.027034,0.003882
0.010000,1.543001,23.160092,0.043014,0.414563,2.242590,0.028855,0.004295
0.010000,1.547371,23.160112,0.047384,0.436992,2.242897,0.030624,0.004730
0.010000,1.551965,23.160135,0.051978,0.459424,2.243220,0.032358,0.005188
0.010000,1.556784,23.160161,0.056797,0.481860,2.243562,0.034211,0.005668
0.010000,1.561826,23.160191,0.061840,0.504299,2.243923,0.036038,0.006169
0.010000,1.567094,23.160225,0.067107,0.526742,2.244302,0.037911,0.006693
0.010000,1.572585,23.160263,0.072599,0.549189,2.244699,0.039775,0.007239
0.010000,1.578302,23.160306,0.078316,0.571640,2.245117,0.041717,0.007807
0.010000,1.584242,23.160354,0.084257,0.594096,2.245552,0.043575,0.008396
0.010000,1.590408,23.160408,0.090422,0.616556,2.246009,0.045674,0.009008
0.010000,1.596798,23.160467,0.096813,0.639021,2.246484,0.047456,0.009641
0.010000,1.603412,23.160533,0.103427,0.661491,2.246981,0.049719,0.010297
0.010000,1.610252,23.160606,0.110267,0.683966,2.247497,0.051567,0.010974
0.010000,1.617316,23.160686,0.117332,0.706446,2.248034,0.053756,0.011672
0.010000,1.624604,23.160774,0.124621,0.728932,2.248593,0.055870,0.012393
0.010000,1.632118,23.160870,0.132135,0.751424,2.249172,0.057934,0.013135
0.010000,1.639857,23.160974,0.139874,0.773921,2.249774,0.060191,0.013899
0.010000,1.647820,23.161088,0.147839,0.796425,2.250398,0.062394,0.014684
0.010000,1.656008,23.161212,0.156028,0.818936,2.251044,0.064595,0.015490
0.010000,1.664422,23.161346,0.164442,0.841453,2.251714,0.066968,0.016318
0.010000,1.673060,23.161490,0.173082,0.863977,2.252405,0.069182,0.017168
0.010000,1.681924,23.161646,0.181947,0.886508,2.253122,0.071636,0.018038
0.010000,1.691013,23.161814,0.191038,0.909047,2.253862,0.073988,0.018930
0.010000,1.700327,23.161995,0.200354,0.931593,2.254626,0.076382,0.019843
0.010000,1.709867,23.162189,0.209895,0.954147,2.255416,0.079020,0.020777
0.010000,1.719632,23.162396,0.219662,0.976710,2.256229,0.081332,0.021732
0.010000,1.729622,23.162618,0.229655,0.999280,2.257069,0.084007,0.022708
0.010000,1.739838,23.162855,0.239874,1.021860,2.257935,0.086564,0.023705
0.010000,1.750279,23.163108,0.250318,1.044448,2.258828,0.089311,0.024723
0.010000,1.760946,23.163378,0.260989,1.067045,2.259746,0.091805,0.025761
0.010000,1.771839,23.163664,0.271885,1.089652,2.260693,0.094688,0.026820
0.010000,1.782958,23.163968,0.283008,1.112269,2.261667,0.097419,0.027900
0.010000,1.794302,23.164291,0.294357,1.134896,2.262669,0.100195,0.029000
0.010000,1.805872,23.164633,0.305932,1.157533,2.263700,0.103081,0.030120
0.010000,1.817668,23.164995,0.317734,1.180180,2.264760,0.105984,0.031261
0.010000,1.829691,23.165378,0.329762,1.202839,2.265849,0.108974,0.032422
0.010000,1.841939,23.165783,0.342017,1.225508,2.266968,0.111906,0.033603
0.010000,1.854414,23.166210,0.354499,1.248190,2.268118,0.114978,0.034804
0.010000,1.867115,23.166660,0.367208,1.270883,2.269298,0.117993,0.036025
0.010000,1.880042,23.167134,0.380144,1.293588,2.270511,0.121273,0.037265
0.010000,1.893195,23.167632,0.393307,1.316305,2.271754,0.124317,0.038525
0.010000,1.906575,23.168157,0.406697,1.339035,2.273030,0.127576,0.039805
0.010000,1.920182,23.168707,0.420315,1.361779,2.274339,0.130923,0.041105
0.010000,1.934015,23.169285,0.434161,1.384536,2.275680,0.134086,0.042423
0.010000,1.948075,23.169892,0.448234,1.407306,2.277056,0.137616,0.043761
0.010000,1.962362,23.170527,0.462534,1.430091,2.278465,0.140894,0.045118
0.010000,1.976876,23.171192,0.477063,1.452890,2.279909,0.144409,0.046494
0.010000,1.991616,23.171888,0.491820,1.475704,2.281388,0.147895,0.047889
0.010000,2.006584,23.172616,0.506806,1.498533,2.282903,0.151503,0.049302
0.010000,2.021779,23.173377,0.522020,1.521377,2.284453,0.154963,0.050735
0.010000,2.037201,23.174171,0.537462,1.544238,2.286040,0.158702,0.052185
0.010000,2.052850,23.175000,0.553133,1.567114,2.287663,0.162369,0.053654
0.010000,2.068727,23.175865,0.569033,1.590008,2.289324,0.166067,0.055141
0.010000,2.084831,23.176766,0.585162,1.612918,2.291022,0.169811,0.056646
0.010000,2.101162,23.177704,0.601521,1.635845,2.292760,0.173749,0.058169
0.010000,2.117721,23.178681,0.618109,1.658791,2.294534,0.177432,0.059709
0.010000,2.134508,23.179698,0.634926,1.681754,2.296348,0.181433,0.061268
0.010000,2.151522,23.180755,0.651974,1.704736,2.298202,0.185345,0.062843
0.010000,2.168765,23.181854,0.669251,1.727737,2.300095,0.189300,0.064436
0.010000,2.186235,23.182996,0.686759,1.750758,2.302029,0.193420,0.066046
0.010000,2.203934,23.184181,0.704497,1.773798,2.304002,0.197308,0.067672
0.010000,2.221860,23.185410,0.722465,1.796858,2.306017,0.201525,0.069316
0.010000,2.240015,23.186686,0.740664,1.819938,2.308074,0.205633,0.070976
0.010000,2.258398,23.188008,0.759095,1.843040,2.310171,0.209780,0.072652
0.010000,2.277009,23.189379,0.777757,1.866163,2.312311,0.213963,0.074345
0.010000,2.295848,23.190798,0.796650,1.889308,2.314494,0.218292,0.076053
0.010000,2.314917,23.192268,0.815774,1.912475,2.316718,0.222434,0.077778
0.010000,2.334213,23.193789,0.835131,1.935665,2.318986,0.226819,0.079518
0.010000,2.353739,23.195362,0.854720,1.958878,2.321298,0.231130,0.081273
0.010000,2.373493,23.196988,0.874541,1.982115,2.323652,0.235471,0.083044
0.010000,2.393476,23.198670,0.894595,2.005375,2.326051,0.239868,0.084829
0.010000,2.413689,23.200407,0.914881,2.028660,2.328494,0.244306,0.086630
0.010000,2.434130,23.202201,0.935401,2.051970,2.330981,0.248705,0.088444
0.010000,2.454800,23.204053,0.956154,2.075305,2.333513,0.253173,0.090274
0.010000,2.475699,23.205964,0.977141,2.098666,2.336090,0.257664,0.092117
0.010000,2.496828,23.207935,0.998361,2.122053,2.338711,0.262150,0.093974
0.010000,2.518186,23.209969,1.019816,2.145467,2.341378,0.266737,0.095845
0.010000,2.539774,23.212065,1.041505,2.168908,2.344090,0.271145,0.097730
0.010000,2.561591,23.214225,1.063429,2.192376,2.346848,0.275815,0.099627
0.010000,2.583638,23.216450,1.085587,2.215873,2.349651,0.280324,0.101538
0.010000,2.605914,23.218741,1.107981,2.239398,2.352500,0.284896,0.103461
0.010000,2.628420,23.221100,1.130611,2.262952,2.355396,0.289523,0.105397
0.010000,2.651156,23.223528,1.153476,2.286535,2.358336,0.294042,0.107345
0.010000,2.674122,23.226025,1.176578,2.310148,2.361323,0.298711,0.109305
0.010000,2.697319,23.228594,1.199916,2.333792,2.364356,0.303261,0.111277
0.010000,2.720745,23.231235,1.223490,2.357466,2.367435,0.307900,0.113260
0.010000,2.744401,23.233950,1.247302,2.381172,2.370560,0.312489,0.115254
0.010000,2.768288,23.236739,1.271351,2.404909,2.373730,0.317078,0.117259
0.010000,2.792405,23.239605,1.295638,2.428679,2.376947,0.321664,0.119275
0.010000,2.816753,23.242548,1.320163,2.452481,2.380210,0.326319,0.121301
0.010000,2.841331,23.245569,1.344926,2.476316,2.383518,0.330802,0.123337
0.010000,2.866140,23.248671,1.369928,2.500185,2.386873,0.335432,0.125382
0.010000,2.891179,23.251853,1.395169,2.524087,2.390272,0.339977,0.127438
0.010000,2.916449,23.255117,1.420649,2.548025,2.393717,0.344509,0.129502
0.010000,2.941951,23.258465,1.446369,2.571997,2.397208,0.349032,0.131575
0.010000,2.967683,23.261898,1.472329,2.596004,2.400743,0.353567,0.133657
0.010000,2.993646,23.265417,1.498529,2.620047,2.404323,0.357999,0.135747
0.010000,3.019840,23.269022,1.524971,2.644127,2.407948,0.362489,0.137845
0.010000,3.046265,23.272717,1.551653,2.668243,2.411617,0.366922,0.139951
0.010000,3.072922,23.276501,1.578577,2.692396,2.415331,0.371319,0.142064
0.010000,3.099810,23.280375,1.605743,2.716587,2.419088,0.375688,0.144184
0.010000,3.126930,23.284343,1.633151,2.740816,2.422888,0.380075,0.146311
0.010000,3.154281,23.288403,1.660802,2.765083,2.426731,0.384316,0.148444
0.010000,3.181864,23.292558,1.688696,2.789390,2.430618,0.388639,0.150582
0.010000,3.209678,23.296809,1.716833,2.813735,2.434546,0.392866,0.152727
0.010000,3.237724,23.301157,1.745214,2.838120,2.438517,0.397055,0.154877
0.010000,3.266002,23.305603,1.773840,2.862546,2.442529,0.401203,0.157032
0.010000,3.294512,23.310149,1.802710,2.887011,2.446582,0.405331,0.159191
0.010000,3.323254,23.314795,1.831825,2.911518,2.450676,0.409372,0.161355
0.010000,3.352228,23.319543,1.861186,2.936066,2.454810,0.413418,0.163522
0.010000,3.381435,23.324395,1.890792,2.960656,2.458984,0.417359,0.165693
0.010000,3.410873,23.329351,1.920645,2.985288,2.463197,0.421293,0.167867
0.010000,3.440544,23.334412,1.950745,3.009962,2.467448,0.425147,0.170044
0.010000,3.470448,23.339580,1.981092,3.034680,2.471738,0.428953,0.172224
0.010000,3.500584,23.344856,2.011686,3.059441,2.476065,0.432730,0.174405
0.010000,3.530953,23.350241,2.042529,3.084245,2.480429,0.436407,0.176589
0.010000,3.561554,23.355737,2.073619,3.109093,2.484830,0.440052,0.178773
0.010000,3.592388,23.361343,2.104959,3.133986,2.489266,0.443632,0.180959
0.010000,3.623456,23.367063,2.136549,3.158923,2.493738,0.447164,0.183145
0.010000,3.654756,23.372895,2.168388,3.183906,2.498244,0.450591,0.185331
0.010000,3.686289,23.378843,2.200477,3.208933,2.502784,0.454020,0.187517
0.010000,3.718056,23.384907,2.232817,3.234007,2.507357,0.457323,0.189702
0.010000,3.750056,23.391087,2.265408,3.259127,2.511963,0.460600,0.191886
0.010000,3.782289,23.397386,2.298251,3.284293,2.516601,0.463799,0.194069
