dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499986,20.840000,0.000007,0.001471,0.147059,14.705882,6.283173
0.010000,1.499989,20.840000,0.000010,0.000306,-0.116459,-26.351764,6.283176
0.010000,1.499996,20.840000,0.000017,0.000688,0.038250,15.470849,6.283182
0.010000,1.500087,20.840000,0.000108,0.009116,0.842765,80.451523,0.000007
0.010000,1.500290,20.840000,0.000311,0.020295,1.117865,27.510059,0.000024
0.010000,1.500582,20.840000,0.000604,0.029224,0.892967,-22.489873,0.000047
0.010000,1.500980,20.840000,0.001001,0.039778,1.055318,16.235149,0.000080
0.010000,1.501500,20.840000,0.001521,0.051954,1.217667,16.234849,0.000122
0.010000,1.502157,20.840000,0.002179,0.065754,1.380009,16.234263,0.000175
0.010000,1.502969,20.840000,0.002990,0.081178,1.542346,16.233648,0.000241
0.010000,1.503951,20.840001,0.003973,0.098225,1.704675,16.232891,0.000321
0.010000,1.505120,20.840001,0.005141,0.116895,1.866992,16.231676,0.000416
0.010000,1.506492,20.840002,0.006513,0.137188,2.029298,16.230619,0.000527
0.010000,1.508083,20.840003,0.008104,0.159103,2.191589,16.229089,0.000656
0.010000,1.509909,20.840004,0.009931,0.182642,2.353863,16.227466,0.000805
0.010000,1.511988,20.840006,0.012009,0.207803,2.516118,16.225468,0.000973
0.010000,1.514333,20.840008,0.014355,0.234587,2.678350,16.223255,0.001164
0.010000,1.516955,20.840012,0.016977,0.262181,2.759388,8.103742,0.001377
0.010000,1.519853,20.840016,0.019874,0.289773,2.759235,-0.015324,0.001612
0.010000,1.523027,20.840022,0.023048,0.317364,2.759067,-0.016784,0.001869
0.010000,1.526476,20.840028,0.026497,0.344952,2.758880,-0.018684,0.002149
0.010000,1.530201,20.840037,0.030223,0.372539,2.758678,-0.020240,0.002451
0.010000,1.534203,20.840047,0.034224,0.400124,2.758459,-0.021882,0.002775
0.010000,1.538480,20.840060,0.038501,0.427706,2.758222,-0.023675,0.003122
0.010000,1.543033,20.840075,0.043054,0.455286,2.757969,-0.025300,0.003491
0.010000,1.547861,20.840093,0.047883,0.482863,2.757698,-0.027137,0.003882
0.010000,1.552965,20.840114,0.052987,0.510437,2.757410,-0.028802,0.004295
0.010000,1.558345,20.840138,0.058367,0.538008,2.757104,-0.030576,0.004730
0.010000,1.564001,20.840166,0.064023,0.565576,2.756779,-0.032438,0.005188
0.010000,1.569932,20.840198,0.069954,0.593140,2.756437,-0.034200,0.005668
0.010000,1.576139,20.840235,0.076161,0.620701,2.756077,-0.036046,0.006169
0.010000,1.582622,20.840277,0.082644,0.648258,2.755698,-0.037887,0.006693
0.010000,1.589380,20.840324,0.089402,0.675811,2.755300,-0.039793,0.007239
0.010000,1.596413,20.840377,0.096435,0.703360,2.754884,-0.041661,0.007807
0.010000,1.603722,20.840436,0.103745,0.730904,2.754447,-0.043690,0.008396
0.010000,1.611306,20.840502,0.111329,0.758444,2.753992,-0.045484,0.009008
0.010000,1.619166,20.840575,0.119189,0.785979,2.753515,-0.047731,0.009641
0.010000,1.627300,20.840656,0.127324,0.813509,2.753020,-0.049451,0.010297
0.010000,1.635710,20.840746,0.135734,0.841034,2.752503,-0.051749,0.010974
0.010000,1.644395,20.840844,0.144420,0.868554,2.751966,-0.053697,0.011672
0.010000,1.653355,20.840952,0.153380,0.896068,2.751408,-0.055809,0.012393
0.010000,1.662590,20.841070,0.162616,0.923576,2.750827,-0.058055,0.013135
0.010000,1.672100,20.841198,0.172127,0.951079,2.750226,-0.060140,0.013899
0.010000,1.681885,20.841338,0.181913,0.978575,2.749602,-0.062367,0.014684
0.010000,1.691944,20.841490,0.191973,1.006064,2.748955,-0.064675,0.015490
0.010000,1.702278,20.841654,0.202309,1.033547,2.748287,-0.066853,0.016318
0.010000,1.712887,20.841832,0.212919,1.061023,2.747594,-0.069307,0.017168
0.010000,1.723770,20.842024,0.223804,1.088492,2.746878,-0.071552,0.018038
0.010000,1.734928,20.842230,0.234963,1.115953,2.746138,-0.074006,0.018930
0.010000,1.746360,20.842452,0.246398,1.143407,2.745373,-0.076497,0.019843
0.010000,1.758066,20.842689,0.258106,1.170853,2.744585,-0.078776,0.020777
0.010000,1.770046,20.842944,0.270089,1.198290,2.743770,-0.081545,0.021732
0.010000,1.782300,20.843216,0.282346,1.225720,2.742930,-0.083959,0.022708
0.010000,1.794828,20.843507,0.294878,1.253140,2.742064,-0.086611,0.023705
0.010000,1.807630,20.843817,0.307683,1.280552,2.741173,-0.089123,0.024723
0.010000,1.820706,20.844147,0.320763,1.307955,2.740252,-0.092040,0.025761
0.010000,1.834055,20.844498,0.334116,1.335348,2.739307,-0.094576,0.026820
0.010000,1.847677,20.844871,0.347743,1.362731,2.738333,-0.097397,0.027900
0.010000,1.861572,20.845267,0.361644,1.390104,2.737330,-0.100259,0.029000
0.010000,1.875741,20.845685,0.375819,1.417467,2.736299,-0.103086,0.030120
0.010000,1.890182,20.846129,0.390267,1.444820,2.735239,-0.105991,0.031261
0.010000,1.904896,20.846598,0.404989,1.472161,2.734150,-0.108889,0.032422
0.010000,1.919883,20.847092,0.419984,1.499491,2.733031,-0.111959,0.033603
0.010000,1.935142,20.847615,0.435252,1.526810,2.731881,-0.114960,0.034804
0.010000,1.950673,20.848165,0.450793,1.554117,2.730700,-0.118132,0.036025
0.010000,1.966477,20.848744,0.466607,1.581412,2.729489,-0.121083,0.037265
0.010000,1.982552,20.849354,0.482694,1.608695,2.728245,-0.124425,0.038525
0.010000,1.998899,20.849994,0.499054,1.635964,2.726969,-0.127605,0.039805
0.010000,2.015518,20.850667,0.515686,1.663221,2.725661,-0.130781,0.041105
0.010000,2.032408,20.851373,0.532591,1.690464,2.724318,-0.134285,0.042423
0.010000,2.049569,20.852113,0.549768,1.717694,2.722944,-0.137443,0.043761
0.010000,2.067001,20.852888,0.567217,1.744909,2.721534,-0.141011,0.045118
0.010000,2.084703,20.853699,0.584938,1.772110,2.720090,-0.144392,0.046494
0.010000,2.102676,20.854548,0.602931,1.799296,2.718611,-0.147910,0.047889
0.010000,2.120919,20.855435,0.621195,1.826467,2.717097,-0.151379,0.049302
0.010000,2.139432,20.856362,0.639732,1.853622,2.715546,-0.155130,0.050735
0.010000,2.158215,20.857330,0.658539,1.880762,2.713959,-0.158641,0.052185
0.010000,2.177267,20.858339,0.677618,1.907885,2.712336,-0.162339,0.053654
0.010000,2.196589,20.859391,0.696968,1.934992,2.710675,-0.166096,0.055141
0.010000,2.216179,20.860487,0.716589,1.962082,2.708976,-0.169894,0.056646
