dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500022,23.160000,0.000007,0.001495,0.149477,14.947683,6.283166
0.010000,1.500014,23.160000,0.000016,0.000825,-0.067007,-21.648348,6.283174
0.010000,1.500013,23.160000,0.000017,0.000092,-0.073251,-0.624418,0.000004
0.010000,1.500099,23.160000,0.000103,0.008659,0.856714,92.996500,0.000033
0.010000,1.500235,23.160000,0.000239,0.013530,0.487083,-36.963139,0.000077
0.010000,1.500429,23.160000,0.000433,0.019483,0.595318,10.823506,0.000141
0.010000,1.500695,23.160000,0.000699,0.026519,0.703547,10.822938,0.000228
0.010000,1.501041,23.160000,0.001045,0.034637,0.811771,10.822342,0.000342
0.010000,1.501479,23.160000,0.001483,0.043836,0.919982,10.821132,0.000486
0.010000,1.502021,23.160001,0.002024,0.054118,1.028183,10.820075,0.000664
0.010000,1.502675,23.160001,0.002679,0.065482,1.136370,10.818697,0.000879
0.010000,1.503455,23.160002,0.003459,0.077927,1.244535,10.816568,0.001135
0.010000,1.504369,23.160003,0.004373,0.091454,1.352683,10.814721,0.001435
0.010000,1.505430,23.160005,0.005434,0.106062,1.460802,10.811970,0.001784
0.010000,1.506647,23.160007,0.006651,0.121751,1.568895,10.809276,0.002184
0.010000,1.508027,23.160011,0.008031,0.137979,1.622845,5.395045,0.002637
0.010000,1.509569,23.160015,0.009573,0.154206,1.622663,-0.018268,0.003144
0.010000,1.511273,23.160021,0.011277,0.170431,1.622464,-0.019878,0.003704
0.010000,1.513140,23.160028,0.013144,0.186653,1.622246,-0.021807,0.004318
0.010000,1.515169,23.160038,0.015173,0.202873,1.622013,-0.023325,0.004985
0.010000,1.517360,23.160050,0.017364,0.219091,1.621766,-0.024639,0.005706
0.010000,1.519713,23.160064,0.019717,0.235306,1.621507,-0.025974,0.006480
0.010000,1.522228,23.160081,0.022232,0.251518,1.621235,-0.027189,0.007308
0.010000,1.524905,23.160102,0.024909,0.267728,1.620954,-0.028042,0.008189
0.010000,1.527744,23.160127,0.027748,0.283935,1.620668,-0.028674,0.009124
0.010000,1.530745,23.160155,0.030750,0.300138,1.620373,-0.029464,0.010113
0.010000,1.533909,23.160189,0.033913,0.316339,1.620077,-0.029594,0.011155
0.010000,1.537234,23.160228,0.037239,0.332537,1.619779,-0.029825,0.012250
0.010000,1.540721,23.160273,0.040726,0.348732,1.619483,-0.029596,0.013400
0.010000,1.544370,23.160324,0.044375,0.364924,1.619190,-0.029304,0.014603
0.010000,1.548180,23.160382,0.048186,0.381113,1.618904,-0.028536,0.015860
0.010000,1.552153,23.160447,0.052159,0.397299,1.618627,-0.027689,0.017170
0.010000,1.556287,23.160521,0.056294,0.413483,1.618364,-0.026365,0.018535
0.010000,1.560583,23.160604,0.060591,0.429664,1.618115,-0.024922,0.019953
0.010000,1.565040,23.160696,0.065049,0.445843,1.617885,-0.022923,0.021425
0.010000,1.569659,23.160799,0.069669,0.462019,1.617677,-0.020832,0.022951
0.010000,1.574440,23.160912,0.074451,0.478194,1.617495,-0.018170,0.024530
0.010000,1.579382,23.161037,0.079395,0.494368,1.617342,-0.015345,0.026164
0.010000,1.584486,23.161175,0.084500,0.510540,1.617223,-0.011904,0.027851
0.010000,1.589751,23.161327,0.089767,0.526711,1.617140,-0.008244,0.029592
0.010000,1.595177,23.161492,0.095196,0.542882,1.617098,-0.004242,0.031388
0.010000,1.600764,23.161673,0.100787,0.559053,1.617103,0.000516,0.033237
0.010000,1.606513,23.161869,0.106539,0.575225,1.617157,0.005407,0.035140
0.010000,1.612423,23.162083,0.112453,0.591398,1.617264,0.010718,0.037096
0.010000,1.618495,23.162314,0.118529,0.607572,1.617433,0.016897,0.039107
0.010000,1.624727,23.162565,0.124766,0.623749,1.617665,0.023153,0.041172
0.010000,1.631121,23.162835,0.131166,0.639928,1.617965,0.029982,0.043290
0.010000,1.637675,23.163126,0.137727,0.656112,1.618340,0.037547,0.045462
0.010000,1.644391,23.163439,0.144450,0.672300,1.618794,0.045369,0.047688
0.010000,1.651268,23.163775,0.151335,0.688493,1.619334,0.053992,0.049967
0.010000,1.658306,23.164135,0.158382,0.704693,1.619962,0.062864,0.052300
0.010000,1.665504,23.164520,0.165590,0.720899,1.620689,0.072673,0.054687
0.010000,1.672864,23.164932,0.172962,0.737115,1.621517,0.082773,0.057127
0.010000,1.680384,23.165372,0.180495,0.753339,1.622452,0.093484,0.059621
0.010000,1.688066,23.165840,0.188191,0.769574,1.623503,0.105146,0.062168
0.010000,1.695908,23.166339,0.196049,0.785821,1.624672,0.116929,0.064768
0.010000,1.703912,23.166868,0.204070,0.802081,1.625970,0.129777,0.067421
0.010000,1.712076,23.167431,0.212253,0.818355,1.627400,0.142990,0.070128
0.010000,1.720401,23.168027,0.220600,0.834644,1.628971,0.157050,0.072887
0.010000,1.728887,23.168659,0.229109,0.850951,1.630687,0.171627,0.075699
0.010000,1.737534,23.169327,0.237782,0.867277,1.632557,0.186979,0.078563
0.010000,1.746342,23.170033,0.246618,0.883623,1.634588,0.203113,0.081480
0.010000,1.755311,23.170779,0.255618,0.899990,1.636784,0.219583,0.084449
0.010000,1.764441,23.171566,0.264782,0.916382,1.639156,0.237200,0.087470
0.010000,1.773732,23.172395,0.274110,0.932799,1.641708,0.255269,0.090543
0.010000,1.783184,23.173268,0.283602,0.949244,1.644449,0.274059,0.093667
0.010000,1.792797,23.174187,0.293260,0.965717,1.647385,0.293603,0.096843
0.010000,1.802572,23.175152,0.303082,0.982223,1.650525,0.314008,0.100069
0.010000,1.812508,23.176166,0.313069,0.998761,1.653874,0.334857,0.103346
0.010000,1.822606,23.177230,0.323223,1.015336,1.657440,0.356627,0.106674
0.010000,1.832865,23.178346,0.333542,1.031948,1.661231,0.379063,0.110052
0.010000,1.843285,23.179516,0.344028,1.048601,1.665254,0.402311,0.113479
0.010000,1.853867,23.180741,0.354681,1.065296,1.669514,0.425992,0.116956
0.010000,1.864612,23.182022,0.365502,1.082036,1.674021,0.450787,0.120482
0.010000,1.875518,23.183362,0.376490,1.098824,1.678780,0.475899,0.124056
0.010000,1.886586,23.184763,0.387646,1.115662,1.683800,0.501964,0.127679
0.010000,1.897817,23.186226,0.398972,1.132553,1.689086,0.528599,0.131349
0.010000,1.909210,23.187752,0.410467,1.149499,1.694645,0.555905,0.135066
0.010000,1.920766,23.189345,0.422132,1.166504,1.700485,0.583938,0.138830
0.010000,1.932485,23.191005,0.433968,1.183570,1.706609,0.612471,0.142641
0.010000,1.944366,23.192735,0.445975,1.200700,1.713027,0.641751,0.146497
0.010000,1.956411,23.194536,0.458154,1.217898,1.719742,0.671524,0.150397
0.010000,1.968620,23.196411,0.470505,1.235165,1.726762,0.701975,0.154343
0.010000,1.980992,23.198361,0.483030,1.252506,1.734091,0.732908,0.158332
0.010000,1.993528,23.200389,0.495730,1.269924,1.741734,0.764345,0.162364
0.010000,2.006229,23.202496,0.508604,1.287421,1.749697,0.796308,0.166439
0.010000,2.019094,23.204684,0.521654,1.305000,1.757984,0.828696,0.170555
0.010000,2.032124,23.206956,0.534881,1.322666,1.766600,0.861527,0.174713
0.010000,2.045320,23.209314,0.548285,1.340422,1.775548,0.894819,0.178911
0.010000,2.058680,23.211760,0.561867,1.358270,1.784831,0.928276,0.183148
0.010000,2.072207,23.214295,0.575630,1.376215,1.794453,0.962262,0.187423
0.010000,2.085900,23.216922,0.589572,1.394259,1.804416,0.996297,0.191737
0.010000,2.099759,23.219644,0.603696,1.412406,1.814723,1.030730,0.196087
0.010000,2.113785,23.222462,0.618003,1.430660,1.825376,1.065284,0.200473
0.010000,2.127979,23.225379,0.632493,1.449024,1.836375,1.099884,0.204895
0.010000,2.142340,23.228397,0.647168,1.467501,1.847722,1.134655,0.209350
0.010000,2.156870,23.231518,0.662029,1.486095,1.859416,1.169419,0.213838
0.010000,2.171568,23.234745,0.677077,1.504810,1.871458,1.204184,0.218358
