dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499978,20.840000,0.000007,0.001495,0.149477,14.947683,6.283166
0.010000,1.499986,20.840000,0.000016,0.000825,-0.067007,-21.648348,6.283174
0.010000,1.500022,20.840000,0.000052,0.003619,0.279426,34.643262,0.000004
0.010000,1.500175,20.840000,0.000204,0.015257,1.163800,88.437421,0.000033
0.010000,1.500413,20.840000,0.000443,0.023839,0.858208,-30.559241,0.000077
0.010000,1.500757,20.840000,0.000786,0.034328,1.048927,19.071947,0.000141
0.010000,1.501224,20.840000,0.001253,0.046725,1.239651,19.072381,0.000228
0.010000,1.501834,20.840000,0.001864,0.061029,1.430384,19.073324,0.000342
0.010000,1.502607,20.840001,0.002636,0.077240,1.621123,19.073826,0.000486
0.010000,1.503560,20.840001,0.003590,0.095359,1.811876,19.075322,0.000664
0.010000,1.504714,20.840002,0.004744,0.115385,2.002646,19.077052,0.000879
0.010000,1.506087,20.840003,0.006117,0.137319,2.193430,19.078327,0.001135
0.010000,1.507699,20.840006,0.007728,0.161162,2.384240,19.081026,0.001435
0.010000,1.509568,20.840009,0.009597,0.186913,2.575071,19.083108,0.001784
0.010000,1.511714,20.840013,0.011743,0.214572,2.765934,19.086302,0.002184
0.010000,1.514146,20.840019,0.014175,0.243186,2.861459,9.552495,0.002637
0.010000,1.516864,20.840027,0.016893,0.271803,2.861640,0.018137,0.003144
0.010000,1.519868,20.840037,0.019897,0.300421,2.861843,0.020285,0.003704
0.010000,1.523158,20.840050,0.023188,0.329042,2.862059,0.021559,0.004318
0.010000,1.526735,20.840067,0.026764,0.357665,2.862291,0.023208,0.004985
0.010000,1.530598,20.840087,0.030627,0.386290,2.862539,0.024837,0.005706
0.010000,1.534747,20.840113,0.034776,0.414918,2.862799,0.026013,0.006480
0.010000,1.539182,20.840143,0.039212,0.443549,2.863069,0.026948,0.007308
0.010000,1.543904,20.840180,0.043934,0.472182,2.863349,0.028037,0.008189
0.010000,1.548912,20.840223,0.048942,0.500819,2.863639,0.028992,0.009124
0.010000,1.554206,20.840274,0.054237,0.529458,2.863930,0.029112,0.010113
0.010000,1.559787,20.840333,0.059818,0.558100,2.864228,0.029803,0.011155
0.010000,1.565654,20.840402,0.065685,0.586746,2.864525,0.029686,0.012250
0.010000,1.571807,20.840481,0.071839,0.615394,2.864822,0.029712,0.013400
0.010000,1.578247,20.840571,0.078279,0.644045,2.865114,0.029146,0.014603
0.010000,1.584973,20.840674,0.085006,0.672699,2.865400,0.028677,0.015860
0.010000,1.591986,20.840789,0.092020,0.701356,2.865676,0.027567,0.017170
0.010000,1.599285,20.840920,0.099320,0.730015,2.865941,0.026481,0.018535
0.010000,1.606870,20.841066,0.106907,0.758677,2.866188,0.024747,0.019953
0.010000,1.614742,20.841229,0.114780,0.787341,2.866419,0.023096,0.021425
0.010000,1.622900,20.841410,0.122940,0.816007,2.866626,0.020673,0.022951
0.010000,1.631345,20.841610,0.131387,0.844676,2.866809,0.018281,0.024530
0.010000,1.640075,20.841831,0.140121,0.873345,2.866960,0.015161,0.026164
0.010000,1.649092,20.842075,0.149141,0.902016,2.867081,0.012072,0.027851
0.010000,1.658395,20.842342,0.158448,0.930688,2.867164,0.008271,0.029592
0.010000,1.667984,20.842635,0.168041,0.959360,2.867203,0.003938,0.031388
0.010000,1.677859,20.842954,0.177921,0.988032,2.867201,-0.000239,0.033237
0.010000,1.688020,20.843302,0.188088,1.016703,2.867147,-0.005402,0.035140
0.010000,1.698467,20.843679,0.198542,1.045373,2.867036,-0.011084,0.037096
0.010000,1.709200,20.844088,0.209283,1.074042,2.866871,-0.016536,0.039107
0.010000,1.720218,20.844531,0.220310,1.102709,2.866639,-0.023193,0.041172
0.010000,1.731522,20.845008,0.231623,1.131372,2.866337,-0.030222,0.043290
0.010000,1.743111,20.845523,0.243224,1.160032,2.865963,-0.037375,0.045462
0.010000,1.754985,20.846076,0.255111,1.188687,2.865507,-0.045539,0.047688
0.010000,1.767144,20.846670,0.267284,1.217336,2.864969,-0.053791,0.049967
0.010000,1.779587,20.847307,0.279744,1.245980,2.864338,-0.063147,0.052300
0.010000,1.792315,20.847989,0.292490,1.274616,2.863614,-0.072430,0.054687
0.010000,1.805327,20.848717,0.305522,1.303244,2.862786,-0.082817,0.057127
0.010000,1.818623,20.849494,0.318841,1.331862,2.861848,-0.093781,0.059621
0.010000,1.832202,20.850322,0.332446,1.360470,2.860800,-0.104757,0.062168
0.010000,1.846065,20.851203,0.346336,1.389066,2.859628,-0.117246,0.064768
0.010000,1.860211,20.852139,0.360513,1.417650,2.858332,-0.129612,0.067421
0.010000,1.874639,20.853133,0.374975,1.446219,2.856900,-0.143126,0.070128
0.010000,1.889349,20.854187,0.389723,1.474772,2.855331,-0.156967,0.072887
0.010000,1.904340,20.855303,0.404756,1.503308,2.853613,-0.171744,0.075699
0.010000,1.919613,20.856483,0.420074,1.531826,2.851743,-0.187030,0.078563
0.010000,1.935166,20.857730,0.435677,1.560323,2.849715,-0.202835,0.081480
0.010000,1.951000,20.859047,0.451565,1.588798,2.847515,-0.219971,0.084449
0.010000,1.967112,20.860435,0.467738,1.617249,2.845145,-0.237025,0.087470
0.010000,1.983504,20.861898,0.484195,1.645675,2.842592,-0.255241,0.090543
0.010000,2.000174,20.863438,0.500935,1.674074,2.839851,-0.274157,0.093667
0.010000,2.017121,20.865057,0.517960,1.702443,2.836913,-0.293728,0.096843
0.010000,2.034345,20.866758,0.535268,1.730781,2.833776,-0.313773,0.100069
0.010000,2.051845,20.868544,0.552858,1.759085,2.830425,-0.335028,0.103346
0.010000,2.069620,20.870418,0.570732,1.787354,2.826859,-0.356657,0.106674
0.010000,2.087669,20.872382,0.588888,1.815584,2.823068,-0.379104,0.110052
0.010000,2.105992,20.874438,0.607326,1.843775,2.819047,-0.402106,0.113479
0.010000,2.124587,20.876590,0.626045,1.871922,2.814783,-0.426317,0.116956
0.010000,2.143454,20.878840,0.645045,1.900025,2.810278,-0.450524,0.120482
0.010000,2.162591,20.881192,0.664326,1.928080,2.805517,-0.476107,0.124056
0.010000,2.181997,20.883648,0.683887,1.956085,2.800498,-0.501921,0.127679
