dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000019,11.160000,0.000007,0.001471,0.147077,14.707705,6.283169
0.010000,4.000008,11.160000,0.000018,0.001075,-0.039584,-18.666064,6.283178
0.010000,4.000028,11.160000,0.000038,0.001986,0.091121,13.070428,0.000014
0.010000,4.000103,11.160000,0.000113,0.007466,0.548008,45.688730,0.000051
0.010000,4.000219,11.160000,0.000229,0.011666,0.419935,-12.807339,0.000109
0.010000,4.000387,11.160000,0.000397,0.016798,0.513199,9.326483,0.000192
0.010000,4.000616,11.160000,0.000626,0.022862,0.606415,9.321563,0.000306
0.010000,4.000914,11.160000,0.000924,0.029857,0.699565,9.314983,0.000454
0.010000,4.001292,11.160000,0.001302,0.037784,0.792626,9.306110,0.000642
0.010000,4.001759,11.160001,0.001769,0.046639,0.885573,9.294711,0.000874
0.010000,4.002323,11.160001,0.002333,0.056423,0.978380,9.280682,0.001155
0.010000,4.002994,11.160002,0.003004,0.067133,1.071012,9.263217,0.001489
0.010000,4.003782,11.160004,0.003792,0.078768,1.163438,9.242632,0.001881
0.010000,4.004695,11.160005,0.004705,0.091324,1.255620,9.218127,0.002336
0.010000,4.005743,11.160008,0.005753,0.104799,1.347517,9.189748,0.002859
0.010000,4.006935,11.160012,0.006945,0.119190,1.439087,9.157005,0.003455
0.010000,4.008280,11.160017,0.008290,0.134493,1.530284,9.119637,0.004127
0.010000,4.009787,11.160024,0.009797,0.150703,1.621057,9.077352,0.004882
0.010000,4.011465,11.160033,0.011475,0.167817,1.711357,9.029969,0.005724
0.010000,4.013323,11.160044,0.013333,0.185828,1.801130,8.977318,0.006658
0.010000,4.015371,11.160059,0.015381,0.204731,1.890317,8.918726,0.007689
0.010000,4.017616,11.160077,0.017626,0.224520,1.978860,8.854302,0.008822
0.010000,4.020067,11.160101,0.020078,0.245187,2.066700,8.783972,0.010061
0.010000,4.022735,11.160129,0.022745,0.266725,2.153769,8.706952,0.011414
0.010000,4.025626,11.160164,0.025636,0.289125,2.240007,8.623776,0.012883
0.010000,4.028749,11.160207,0.028760,0.312378,2.325342,8.533516,0.014476
0.010000,4.032113,11.160259,0.032125,0.336475,2.409711,8.436838,0.016197
0.010000,4.035722,11.160321,0.035734,0.360945,2.446972,3.726165,0.018049
0.010000,4.039575,11.160394,0.039588,0.385319,2.437380,-0.959294,0.020034
0.010000,4.043670,11.160480,0.043683,0.409591,2.427179,-1.020023,0.022151
