dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.999981,8.840000,0.000007,0.001471,0.147077,14.707705,6.283169
0.010000,3.999992,8.840000,0.000018,0.001075,-0.039584,-18.666064,6.283178
0.010000,4.000060,8.840000,0.000086,0.006823,0.574847,61.443108,0.000014
0.010000,4.000221,8.840000,0.000247,0.016066,0.924270,34.942220,0.000051
0.010000,4.000472,8.840000,0.000498,0.025104,0.903758,-2.051142,0.000109
0.010000,4.000833,8.840000,0.000860,0.036150,1.104650,20.089126,0.000192
0.010000,4.001325,8.840000,0.001352,0.049206,1.305586,20.093632,0.000306
0.010000,4.001968,8.840000,0.001994,0.064272,1.506591,20.100485,0.000454
0.010000,4.002782,8.840001,0.002808,0.081349,1.707684,20.109309,0.000642
0.010000,4.003786,8.840002,0.003812,0.100438,1.908890,20.120579,0.000874
0.010000,4.005001,8.840003,0.005028,0.121540,2.110240,20.135042,0.001155
0.010000,4.006448,8.840005,0.006474,0.144658,2.311759,20.151933,0.001489
0.010000,4.008146,8.840008,0.008172,0.169793,2.513488,20.172891,0.001881
0.010000,4.010115,8.840012,0.010142,0.196947,2.715460,20.197139,0.002336
0.010000,4.012377,8.840018,0.012403,0.226124,2.917717,20.225717,0.002859
0.010000,4.014950,8.840026,0.014976,0.257327,3.120302,20.258493,0.003455
0.010000,4.017855,8.840037,0.017882,0.290560,3.323260,20.295808,0.004127
0.010000,4.021114,8.840052,0.021140,0.325826,3.526639,20.337917,0.004882
0.010000,4.024745,8.840071,0.024771,0.363131,3.730492,20.385293,0.005724
0.010000,4.028770,8.840096,0.028796,0.402480,3.934876,20.438403,0.006658
0.010000,4.033208,8.840128,0.033235,0.443878,4.139842,20.496585,0.007689
0.010000,4.038081,8.840168,0.038108,0.487333,4.345450,20.560837,0.008822
0.010000,4.043410,8.840218,0.043437,0.532851,4.551767,20.631709,0.010061
0.010000,4.049214,8.840280,0.049241,0.580439,4.758849,20.708157,0.011414
0.010000,4.055514,8.840357,0.055542,0.630107,4.966768,20.791927,0.012883
0.010000,4.062332,8.840450,0.062361,0.681863,5.175583,20.881518,0.014476
0.010000,4.069689,8.840563,0.069718,0.735716,5.385371,20.978802,0.016197
0.010000,4.077594,8.840698,0.077625,0.790668,5.495185,10.981401,0.018049
0.010000,4.086050,8.840859,0.086082,0.845716,5.504777,0.959204,0.020034
0.010000,4.095056,8.841049,0.095090,0.900866,5.514977,1.019940,0.022151
0.010000,4.104615,8.841272,0.104652,0.956123,5.525771,1.079375,0.024403
0.010000,4.114727,8.841531,0.114767,1.011495,5.537144,1.137345,0.026789
0.010000,4.125392,8.841830,0.125436,1.066986,5.549081,1.193667,0.029312
0.010000,4.136613,8.842174,0.136662,1.122601,5.561562,1.248140,0.031972
