dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.999990,11.160000,0.000007,0.001479,0.147916,14.791561,0.000009
0.010000,3.999995,11.160000,0.000013,0.000541,-0.093771,-24.168639,0.000004
0.010000,4.000050,11.160000,0.000067,0.005406,0.486422,58.019299,6.283179
0.010000,4.000190,11.160000,0.000207,0.013999,0.859329,37.290725,6.283160
0.010000,4.000408,11.160000,0.000426,0.021873,0.787429,-7.190030,6.283131
0.010000,4.000723,11.160000,0.000741,0.031497,0.962396,17.496704,6.283089
0.010000,4.001152,11.160000,0.001169,0.042871,1.137349,17.495235,6.283032
0.010000,4.001712,11.160000,0.001729,0.055993,1.312280,17.493102,6.282957
0.010000,4.002421,11.160000,0.002438,0.070865,1.487183,17.490322,6.282863
0.010000,4.003295,11.159999,0.003313,0.087486,1.662051,17.486775,6.282746
0.010000,4.004354,11.159999,0.004371,0.105855,1.836873,17.482291,6.282605
0.010000,4.005614,11.159998,0.005631,0.125971,2.011642,17.476814,6.282437
0.010000,4.007092,11.159997,0.007109,0.147834,2.186345,17.470310,6.282240
0.010000,4.008806,11.159995,0.008824,0.171444,2.360970,17.462494,6.282012
0.010000,4.010774,11.159992,0.010792,0.196799,2.535504,17.453463,6.281750
0.010000,4.013013,11.159989,0.013031,0.223899,2.709934,17.442979,6.281452
0.010000,4.015541,11.159984,0.015558,0.252741,2.884244,17.430955,6.281115
0.010000,4.018374,11.159978,0.018391,0.283325,3.058417,17.417337,6.280739
0.010000,4.021531,11.159969,0.021548,0.315649,3.232436,17.401933,6.280319
0.010000,4.025028,11.159958,0.025045,0.349712,3.406282,17.384612,6.279855
0.010000,4.028883,11.159944,0.028900,0.385512,3.579936,17.365370,6.279343
0.010000,4.033113,11.159927,0.033131,0.423045,3.753376,17.343961,6.278782
0.010000,4.037736,11.159905,0.037754,0.462311,3.926578,17.320277,6.278169
0.010000,4.042769,11.159878,0.042787,0.503306,4.099521,17.294225,6.277503
0.010000,4.048229,11.159845,0.048247,0.546028,4.272177,17.265626,6.276780
0.010000,4.054134,11.159805,0.054152,0.590473,4.444520,17.234330,6.276000
0.010000,4.060500,11.159757,0.060518,0.636639,4.616522,17.200188,6.275160
0.010000,4.067345,11.159699,0.067363,0.684520,4.788153,17.163047,6.274257
0.010000,4.074686,11.159630,0.074705,0.734114,4.959380,17.122765,6.273291
0.010000,4.082540,11.159548,0.082559,0.785416,5.130171,17.079093,6.272258
0.010000,4.090923,11.159452,0.090943,0.838421,5.300491,17.031946,6.271157
