dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000010,8.840000,0.000007,0.001479,0.147916,14.791561,0.000009
0.010000,4.000005,8.840000,0.000013,0.000541,-0.093771,-24.168639,0.000004
0.010000,4.000034,8.840000,0.000043,0.002969,0.242774,33.654434,6.283179
0.010000,4.000131,8.840000,0.000139,0.009668,0.669835,42.706134,6.283160
0.010000,4.000282,8.840000,0.000290,0.015106,0.543811,-12.602360,6.283131
0.010000,4.000499,8.840000,0.000508,0.021752,0.664675,12.086403,6.283089
0.010000,4.000796,8.840000,0.000804,0.029608,0.785555,12.087928,6.283032
0.010000,4.001182,8.840000,0.001191,0.038672,0.906455,12.089994,6.282957
0.010000,4.001672,8.840000,0.001680,0.048946,1.027382,12.092781,6.282863
0.010000,4.002276,8.839999,0.002284,0.060430,1.148346,12.096375,6.282746
0.010000,4.003007,8.839999,0.003016,0.073123,1.269354,12.100828,6.282605
0.010000,4.003878,8.839999,0.003886,0.087027,1.390417,12.106276,6.282437
0.010000,4.004899,8.839998,0.004907,0.102143,1.511546,12.112867,6.282240
0.010000,4.006084,8.839996,0.006092,0.118470,1.632752,12.120583,6.282012
0.010000,4.007444,8.839995,0.007452,0.136011,1.754048,12.129670,6.281750
0.010000,4.008991,8.839992,0.009000,0.154765,1.875450,12.140147,6.281452
0.010000,4.010739,8.839989,0.010747,0.174735,1.996971,12.152141,6.281115
0.010000,4.012698,8.839984,0.012706,0.195921,2.118629,12.165807,6.280739
0.010000,4.014881,8.839979,0.014890,0.218326,2.240441,12.181209,6.280319
0.010000,4.017301,8.839971,0.017309,0.241950,2.362426,12.198459,6.279855
0.010000,4.019969,8.839962,0.019977,0.266796,2.484604,12.217763,6.279343
0.010000,4.022897,8.839950,0.022906,0.292866,2.606995,12.239168,6.278782
0.010000,4.026099,8.839934,0.026107,0.320162,2.729624,12.262822,6.278169
0.010000,4.029586,8.839916,0.029594,0.348687,2.852512,12.288894,6.277503
0.010000,4.033370,8.839893,0.033379,0.378444,2.975687,12.317500,6.276780
0.010000,4.037464,8.839865,0.037473,0.409436,3.099175,12.348787,6.276000
0.010000,4.041881,8.839831,0.041890,0.441666,3.223004,12.382913,6.275160
0.010000,4.046632,8.839791,0.046641,0.475138,3.347205,12.420044,6.274257
0.010000,4.051730,8.839743,0.051740,0.509856,3.471809,12.460366,6.273291
0.010000,4.057188,8.839686,0.057198,0.545825,3.596849,12.503999,6.272258
0.010000,4.063018,8.839619,0.063028,0.583048,3.722360,12.551193,6.271157
0.010000,4.069233,8.839541,0.069244,0.621532,3.848381,12.602047,6.269986
0.010000,4.075846,8.839450,0.075856,0.661282,3.974950,12.656874,6.268744
0.010000,4.082868,8.839344,0.082879,0.702303,4.102108,12.715784,6.267428
0.010000,4.090313,8.839221,0.090326,0.744602,4.229898,12.779028,6.266037
0.010000,4.098193,8.839080,0.098207,0.788185,4.358366,12.846824,6.264569
0.010000,4.106522,8.838919,0.106538,0.833061,4.487560,12.919391,6.263022
0.010000,4.115307,8.838734,0.115324,0.878627,4.556622,6.906184,6.261396
0.010000,4.124547,8.838525,0.124567,0.924281,4.565402,0.877999,6.259692
0.010000,4.134245,8.838289,0.134267,0.970028,4.574710,0.930790,6.257911
0.010000,4.144400,8.838022,0.144426,1.015874,4.584556,0.984672,6.256053
0.010000,4.155014,8.837724,0.155044,1.061823,4.594952,1.039519,6.254119
0.010000,4.166088,8.837391,0.166123,1.107882,4.605907,1.095522,6.252111
0.010000,4.177622,8.837020,0.177664,1.154057,4.617432,1.152520,6.250029
0.010000,4.189619,8.836610,0.189667,1.200352,4.629538,1.210642,6.247874
0.010000,4.202078,8.836156,0.202135,1.246775,4.642237,1.269830,6.245648
0.010000,4.215002,8.835655,0.215068,1.293330,4.655537,1.330052,6.243351
0.010000,4.228391,8.835106,0.228469,1.340024,4.669451,1.391384,6.240984
0.010000,4.242246,8.834504,0.242337,1.386864,4.683988,1.453699,6.238550
0.010000,4.256570,8.833846,0.256676,1.433856,4.699159,1.517051,6.236049
0.010000,4.271363,8.833129,0.271486,1.481006,4.714973,1.581405,6.233483
0.010000,4.286626,8.832350,0.286769,1.528320,4.731439,1.646648,6.230853
0.010000,4.302361,8.831504,0.302527,1.575806,4.748568,1.712875,6.228161
0.010000,4.318570,8.830589,0.318762,1.623469,4.766367,1.779888,6.225407
0.010000,4.335254,8.829601,0.335475,1.671318,4.784845,1.847779,6.222594
0.010000,4.352415,8.828535,0.352668,1.719358,4.804008,1.916356,6.219724
0.010000,4.370053,8.827388,0.370344,1.767597,4.823865,1.985684,6.216798
0.010000,4.388172,8.826156,0.388505,1.816041,4.844421,2.055582,6.213817
0.010000,4.406772,8.824835,0.407152,1.864698,4.865681,2.126056,6.210784
0.010000,4.425855,8.823422,0.426288,1.913574,4.887651,2.196998,6.207701
0.010000,4.445424,8.821911,0.445914,1.962677,4.910335,2.268326,6.204569
0.010000,4.465479,8.820299,0.466034,2.012015,4.933734,2.339955,6.201390
0.010000,4.486024,8.818581,0.486650,2.061593,4.957852,2.411796,6.198168
0.010000,4.507059,8.816754,0.507765,2.111420,4.982690,2.483767,6.194903
0.010000,4.528586,8.814813,0.529380,2.161503,5.008247,2.555751,6.191598
0.010000,4.550609,8.812753,0.551498,2.211848,5.034524,2.627670,6.188255
0.010000,4.573128,8.810570,0.574123,2.262463,5.061518,2.699414,6.184877
0.010000,4.596146,8.808260,0.597256,2.313355,5.089227,2.770895,6.181465
0.010000,4.619665,8.805819,0.620902,2.364532,5.117647,2.841976,6.178023
0.010000,4.643687,8.803241,0.645062,2.416000,5.146773,2.912612,6.174553
0.010000,4.668214,8.800522,0.669739,2.467766,5.176599,2.982646,6.171058
0.010000,4.693249,8.797659,0.694938,2.519837,5.207120,3.052029,6.167539
0.010000,4.718794,8.794645,0.720660,2.572220,5.238326,3.120620,6.164000
0.010000,4.744852,8.791478,0.746909,2.624922,5.270209,3.188357,6.160444
0.010000,4.771424,8.788151,0.773689,2.677950,5.302761,3.255139,6.156873
0.010000,4.798513,8.784662,0.801002,2.731309,5.335970,3.320880,6.153290
0.010000,4.826122,8.781005,0.828852,2.785008,5.369825,3.385500,6.149699
0.010000,4.854253,8.777175,0.857242,2.839051,5.404314,3.448926,6.146101
0.010000,4.882909,8.773170,0.886177,2.893445,5.439425,3.511090,6.142501
0.010000,4.912092,8.768983,0.915659,2.948196,5.475144,3.571932,6.138901
0.010000,4.941805,8.764611,0.945692,3.003311,5.511458,3.631400,6.135304
0.010000,4.972051,8.760050,0.976280,3.058795,5.548353,3.689449,6.131714
0.010000,5.002833,8.755295,1.007426,3.114653,5.585813,3.746048,6.128133
0.010000,5.034152,8.750342,1.039135,3.170891,5.623825,3.801171,6.124565
0.010000,5.066013,8.745187,1.071410,3.227515,5.662373,3.854805,6.121014
0.010000,5.098418,8.739826,1.104256,3.284529,5.701442,3.906945,6.117482
0.010000,5.131370,8.734256,1.137675,3.341939,5.741018,3.957604,6.113974
0.010000,5.164872,8.728472,1.171672,3.399750,5.781086,4.006797,6.110492
0.010000,5.198927,8.722471,1.206252,3.457966,5.821632,4.054559,6.107040
0.010000,5.233531,8.716250,1.241411,3.515927,5.796086,-2.554547,6.103623
0.010000,5.268676,8.709809,1.277141,3.572962,5.703511,-9.257501,6.100244
0.010000,5.304350,8.703147,1.313432,3.629061,5.609858,-9.365391,6.096909
0.010000,5.340543,8.696264,1.350274,3.684212,5.515063,-9.479466,6.093623
0.010000,5.377246,8.689160,1.387658,3.738402,5.419069,-9.599370,6.090389
0.010000,5.414448,8.681836,1.425574,3.791621,5.321822,-9.724731,6.087212
0.010000,5.452139,8.674292,1.464013,3.843853,5.223270,-9.855173,6.084097
0.010000,5.490309,8.666530,1.502963,3.895087,5.123367,-9.990317,6.081047
0.010000,5.528947,8.658551,1.542416,3.945308,5.022069,-10.129778,6.078066
0.010000,5.568042,8.650358,1.582361,3.994501,4.919337,-10.273180,6.075159
0.010000,5.607585,8.641952,1.622788,4.042652,4.815136,-10.420147,6.072330
0.010000,5.647565,8.633337,1.663685,4.089747,4.709433,-10.570307,6.069581
0.010000,5.687971,8.624516,1.705043,4.135769,4.602200,-10.723311,6.066916
0.010000,5.728792,8.615492,1.746850,4.180703,4.493412,-10.878806,6.064339
0.010000,5.770019,8.606269,1.789096,4.224533,4.383047,-11.036472,6.061853
0.010000,5.811639,8.596850,1.831768,4.267244,4.271087,-11.195981,6.059461
0.010000,5.853642,8.587242,1.874856,4.308819,4.157517,-11.357054,6.057166
0.010000,5.896017,8.577449,1.918349,4.349243,4.042323,-11.519405,6.054971
0.010000,5.938754,8.567475,1.962234,4.388497,3.925495,-11.682786,6.052879
0.010000,5.981841,8.557327,2.006499,4.426568,3.807025,-11.846956,6.050891
0.010000,6.025267,8.547010,2.051134,4.463437,3.686908,-12.011716,6.049011
0.010000,6.069020,8.536532,2.096124,4.499088,3.565139,-12.176869,6.047241
0.010000,6.113090,8.525897,2.141460,4.533505,3.441717,-12.342260,6.045582
0.010000,6.157465,8.515113,2.187126,4.566672,3.316639,-12.507736,6.044037
0.010000,6.202135,8.504188,2.233112,4.598571,3.189907,-12.673190,6.042608
0.010000,6.247086,8.493129,2.279404,4.629186,3.061522,-12.838516,6.041296
0.010000,6.292308,8.481942,2.325989,4.658501,2.931486,-13.003644,6.040103
0.010000,6.337789,8.470637,2.372854,4.686499,2.799801,-13.168516,6.039030
0.010000,6.383517,8.459222,2.419985,4.713164,2.666470,-13.333095,6.038079
0.010000,6.429481,8.447704,2.467370,4.738479,2.531496,-13.497369,6.037250
0.010000,6.475668,8.436092,2.514995,4.762427,2.394883,-13.661325,6.036545
0.010000,6.522066,8.424396,2.562844,4.784994,2.256633,-13.824988,6.035964
0.010000,6.568664,8.412623,2.610906,4.806161,2.116749,-13.988374,6.035508
0.010000,6.615448,8.400784,2.659165,4.825914,1.975234,-14.151528,6.035178
0.010000,6.662407,8.388888,2.707608,4.844234,1.832089,-14.314495,6.034974
0.010000,6.709528,8.376943,2.756219,4.861108,1.687316,-14.477329,6.034896
0.010000,6.756792,8.364961,2.804978,4.875944,1.483650,-20.366525,6.034945
0.010000,6.804182,8.352953,2.853865,4.888721,1.277670,-20.598078,6.035120
0.010000,6.851683,8.340929,2.902865,4.899991,1.126982,-15.068801,6.035421
0.010000,6.899284,8.328898,2.951963,4.909737,0.974665,-15.231608,6.035848
0.010000,6.946970,8.316871,3.001142,4.917944,0.820720,-15.394534,6.036401
0.010000,6.994728,8.304856,3.050388,4.924596,0.665144,-15.557632,6.037077
0.010000,7.042544,8.292865,3.099685,4.929675,0.507934,-15.720955,6.037878
0.010000,7.090404,8.280906,3.149016,4.933166,0.349089,-15.884542,6.038801
0.010000,7.138294,8.268990,3.198367,4.935052,0.188605,-16.048420,6.039846
0.010000,7.186200,8.257126,3.247720,4.935317,0.026479,-16.212608,6.041012
0.010000,7.234107,8.245324,3.297060,4.933944,-0.137292,-16.377104,6.042297
0.010000,7.282001,8.233593,3.346369,4.930917,-0.302711,-16.541904,6.043699
