dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.840000,2.000020,0.000007,0.001463,0.146250,14.625042,1.570779
0.010000,20.840000,2.000012,0.000015,0.000782,-0.068075,-21.432515,1.570786
0.010000,20.840000,2.000016,0.000019,0.000360,-0.042161,2.591358,1.570801
0.010000,20.840000,2.000101,0.000104,0.008573,0.821272,86.343320,1.570828
0.010000,20.840000,2.000235,0.000238,0.013395,0.482193,-33.907907,1.570870
0.010000,20.840000,2.000428,0.000431,0.019288,0.589309,10.711577,1.570931
0.010000,20.840000,2.000691,0.000694,0.026252,0.696385,10.707657,1.571014
0.010000,20.840000,2.001033,0.001037,0.034286,0.803414,10.702828,1.571121
0.010000,20.840000,2.001467,0.001471,0.043390,0.910377,10.696297,1.571258
0.010000,20.839999,2.002003,0.002006,0.053562,1.017255,10.687826,1.571427
0.010000,20.839999,2.002651,0.002654,0.064802,1.124028,10.677273,1.571631
0.010000,20.839998,2.003422,0.003425,0.077109,1.230671,10.664355,1.571874
0.010000,20.839997,2.004327,0.004330,0.090481,1.337160,10.648892,1.572159
0.010000,20.839995,2.005376,0.005379,0.104915,1.443468,10.630797,1.572490
0.010000,20.839993,2.006580,0.006583,0.120411,1.549560,10.609187,1.572871
0.010000,20.839990,2.007950,0.007953,0.136965,1.655408,10.584860,1.573304
0.010000,20.839986,2.009496,0.009499,0.154575,1.760975,10.556648,1.573793
0.010000,20.839980,2.011223,0.011226,0.172703,1.812765,5.178994,1.574340
0.010000,20.839973,2.013131,0.013134,0.190811,1.810840,-0.192483,1.574946
0.010000,20.839963,2.015220,0.015223,0.208898,1.808712,-0.212855,1.575610
0.010000,20.839952,2.017489,0.017493,0.226962,1.806381,-0.233087,1.576332
0.010000,20.839937,2.019939,0.019943,0.245000,1.803844,-0.253664,1.577114
0.010000,20.839919,2.022569,0.022573,0.263011,1.801103,-0.274134,1.577954
0.010000,20.839898,2.025379,0.025383,0.280993,1.798155,-0.294778,1.578854
0.010000,20.839873,2.028368,0.028372,0.298943,1.795003,-0.315191,1.579814
0.010000,20.839842,2.031537,0.031541,0.316859,1.791644,-0.335851,1.580833
0.010000,20.839807,2.034884,0.034888,0.334740,1.788079,-0.356561,1.581912
0.010000,20.839766,2.038410,0.038414,0.352583,1.784306,-0.377322,1.583052
0.010000,20.839718,2.042113,0.042118,0.370386,1.780324,-0.398115,1.584253
0.010000,20.839663,2.045994,0.045999,0.388148,1.776140,-0.418473,1.585515
0.010000,20.839601,2.050052,0.050058,0.405865,1.771741,-0.439905,1.586839
0.010000,20.839530,2.054287,0.054293,0.423537,1.767137,-0.460390,1.588224
0.010000,20.839450,2.058698,0.058705,0.441160,1.762323,-0.481337,1.589672
0.010000,20.839360,2.063285,0.063292,0.458733,1.757300,-0.502339,1.591183
0.010000,20.839259,2.068046,0.068055,0.476254,1.752071,-0.522913,1.592758
0.010000,20.839147,2.072982,0.072992,0.493720,1.746627,-0.544348,1.594395
0.010000,20.839022,2.078092,0.078103,0.511130,1.740979,-0.564888,1.596098
0.010000,20.838883,2.083375,0.083388,0.528481,1.735119,-0.585942,1.597865
0.010000,20.838731,2.088830,0.088846,0.545771,1.729051,-0.606772,1.599697
0.010000,20.838563,2.094458,0.094476,0.562999,1.722775,-0.627662,1.601595
0.010000,20.838378,2.100256,0.100277,0.580162,1.716292,-0.648309,1.603559
0.010000,20.838177,2.106226,0.106250,0.597258,1.709599,-0.669255,1.605591
0.010000,20.837957,2.112365,0.112393,0.614285,1.702702,-0.689736,1.607690
0.010000,20.837717,2.118672,0.118705,0.631241,1.695598,-0.710336,1.609857
0.010000,20.837457,2.125148,0.125186,0.648124,1.688291,-0.730751,1.612092
0.010000,20.837174,2.131792,0.131836,0.664932,1.680783,-0.750796,1.614398
0.010000,20.836869,2.138602,0.138652,0.681662,1.673072,-0.771081,1.616773
0.010000,20.836540,2.145577,0.145635,0.698314,1.665163,-0.790879,1.619219
0.010000,20.836185,2.152717,0.152784,0.714885,1.657058,-0.810517,1.621737
0.010000,20.835803,2.160021,0.160098,0.731372,1.648761,-0.829728,1.624327
0.010000,20.835393,2.167487,0.167576,0.747775,1.640271,-0.848954,1.626990
0.010000,20.834953,2.175115,0.175217,0.764091,1.631596,-0.867496,1.629726
0.010000,20.834483,2.182904,0.183020,0.780318,1.622739,-0.885761,1.632537
0.010000,20.833980,2.190853,0.190984,0.796455,1.613702,-0.903695,1.635423
0.010000,20.833443,2.198960,0.199109,0.812500,1.604492,-0.920949,1.638385
0.010000,20.832871,2.207225,0.207394,0.828451,1.595114,-0.937812,1.641424
0.010000,20.832262,2.215646,0.215837,0.844307,1.585574,-0.954013,1.644541
0.010000,20.831615,2.224222,0.224438,0.860066,1.575881,-0.969350,1.647736
0.010000,20.830927,2.232953,0.233195,0.875726,1.566036,-0.984496,1.651010
0.010000,20.830198,2.241836,0.242108,0.891287,1.556054,-0.998152,1.654365
0.010000,20.829426,2.250870,0.251175,0.906746,1.545939,-1.011476,1.657801
0.010000,20.828609,2.260055,0.260396,0.922103,1.535705,-1.023400,1.661318
0.010000,20.827744,2.269389,0.269770,0.937357,1.525358,-1.034774,1.664919
0.010000,20.826832,2.278870,0.279295,0.952506,1.514912,-1.044556,1.668603
0.010000,20.825869,2.288497,0.288970,0.967550,1.504378,-1.053368,1.672372
0.010000,20.824854,2.298270,0.298795,0.982488,1.493773,-1.060534,1.676226
0.010000,20.823785,2.308185,0.308768,0.997319,1.483104,-1.066888,1.680167
0.010000,20.822660,2.318243,0.318889,1.012043,1.472395,-1.070951,1.684195
0.010000,20.821477,2.328441,0.329155,1.026659,1.461657,-1.073725,1.688312
0.010000,20.820235,2.338778,0.339567,1.041168,1.450910,-1.074701,1.692518
0.010000,20.818931,2.349253,0.350123,1.055570,1.440174,-1.073658,1.696814
0.010000,20.817563,2.359864,0.360821,1.069865,1.429468,-1.070590,1.701201
0.010000,20.816129,2.370609,0.371662,1.084053,1.418815,-1.065263,1.705680
0.010000,20.814627,2.381488,0.382643,1.098135,1.408240,-1.057570,1.710252
0.010000,20.813056,2.392497,0.393764,1.112113,1.397766,-1.047354,1.714918
0.010000,20.811412,2.403636,0.405024,1.125987,1.387422,-1.034432,1.719679
0.010000,20.809694,2.414904,0.416422,1.139759,1.377234,-1.018774,1.724535
0.010000,20.807900,2.426298,0.427956,1.153432,1.367235,-0.999937,1.729488
0.010000,20.806026,2.437816,0.439626,1.167006,1.357455,-0.977983,1.734538
0.010000,20.804072,2.449458,0.451431,1.180486,1.347928,-0.952714,1.739686
0.010000,20.802035,2.461222,0.463370,1.193872,1.338693,-0.923502,1.744933
0.010000,20.799911,2.473105,0.475442,1.207170,1.329782,-0.891048,1.750280
0.010000,20.797700,2.485107,0.487645,1.220383,1.321240,-0.854212,1.755727
0.010000,20.795398,2.497226,0.499981,1.233514,1.313106,-0.813394,1.761275
0.010000,20.793004,2.509459,0.512446,1.246568,1.305425,-0.768152,1.766926
0.010000,20.790514,2.521806,0.525042,1.259550,1.298241,-0.718323,1.772678
0.010000,20.787926,2.534265,0.537766,1.272466,1.291602,-0.663895,1.778534
0.010000,20.785237,2.546834,0.550620,1.285322,1.285559,-0.604351,1.784493
0.010000,20.782446,2.559511,0.563601,1.298124,1.280162,-0.539705,1.790556
0.010000,20.779549,2.572296,0.576710,1.310878,1.275466,-0.469607,1.796723
0.010000,20.776544,2.585186,0.589946,1.323594,1.271524,-0.394182,1.802995
0.010000,20.773427,2.598181,0.603308,1.336277,1.268393,-0.313069,1.809372
0.010000,20.770197,2.611278,0.616798,1.348939,1.266135,-0.225841,1.815855
0.010000,20.766850,2.624476,0.630414,1.361587,1.264806,-0.132921,1.822442
0.010000,20.763384,2.637774,0.644156,1.374232,1.264469,-0.033670,1.829135
0.010000,20.759795,2.651170,0.658025,1.386883,1.265187,0.071797,1.835933
0.010000,20.756081,2.664664,0.672020,1.399554,1.267022,0.183504,1.842837
0.010000,20.752239,2.678254,0.686143,1.412254,1.270039,0.301748,1.849845
0.010000,20.748265,2.691938,0.700393,1.424997,1.274304,0.426487,1.856957
0.010000,20.744157,2.705717,0.714771,1.437796,1.279880,0.557530,1.864174
0.010000,20.739911,2.719588,0.729277,1.450664,1.286832,0.695242,1.871494
0.010000,20.735524,2.733552,0.743914,1.463616,1.295224,0.839237,1.878917
0.010000,20.730993,2.747606,0.758680,1.476668,1.305121,0.989672,1.886441
0.010000,20.726314,2.761751,0.773579,1.489833,1.316584,1.146256,1.894067
0.010000,20.721485,2.775985,0.788610,1.503130,1.329673,1.308947,1.901792
0.010000,20.716500,2.790308,0.803776,1.516575,1.344447,1.477434,1.909615
0.010000,20.711357,2.804720,0.819078,1.530184,1.360964,1.651642,1.917535
0.010000,20.706052,2.819219,0.834517,1.543977,1.379272,1.830813,1.925551
0.010000,20.700581,2.833807,0.850097,1.557971,1.399425,2.015268,1.933661
0.010000,20.694940,2.848482,0.865819,1.572186,1.421466,2.204082,1.941862
0.010000,20.689126,2.863244,0.881685,1.586640,1.445434,2.396889,1.950153
0.010000,20.683133,2.878095,0.897699,1.601354,1.471368,2.593357,1.958532
0.010000,20.676959,2.893032,0.913862,1.616347,1.499295,2.792691,1.966996
0.010000,20.670598,2.908058,0.930179,1.631639,1.529239,2.994442,1.975542
0.010000,20.664046,2.923171,0.946651,1.647252,1.561219,3.197975,1.984168
0.010000,20.657298,2.938373,0.963283,1.663204,1.595241,3.402230,1.992871
0.010000,20.650351,2.953664,0.980078,1.679517,1.631312,3.607029,2.001647
0.010000,20.643199,2.969044,0.997040,1.696211,1.669421,3.810925,2.010494
0.010000,20.635837,2.984515,1.014174,1.713307,1.709557,4.013603,2.019408
0.010000,20.628260,3.000077,1.031482,1.730824,1.751696,4.213925,2.028385
0.010000,20.620463,3.015730,1.048970,1.748782,1.795807,4.411054,2.037421
