dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.160000,1.999980,0.000007,0.001463,0.146250,14.625042,1.570779
0.010000,23.160000,1.999988,0.000015,0.000782,-0.068075,-21.432515,1.570786
0.010000,23.160000,2.000027,0.000054,0.003878,0.309634,37.770862,1.570801
0.010000,23.160000,2.000175,0.000202,0.014827,1.094911,78.527685,1.570828
0.010000,23.160000,2.000407,0.000434,0.023168,0.834058,-26.085228,1.570870
0.010000,23.160000,2.000740,0.000767,0.033362,1.019449,18.539096,1.570931
0.010000,23.160000,2.001195,0.001222,0.045411,1.204870,18.542024,1.571014
0.010000,23.160000,2.001788,0.001815,0.059314,1.390342,18.547195,1.571121
0.010000,23.159999,2.002538,0.002565,0.075073,1.575880,18.553874,1.571258
0.010000,23.159999,2.003465,0.003492,0.092688,1.761503,18.562289,1.571427
0.010000,23.159998,2.004587,0.004614,0.112161,1.947232,18.572834,1.571631
0.010000,23.159997,2.005922,0.005949,0.133491,2.133088,18.585659,1.571874
0.010000,23.159995,2.007489,0.007516,0.156682,2.319099,18.601099,1.572159
0.010000,23.159992,2.009306,0.009333,0.181735,2.505296,18.619647,1.572490
0.010000,23.159988,2.011393,0.011420,0.208652,2.691700,18.640425,1.572871
0.010000,23.159983,2.013767,0.013794,0.237436,2.878355,18.665466,1.573304
0.010000,23.159975,2.016448,0.016475,0.268089,3.065289,18.693404,1.573793
0.010000,23.159966,2.019445,0.019472,0.299686,3.159752,9.446302,1.574340
0.010000,23.159953,2.022758,0.022785,0.331303,3.161674,0.192231,1.574946
0.010000,23.159937,2.026387,0.026414,0.362941,3.163800,0.212630,1.575610
0.010000,23.159916,2.030333,0.030360,0.394602,3.166134,0.233372,1.576332
0.010000,23.159891,2.034596,0.034623,0.426289,3.168670,0.253620,1.577114
0.010000,23.159860,2.039176,0.039203,0.458003,3.171412,0.274163,1.577954
0.010000,23.159823,2.044073,0.044101,0.489747,3.174357,0.294517,1.578854
0.010000,23.159778,2.049288,0.049316,0.521522,3.177511,0.315389,1.579814
0.010000,23.159726,2.054821,0.054849,0.553331,3.180870,0.335949,1.580833
0.010000,23.159664,2.060673,0.060701,0.585175,3.184436,0.356537,1.581912
0.010000,23.159592,2.066843,0.066871,0.617057,3.188207,0.377151,1.583052
0.010000,23.159508,2.073332,0.073361,0.648979,3.192185,0.397819,1.584253
0.010000,23.159412,2.080141,0.080171,0.680943,3.196379,0.419355,1.585515
0.010000,23.159303,2.087269,0.087300,0.712950,3.200770,0.439105,1.586839
0.010000,23.159178,2.094718,0.094750,0.745004,3.205376,0.460602,1.588224
0.010000,23.159037,2.102488,0.102521,0.777106,3.210190,0.481361,1.589672
0.010000,23.158878,2.110579,0.110614,0.809258,3.215210,0.502080,1.591183
0.010000,23.158700,2.118992,0.119028,0.841463,3.220446,0.523595,1.592758
0.010000,23.158501,2.127727,0.127766,0.873721,3.225882,0.543607,1.594395
0.010000,23.158279,2.136784,0.136826,0.906037,3.231534,0.565191,1.596098
0.010000,23.158034,2.146165,0.146210,0.938411,3.237393,0.585831,1.597865
0.010000,23.157762,2.155870,0.155919,0.970845,3.243461,0.606801,1.599697
0.010000,23.157462,2.165899,0.165952,1.003343,3.249736,0.627559,1.601595
0.010000,23.157133,2.176253,0.176311,1.035905,3.256222,0.648604,1.603559
0.010000,23.156772,2.186932,0.186996,1.068534,3.262912,0.668924,1.605591
0.010000,23.156378,2.197937,0.198009,1.101232,3.269810,0.689831,1.607690
0.010000,23.155947,2.209269,0.209349,1.134001,3.276912,0.710229,1.609857
0.010000,23.155479,2.220928,0.221017,1.166843,3.284218,0.730593,1.612092
0.010000,23.154969,2.232915,0.233015,1.199761,3.291730,0.751198,1.614398
0.010000,23.154418,2.245230,0.245342,1.232755,3.299439,0.770864,1.616773
0.010000,23.153820,2.257874,0.258001,1.265829,3.307347,0.790821,1.619219
0.010000,23.153175,2.270848,0.270990,1.298983,3.315451,0.810393,1.621737
0.010000,23.152480,2.284152,0.284313,1.332221,3.323750,0.829966,1.624327
0.010000,23.151731,2.297787,0.297968,1.365543,3.332237,0.848633,1.626990
0.010000,23.150926,2.311753,0.311958,1.398952,3.340912,0.867551,1.629726
0.010000,23.150062,2.326052,0.326282,1.432450,3.349771,0.885857,1.632537
0.010000,23.149137,2.340683,0.340942,1.466038,3.358806,0.903517,1.635423
0.010000,23.148146,2.355647,0.355940,1.499718,3.368016,0.921027,1.638385
0.010000,23.147087,2.370946,0.371275,1.533492,3.377393,0.937704,1.641424
0.010000,23.145957,2.386578,0.386948,1.567361,3.386932,0.953879,1.644541
0.010000,23.144751,2.402546,0.402961,1.601328,3.396630,0.969753,1.647736
0.010000,23.143468,2.418850,0.419315,1.635392,3.406469,0.983884,1.651010
0.010000,23.142102,2.435489,0.436011,1.669557,3.416453,0.998485,1.654365
0.010000,23.140651,2.452466,0.453049,1.703822,3.426565,1.011185,1.657801
0.010000,23.139110,2.469779,0.470431,1.738190,3.436803,1.023744,1.661318
0.010000,23.137476,2.487430,0.488158,1.772662,3.447146,1.034325,1.664919
0.010000,23.135744,2.505420,0.506230,1.807238,3.457592,1.044620,1.668603
0.010000,23.133911,2.523747,0.524649,1.841919,3.468124,1.053186,1.672372
0.010000,23.131972,2.542414,0.543416,1.876706,3.478734,1.061006,1.676226
0.010000,23.129923,2.561420,0.562532,1.911600,3.489396,1.066176,1.680167
0.010000,23.127759,2.580765,0.581998,1.946601,3.500108,1.071193,1.684195
0.010000,23.125476,2.600450,0.601815,1.981710,3.510846,1.073791,1.688312
0.010000,23.123069,2.620475,0.621985,2.016926,3.521591,1.074576,1.692518
0.010000,23.120534,2.640841,0.642507,2.052249,3.532327,1.073591,1.696814
0.010000,23.117864,2.661546,0.663384,2.087679,3.543032,1.070442,1.701201
0.010000,23.115056,2.682592,0.684616,2.123216,3.553683,1.065157,1.705680
0.010000,23.112104,2.703978,0.706205,2.158859,3.564258,1.057503,1.710252
0.010000,23.109003,2.725703,0.728151,2.194606,3.574732,1.047324,1.714918
0.010000,23.105747,2.747769,0.750455,2.230457,3.585077,1.034500,1.719679
0.010000,23.102331,2.770174,0.773119,2.266410,3.595262,1.018584,1.724535
0.010000,23.098749,2.792919,0.796144,2.302462,3.605262,0.999937,1.729488
0.010000,23.094995,2.816001,0.819530,2.338613,3.615041,0.977903,1.734538
0.010000,23.091063,2.839422,0.843279,2.374858,3.624564,0.952323,1.739686
0.010000,23.086948,2.863180,0.867391,2.411196,3.633803,0.923889,1.744933
0.010000,23.082643,2.887275,0.891867,2.447623,3.642709,0.890619,1.750280
0.010000,23.078142,2.911705,0.916708,2.484136,3.651251,0.854216,1.755727
0.010000,23.073438,2.936470,0.941916,2.520730,3.659384,0.813279,1.761275
0.010000,23.068525,2.961568,0.967490,2.557400,3.667065,0.768101,1.766926
0.010000,23.063397,2.986997,0.993431,2.594143,3.674249,0.718410,1.772678
0.010000,23.058046,3.012757,1.019741,2.630952,3.680885,0.663624,1.778534
0.010000,23.052466,3.038845,1.046419,2.667821,3.686927,0.604204,1.784493
0.010000,23.046650,3.065259,1.073466,2.704744,3.692323,0.539536,1.790556
0.010000,23.040591,3.091999,1.100883,2.741714,3.697021,0.469768,1.796723
0.010000,23.034281,3.119060,1.128671,2.778724,3.700961,0.394081,1.802995
0.010000,23.027714,3.146441,1.156828,2.815765,3.704088,0.312692,1.809372
0.010000,23.020883,3.174140,1.185357,2.852828,3.706348,0.226003,1.815855
0.010000,23.013779,3.202152,1.214256,2.889905,3.707675,0.132663,1.822442
0.010000,23.006396,3.230475,1.243525,2.926985,3.708011,0.033601,1.829135
0.010000,22.998727,3.259106,1.273166,2.964058,3.707293,-0.071782,1.835933
0.010000,22.990763,3.288042,1.303177,3.001113,3.705456,-0.183738,1.842837
0.010000,22.982497,3.317277,1.333559,3.038137,3.702437,-0.301860,1.849845
0.010000,22.973922,3.346808,1.364310,3.075119,3.698173,-0.426383,1.856957
0.010000,22.965029,3.376631,1.395430,3.112045,3.692595,-0.557781,1.864174
0.010000,22.955813,3.406741,1.426919,3.148901,3.685643,-0.695225,1.871494
