dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,20.840000,1.999986,0.000007,0.001463,0.146294,14.629389,1.570808
0.010000,20.840000,2.000004,0.000025,0.001785,0.032255,-11.403913,1.570795
0.010000,20.840000,2.000104,0.000125,0.010022,0.823611,79.135592,1.570766
0.010000,20.840000,2.000282,0.000304,0.017816,0.779482,-4.412822,1.570713
0.010000,20.840000,2.000561,0.000582,0.027839,1.002235,22.275243,1.570630
0.010000,20.840000,2.000962,0.000983,0.040089,1.225040,22.280539,1.570512
0.010000,20.840000,2.001507,0.001529,0.054568,1.447918,22.287743,1.570350
0.010000,20.840001,2.002220,0.002241,0.071277,1.670901,22.298296,1.570140
0.010000,20.840001,2.003122,0.003143,0.090218,1.894020,22.311967,1.569873
0.010000,20.840003,2.004236,0.004257,0.111391,2.117315,22.329486,1.569543
0.010000,20.840005,2.005584,0.005605,0.134799,2.340831,22.351581,1.569144
0.010000,20.840008,2.007189,0.007210,0.160445,2.564613,22.378221,1.568669
0.010000,20.840012,2.009072,0.009093,0.188332,2.788715,22.410193,1.568111
0.010000,20.840019,2.011257,0.011278,0.218464,3.013192,22.447659,1.567463
0.010000,20.840028,2.013765,0.013786,0.250845,3.238105,22.491342,1.566720
0.010000,20.840041,2.016620,0.016641,0.285480,3.463520,22.541508,1.565873
0.010000,20.840058,2.019843,0.019865,0.322375,3.689502,22.598129,1.564916
0.010000,20.840081,2.023448,0.023469,0.360421,3.804519,11.501732,1.563846
0.010000,20.840111,2.027432,0.027454,0.398505,3.808430,0.391076,1.562662
0.010000,20.840150,2.031799,0.031820,0.436632,3.812728,0.429860,1.561363
0.010000,20.840198,2.036546,0.036568,0.474806,3.817408,0.467939,1.559950
0.010000,20.840258,2.041676,0.041699,0.513031,3.822458,0.505075,1.558422
0.010000,20.840330,2.047189,0.047212,0.551310,3.827871,0.541238,1.556778
0.010000,20.840418,2.053085,0.053108,0.589646,3.833636,0.576478,1.555018
0.010000,20.840523,2.059364,0.059389,0.628043,3.839741,0.610579,1.553141
0.010000,20.840647,2.066028,0.066054,0.666505,3.846173,0.643197,1.551147
0.010000,20.840793,2.073077,0.073104,0.705034,3.852920,0.674683,1.549036
0.010000,20.840963,2.080512,0.080540,0.743634,3.859965,0.704510,1.546806
0.010000,20.841160,2.088332,0.088364,0.782307,3.867291,0.732613,1.544457
0.010000,20.841387,2.096540,0.096574,0.821056,3.874883,0.759165,1.541988
0.010000,20.841645,2.105134,0.105173,0.859883,3.882717,0.783426,1.539400
0.010000,20.841940,2.114118,0.114161,0.898791,3.890776,0.805920,1.536690
0.010000,20.842273,2.123489,0.123539,0.937781,3.899034,0.825768,1.533858
0.010000,20.842648,2.133251,0.133307,0.976856,3.907468,0.843403,1.530904
0.010000,20.843069,2.143402,0.143467,1.016016,3.916051,0.858320,1.527827
0.010000,20.843539,2.153944,0.154020,1.055264,3.924753,0.870137,1.524626
0.010000,20.844062,2.164878,0.164966,1.094599,3.933544,0.879156,1.521300
0.010000,20.844643,2.176203,0.176306,1.134023,3.942392,0.884760,1.517848
0.010000,20.845285,2.187921,0.188042,1.173536,3.951259,0.886692,1.514271
0.010000,20.845993,2.200032,0.200173,1.213137,3.960108,0.884908,1.510566
0.010000,20.846771,2.212536,0.212701,1.252826,3.968898,0.879058,1.506734
0.010000,20.847624,2.225434,0.225627,1.292602,3.977587,0.868841,1.502773
0.010000,20.848557,2.238726,0.238952,1.332463,3.986127,0.853989,1.498683
0.010000,20.849575,2.252412,0.252676,1.372408,3.994471,0.834376,1.494463
0.010000,20.850682,2.266493,0.266800,1.412433,4.002562,0.809177,1.490112
0.010000,20.851885,2.280968,0.281326,1.452537,4.010351,0.778885,1.485630
0.010000,20.853189,2.295838,0.296253,1.492714,4.017776,0.742466,1.481016
0.010000,20.854600,2.311103,0.311582,1.532962,4.024774,0.699866,1.476269
0.010000,20.856123,2.326762,0.327315,1.573275,4.031284,0.651002,1.471390
0.010000,20.857765,2.342814,0.343452,1.613647,4.037235,0.595012,1.466376
0.010000,20.859531,2.359261,0.359992,1.654073,4.042554,0.531973,1.461229
0.010000,20.861429,2.376099,0.376938,1.694545,4.047169,0.461439,1.455947
0.010000,20.863464,2.393330,0.394288,1.735055,4.050999,0.383019,1.450530
0.010000,20.865643,2.410952,0.412044,1.775594,4.053963,0.296374,1.444978
0.010000,20.867973,2.428963,0.430206,1.816154,4.055976,0.201335,1.439291
0.010000,20.870461,2.447363,0.448773,1.856724,4.056949,0.097343,1.433469
0.010000,20.873115,2.466150,0.467746,1.897291,4.056794,-0.015564,1.427511
0.010000,20.875940,2.485321,0.487124,1.937846,4.055413,-0.138070,1.421418
0.010000,20.878945,2.504875,0.506908,1.978373,4.052713,-0.270049,1.415190
0.010000,20.882138,2.524810,0.527097,2.018859,4.048593,-0.411984,1.408828
0.010000,20.885524,2.545122,0.547690,2.059288,4.042954,-0.563886,1.402331
0.010000,20.889113,2.565810,0.568686,2.099645,4.035695,-0.725930,1.395701
0.010000,20.892912,2.586869,0.590085,2.139912,4.026710,-0.898451,1.388938
0.010000,20.896929,2.608296,0.611886,2.180071,4.015898,-1.081200,1.382043
0.010000,20.901171,2.630088,0.634087,2.220103,4.003155,-1.274312,1.375018
0.010000,20.905647,2.652240,0.656687,2.259987,3.988377,-1.477766,1.367863
0.010000,20.910364,2.674749,0.679684,2.299701,3.971464,-1.691351,1.360580
0.010000,20.915330,2.697608,0.703076,2.339224,3.952314,-1.914984,1.353171
0.010000,20.920553,2.720812,0.726861,2.378533,3.930832,-2.148218,1.345637
0.010000,20.926041,2.744357,0.751037,2.417602,3.906923,-2.390887,1.337981
0.010000,20.931801,2.768236,0.775601,2.456407,3.880498,-2.642523,1.330205
0.010000,20.937841,2.792443,0.800551,2.494922,3.851475,-2.902320,1.322311
0.010000,20.944170,2.816971,0.825882,2.533119,3.819773,-3.170107,1.314302
0.010000,20.950793,2.841813,0.851592,2.570973,3.785326,-3.444765,1.306181
0.010000,20.957718,2.866962,0.877676,2.608453,3.748069,-3.725722,1.297952
0.010000,20.964954,2.892408,0.904131,2.645533,3.707949,-4.011976,1.289617
0.010000,20.972505,2.918145,0.930953,2.682182,3.664924,-4.302487,1.281181
0.010000,20.980379,2.944164,0.958137,2.718372,3.618961,-4.596263,1.272647
0.010000,20.988583,2.970454,0.985678,2.754072,3.570041,-4.892030,1.264020
0.010000,20.997122,2.997007,1.013570,2.789254,3.518156,-5.188489,1.255304
0.010000,21.006002,3.023814,1.041809,2.823887,3.463311,-5.484471,1.246504
0.010000,21.015229,3.050863,1.070389,2.857942,3.405527,-5.778438,1.237625
0.010000,21.024807,3.078144,1.099302,2.891390,3.344838,-6.068898,1.228671
0.010000,21.034742,3.105647,1.128544,2.924203,3.281294,-6.354437,1.219649
0.010000,21.045037,3.133360,1.158108,2.956353,3.214958,-6.633553,1.210565
0.010000,21.055697,3.161272,1.187986,2.987812,3.145912,-6.904649,1.201423
0.010000,21.066724,3.189371,1.218172,3.018554,3.074250,-7.166171,1.192231
0.010000,21.078122,3.217646,1.248657,3.048555,3.000083,-7.416693,1.182995
0.010000,21.089893,3.246084,1.279435,3.077791,2.923536,-7.654688,1.173721
0.010000,21.102039,3.274673,1.310497,3.106238,2.844749,-7.878760,1.164417
0.010000,21.114561,3.303401,1.341836,3.133877,2.763873,-8.087575,1.155088
0.010000,21.127460,3.332256,1.373443,3.160688,2.681074,-8.279892,1.145743
0.010000,21.140736,3.361225,1.405310,3.186653,2.596528,-8.454613,1.136388
0.010000,21.154390,3.390296,1.437427,3.211757,2.510421,-8.610689,1.127031
0.010000,21.168420,3.419456,1.469787,3.235987,2.422948,-8.747293,1.117680
0.010000,21.182826,3.448693,1.502380,3.259330,2.334311,-8.863731,1.108342
0.010000,21.197604,3.477995,1.535198,3.281777,2.244716,-8.959484,1.099025
0.010000,21.212753,3.507350,1.568231,3.303321,2.154374,-9.034163,1.089736
0.010000,21.228270,3.536746,1.601471,3.323956,2.063498,-9.087630,1.080484
0.010000,21.244151,3.566170,1.634908,3.343679,1.972299,-9.119894,1.071276
0.010000,21.260393,3.595612,1.668533,3.362488,1.880987,-9.131160,1.062121
0.010000,21.276991,3.625061,1.702336,3.380386,1.789769,-9.121837,1.053026
0.010000,21.293934,3.654496,1.736300,3.396320,1.593409,-19.635970,1.044001
0.010000,21.311206,3.683889,1.770392,3.409272,1.295195,-29.821400,1.035060
0.010000,21.328791,3.713214,1.804585,3.419300,1.002796,-29.239950,1.026216
0.010000,21.346670,3.742444,1.838850,3.426466,0.716632,-28.616351,1.017480
0.010000,21.364826,3.771555,1.873158,3.430837,0.437076,-27.955634,1.008864
0.010000,21.383238,3.800524,1.907483,3.432482,0.164446,-27.263032,1.000379
0.010000,21.401888,3.829328,1.941798,3.431472,-0.100993,-26.543891,0.992035
0.010000,21.420756,3.857947,1.976077,3.427881,-0.359029,-25.803553,0.983842
0.010000,21.439821,3.886361,2.010295,3.421786,-0.609502,-25.047304,0.975809
0.010000,21.459064,3.914552,2.044427,3.413263,-0.852304,-24.280256,0.967943
0.010000,21.478463,3.942504,2.078451,3.402390,-1.087378,-23.507328,0.960254
0.010000,21.497999,3.970200,2.112344,3.389242,-1.314709,-22.733111,0.952747
0.010000,21.517650,3.997626,2.146083,3.373899,-1.534328,-21.961920,0.945429
0.010000,21.537395,4.024767,2.179647,3.356436,-1.746305,-21.197681,0.938306
0.010000,21.557215,4.051613,2.213016,3.336929,-1.950744,-20.443905,0.931382
