dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.160000,2.000014,0.000007,0.001463,0.146294,14.629389,1.570808
0.010000,23.160000,2.000001,0.000020,0.001271,-0.019215,-16.550879,1.570795
0.010000,23.160000,2.000033,0.000051,0.003145,0.187406,20.662139,1.570766
0.010000,23.160000,2.000089,0.000107,0.005591,0.244576,5.716918,1.570713
0.010000,23.160000,2.000176,0.000195,0.008735,0.314409,6.983335,1.570630
0.010000,23.160000,2.000302,0.000320,0.012577,0.384193,6.978413,1.570512
0.010000,23.160000,2.000473,0.000492,0.017116,0.453902,6.970893,1.570350
0.010000,23.160000,2.000696,0.000715,0.022351,0.523508,6.960594,1.570140
0.010000,23.160000,2.000979,0.000998,0.028280,0.592976,6.946817,1.569873
0.010000,23.160001,2.001328,0.001347,0.034903,0.662268,6.929174,1.569543
0.010000,23.160001,2.001750,0.001769,0.042217,0.731341,6.907284,1.569144
0.010000,23.160002,2.002253,0.002271,0.050218,0.800146,6.880545,1.568669
0.010000,23.160004,2.002842,0.002860,0.058904,0.868632,6.848624,1.568111
0.010000,23.160006,2.003524,0.003543,0.068272,0.936743,6.811017,1.567463
0.010000,23.160009,2.004307,0.004326,0.078316,1.004417,6.767416,1.566720
0.010000,23.160013,2.005198,0.005217,0.089032,1.071591,6.717403,1.565873
0.010000,23.160018,2.006202,0.006221,0.100414,1.138196,6.660504,1.564916
0.010000,23.160025,2.007323,0.007342,0.112109,1.169473,3.127696,1.563846
0.010000,23.160035,2.008561,0.008579,0.123764,1.165562,-0.391117,1.562662
0.010000,23.160047,2.009914,0.009933,0.135377,1.161263,-0.429894,1.561363
0.010000,23.160062,2.011384,0.011403,0.146943,1.156584,-0.467899,1.559950
0.010000,23.160080,2.012968,0.012987,0.158458,1.151533,-0.505085,1.558422
0.010000,23.160102,2.014667,0.014686,0.169919,1.146120,-0.541336,1.556778
0.010000,23.160129,2.016480,0.016500,0.181323,1.140354,-0.576504,1.555018
0.010000,23.160162,2.018407,0.018426,0.192665,1.134249,-0.610513,1.553141
0.010000,23.160200,2.020446,0.020466,0.203943,1.127816,-0.643321,1.551147
0.010000,23.160244,2.022597,0.022617,0.215154,1.121070,-0.674658,1.549036
0.010000,23.160296,2.024859,0.024880,0.226294,1.114024,-0.704520,1.546806
0.010000,23.160356,2.027232,0.027254,0.237361,1.106697,-0.732744,1.544457
0.010000,23.160424,2.029714,0.029737,0.248352,1.099106,-0.759090,1.541988
0.010000,23.160502,2.032306,0.032330,0.259265,1.091270,-0.783579,1.539400
0.010000,23.160591,2.035005,0.035031,0.270097,1.083212,-0.805841,1.536690
0.010000,23.160690,2.037812,0.037839,0.280847,1.074953,-0.825912,1.533858
0.010000,23.160802,2.040725,0.040755,0.291512,1.066518,-0.843425,1.530904
0.010000,23.160927,2.043743,0.043775,0.302091,1.057936,-0.858279,1.527827
0.010000,23.161067,2.046866,0.046901,0.312584,1.049232,-0.870319,1.524626
0.010000,23.161221,2.050092,0.050131,0.322988,1.040441,-0.879178,1.521300
0.010000,23.161392,2.053421,0.053464,0.333304,1.031593,-0.884744,1.517848
0.010000,23.161580,2.056851,0.056900,0.343531,1.022725,-0.886783,1.514271
0.010000,23.161786,2.060382,0.060436,0.353670,1.013876,-0.884986,1.510566
0.010000,23.162012,2.064012,0.064073,0.363721,1.005084,-0.879118,1.506734
0.010000,23.162258,2.067741,0.067810,0.373685,0.996395,-0.868917,1.502773
0.010000,23.162527,2.071567,0.071646,0.383563,0.987854,-0.854095,1.498683
0.010000,23.162819,2.075490,0.075579,0.393358,0.979511,-0.834312,1.494463
0.010000,23.163135,2.079508,0.079610,0.403073,0.971417,-0.809415,1.490112
0.010000,23.163477,2.083621,0.083737,0.412709,0.963628,-0.778863,1.485630
0.010000,23.163846,2.087828,0.087960,0.422271,0.956203,-0.742542,1.481016
0.010000,23.164243,2.092127,0.092278,0.431763,0.949202,-0.700046,1.476269
0.010000,23.164670,2.096518,0.096690,0.441190,0.942693,-0.650974,1.471390
0.010000,23.165128,2.101000,0.101195,0.450557,0.936741,-0.595140,1.466376
0.010000,23.165619,2.105573,0.105794,0.459871,0.931420,-0.532089,1.461229
0.010000,23.166145,2.110235,0.110485,0.469139,0.926805,-0.461515,1.455947
0.010000,23.166706,2.114985,0.115269,0.478369,0.922974,-0.383097,1.450530
0.010000,23.167304,2.119824,0.120145,0.487569,0.920009,-0.296511,1.444978
0.010000,23.167942,2.124750,0.125112,0.496749,0.917995,-0.201392,1.439291
0.010000,23.168620,2.129764,0.130171,0.505919,0.917020,-0.097500,1.433469
0.010000,23.169340,2.134864,0.135322,0.515091,0.917176,0.015550,1.427511
0.010000,23.170104,2.140051,0.140565,0.524277,0.918555,0.137921,1.421418
0.010000,23.170915,2.145324,0.145900,0.533489,0.921255,0.269966,1.415190
0.010000,23.171773,2.150683,0.151327,0.542743,0.925373,0.411837,1.408828
0.010000,23.172681,2.156129,0.156848,0.552053,0.931011,0.563770,1.402331
0.010000,23.173640,2.161660,0.162462,0.561436,0.938270,0.725910,1.395701
0.010000,23.174654,2.167279,0.168171,0.570908,0.947253,0.898302,1.388938
0.010000,23.175724,2.172984,0.173976,0.580489,0.958064,1.081087,1.382043
0.010000,23.176851,2.178777,0.179878,0.590197,0.970806,1.274229,1.375018
0.010000,23.178040,2.184659,0.185879,0.600053,0.985583,1.477661,1.367863
0.010000,23.179291,2.190630,0.191979,0.610078,1.002495,1.691282,1.360580
0.010000,23.180608,2.196692,0.198182,0.620294,1.021644,1.914864,1.353171
0.010000,23.181993,2.202845,0.204490,0.630726,1.043126,2.148180,1.345637
0.010000,23.183449,2.209092,0.210904,0.641396,1.067034,2.390825,1.337981
0.010000,23.184978,2.215433,0.217427,0.652330,1.093458,2.642364,1.330205
0.010000,23.186585,2.221871,0.224062,0.663555,1.122481,2.902339,1.322311
0.010000,23.188271,2.228408,0.230813,0.675097,1.154181,3.170003,1.314302
0.010000,23.190041,2.235046,0.237683,0.686983,1.188629,3.444745,1.306181
0.010000,23.191898,2.241787,0.244676,0.699242,1.225885,3.725684,1.297952
0.010000,23.193845,2.248635,0.251795,0.711902,1.266005,4.011932,1.289617
0.010000,23.195886,2.255592,0.259045,0.724993,1.309030,4.302494,1.281181
0.010000,23.198025,2.262661,0.266430,0.738542,1.354992,4.596243,1.272647
0.010000,23.200267,2.269845,0.273956,0.752582,1.403912,4.892019,1.264020
0.010000,23.202616,2.277148,0.281627,0.767140,1.455798,5.188566,1.255304
0.010000,23.205076,2.284573,0.289450,0.782246,1.510643,5.484499,1.246504
0.010000,23.207652,2.292125,0.297429,0.797930,1.568428,5.778450,1.237625
0.010000,23.210349,2.299808,0.305571,0.814221,1.629117,6.068974,1.228671
0.010000,23.213173,2.307625,0.313883,0.831148,1.692663,6.354549,1.219649
0.010000,23.216129,2.315581,0.322370,0.848738,1.758999,6.633645,1.210565
0.010000,23.219222,2.323681,0.331040,0.867019,1.828047,6.904743,1.201423
0.010000,23.222459,2.331928,0.339900,0.886016,1.899710,7.166318,1.192231
0.010000,23.225845,2.340329,0.348958,0.905754,1.973878,7.416837,1.182995
0.010000,23.229388,2.348887,0.358221,0.926259,2.050427,7.654850,1.173721
0.010000,23.233093,2.357608,0.367696,0.947551,2.129216,7.878939,1.164417
0.010000,23.236967,2.366497,0.377393,0.969652,2.210094,8.087774,1.155088
0.010000,23.241018,2.375559,0.387318,0.992581,2.292895,8.280114,1.145743
0.010000,23.245253,2.384798,0.397482,1.016355,2.377443,8.454825,1.136388
0.010000,23.249678,2.394220,0.407892,1.040991,2.463552,8.610924,1.127031
0.010000,23.254303,2.403831,0.418557,1.066501,2.551028,8.747550,1.117680
0.010000,23.259133,2.413634,0.429486,1.092898,2.639668,8.864002,1.108342
0.010000,23.264178,2.423636,0.440688,1.120190,2.729265,8.959748,1.099025
0.010000,23.269444,2.433841,0.452172,1.148386,2.819610,9.034447,1.089736
0.010000,23.274941,2.444254,0.463947,1.177491,2.910489,9.087921,1.080484
0.010000,23.280677,2.454880,0.476022,1.207508,3.001691,9.120191,1.071276
0.010000,23.286659,2.465724,0.488406,1.238438,3.093006,9.131467,1.062121
0.010000,23.292896,2.476790,0.501109,1.270281,3.184227,9.122139,1.053026
0.010000,23.299394,2.488080,0.514135,1.302624,3.234298,5.007043,1.044001
0.010000,23.306158,2.499590,0.527485,1.335023,3.239930,0.563211,1.035060
0.010000,23.313191,2.511317,0.541159,1.367420,3.239747,-0.018257,1.026216
0.010000,23.320495,2.523257,0.555157,1.399754,3.233328,-0.641886,1.017480
0.010000,23.328073,2.535408,0.569477,1.431957,3.220302,-1.302637,1.008864
0.010000,23.335926,2.547763,0.584116,1.463960,3.200349,-1.995274,1.000379
0.010000,23.344055,2.560317,0.599073,1.495692,3.173204,-2.714459,0.992035
0.010000,23.352461,2.573067,0.614344,1.527079,3.138656,-3.454836,0.983842
0.010000,23.361142,2.586004,0.629924,1.558044,3.096545,-4.211133,0.975809
0.010000,23.370098,2.599124,0.645809,1.588512,3.046763,-4.978222,0.967943
0.010000,23.379325,2.612420,0.661993,1.618404,2.989250,-5.751209,0.960254
0.010000,23.388823,2.625884,0.678470,1.647644,2.923996,-6.525460,0.952747
0.010000,23.398585,2.639509,0.695231,1.676155,2.851029,-7.296696,0.945429
0.010000,23.408609,2.653287,0.712270,1.703859,2.770419,-8.060991,0.938306
0.010000,23.418889,2.667210,0.729577,1.730681,2.682271,-8.814801,0.931382
0.010000,23.429418,2.681270,0.747142,1.756549,2.586721,-9.555010,0.924663
0.010000,23.440188,2.695454,0.764952,1.780941,2.439254,-14.746644,0.918153
0.010000,23.451187,2.709750,0.782989,1.803764,2.282323,-15.693144,0.911857
0.010000,23.462408,2.724148,0.801243,1.825385,2.162041,-12.028169,0.905777
0.010000,23.473840,2.738638,0.819701,1.845737,2.035177,-12.686467,0.899915
0.010000,23.485475,2.753211,0.838348,1.864756,1.901972,-13.320512,0.894272
0.010000,23.497300,2.767857,0.857172,1.882383,1.762675,-13.929615,0.888849
0.010000,23.509305,2.782565,0.876158,1.898558,1.617542,-14.513379,0.883645
0.010000,23.521479,2.797325,0.895290,1.913227,1.466825,-15.071699,0.878661
0.010000,23.533808,2.812126,0.914553,1.926334,1.310778,-15.604679,0.873895
0.010000,23.546280,2.826957,0.933932,1.937831,1.149651,-16.112639,0.869346
0.010000,23.558881,2.841808,0.953408,1.947668,0.983691,-16.596044,0.865013
0.010000,23.571598,2.856667,0.972966,1.955799,0.813136,-17.055512,0.860893
0.010000,23.584416,2.871524,0.992588,1.962181,0.638218,-17.491760,0.856984
0.010000,23.597321,2.886366,1.012256,1.966773,0.459163,-17.905561,0.853283
0.010000,23.610297,2.901182,1.031951,1.969535,0.276185,-18.297759,0.849788
0.010000,23.623329,2.915961,1.051655,1.970430,0.089493,-18.669179,0.846493
0.010000,23.636402,2.930691,1.071350,1.969423,-0.100714,-19.020710,0.843397
0.010000,23.649503,2.945364,1.091020,1.967022,-0.240041,-13.932704,0.840493
0.010000,23.662623,2.959976,1.110658,1.963850,-0.317204,-7.716285,0.837776
0.010000,23.675757,2.974525,1.130258,1.960006,-0.384470,-6.726618,0.835241
0.010000,23.688896,2.989009,1.149813,1.955503,-0.450237,-6.576708,0.832881
0.010000,23.702033,3.003424,1.169317,1.950358,-0.514528,-6.429132,0.830691
0.010000,23.715161,3.017769,1.188763,1.944584,-0.577371,-6.284301,0.828666
0.010000,23.728274,3.032042,1.208145,1.938196,-0.638797,-6.142568,0.826800
0.010000,23.741365,3.046240,1.227457,1.931208,-0.698839,-6.004205,0.825089
0.010000,23.754428,3.060361,1.246693,1.923633,-0.757533,-5.869418,0.823526
0.010000,23.767456,3.074402,1.265848,1.915483,-0.814917,-5.738376,0.822108
0.010000,23.780444,3.088363,1.284916,1.906773,-0.871029,-5.611164,0.820828
0.010000,23.793386,3.102239,1.303891,1.897514,-0.925907,-5.487866,0.819684
0.010000,23.806276,3.116031,1.322768,1.887718,-0.979592,-5.368497,0.818669
0.010000,23.819109,3.129734,1.341542,1.877397,-1.032123,-5.253051,0.817780
0.010000,23.831878,3.143348,1.360208,1.866561,-1.083538,-5.141503,0.817012
0.010000,23.844580,3.156870,1.378760,1.855223,-1.133876,-5.033790,0.816360
0.010000,23.857209,3.170299,1.397194,1.843391,-1.183174,-4.929834,0.815821
0.010000,23.869760,3.183632,1.415505,1.831076,-1.231469,-4.829548,0.815390
0.010000,23.882228,3.196867,1.433687,1.818288,-1.278798,-4.732817,0.815063
0.010000,23.894609,3.210001,1.451738,1.805036,-1.325193,-4.639527,0.814836
0.010000,23.906898,3.223035,1.469651,1.791329,-1.370688,-4.549546,0.814706
0.010000,23.919091,3.235964,1.487423,1.777176,-1.415316,-4.462737,0.814668
0.010000,23.931184,3.248787,1.505049,1.762585,-1.459105,-4.378959,0.814719
0.010000,23.943173,3.261501,1.522524,1.747564,-1.502086,-4.298064,0.814854
0.010000,23.955054,3.274106,1.539846,1.732122,-1.544285,-4.219902,0.815071
0.010000,23.966822,3.286598,1.557008,1.716264,-1.585728,-4.144321,0.815365
0.010000,23.978475,3.298976,1.574008,1.700000,-1.626440,-4.071170,0.815734
0.010000,23.990009,3.311237,1.590842,1.683335,-1.666443,-4.000294,0.816173
0.010000,24.001420,3.323379,1.607504,1.666278,-1.705758,-3.931545,0.816680
0.010000,24.012706,3.335400,1.623993,1.648834,-1.744406,-3.864766,0.817251
0.010000,24.023862,3.347298,1.640303,1.631010,-1.782404,-3.799822,0.817882
0.010000,24.034886,3.359070,1.656431,1.612812,-1.819770,-3.736551,0.818571
0.010000,24.045774,3.370715,1.672373,1.594247,-1.856518,-3.674826,0.819315
0.010000,24.056525,3.382230,1.688127,1.575320,-1.892663,-3.614504,0.820109
0.010000,24.067135,3.393612,1.703687,1.556038,-1.928217,-3.555442,0.820952
0.010000,24.077601,3.404860,1.719051,1.536406,-1.963193,-3.497531,0.821840
0.010000,24.087921,3.415971,1.734215,1.516430,-1.997599,-3.440622,0.822770
0.010000,24.098092,3.426943,1.749177,1.496116,-2.031445,-3.384611,0.823739
0.010000,24.108112,3.437774,1.763931,1.475468,-2.064739,-3.329378,0.824745
