dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.999930,6.500000,0.000118,0.011804,0.590210,29.510506,3.141572
0.020000,22.999457,6.500000,0.000590,0.035413,1.180420,29.510506,3.141435
0.020000,22.998395,6.500000,0.001653,0.070825,1.770630,29.510506,3.141127
0.020000,22.996506,6.500002,0.003541,0.118042,2.360841,29.510506,3.140579
0.020000,22.993555,6.500006,0.006492,0.177063,2.951051,29.510506,3.139724
0.020000,22.989306,6.500017,0.010742,0.247888,3.541261,29.510506,3.138493
0.020000,22.983522,6.500039,0.016526,0.330518,4.131471,29.510506,3.136819
0.020000,22.975967,6.500084,0.024081,0.424951,4.721681,29.510506,3.134636
0.020000,22.966406,6.500163,0.033642,0.531189,5.311891,29.510506,3.131878
0.020000,22.954603,6.500298,0.045446,0.649231,5.902101,29.510506,3.128482
0.020000,22.940439,6.500513,0.059611,0.767273,5.902101,0.000000,3.124418
0.020000,22.923917,6.500835,0.076137,0.885315,5.902101,0.000000,3.119694
0.020000,22.905036,6.501300,0.095024,1.003357,5.902101,0.000000,3.114320
0.020000,22.883798,6.501943,0.116271,1.121399,5.902101,-0.000000,3.108304
0.020000,22.860205,6.502807,0.139880,1.239441,5.902101,0.000000,3.101660
0.020000,22.834261,6.503938,0.165849,1.357483,5.902101,-0.000000,3.094402
0.020000,22.805968,6.505386,0.194179,1.475525,5.902101,0.000000,3.086546
0.020000,22.775331,6.507204,0.224870,1.593567,5.902101,0.000000,3.078114
0.020000,22.742356,6.509449,0.257922,1.711609,5.902101,-0.000000,3.069126
0.020000,22.707049,6.512182,0.293334,1.829651,5.902101,0.000000,3.059607
0.020000,22.669418,6.515464,0.331108,1.947693,5.902101,-0.000000,3.049587
0.020000,22.629474,6.519362,0.371242,2.065735,5.902101,0.000000,3.039097
0.020000,22.587226,6.523941,0.413737,2.183777,5.902101,-0.000000,3.028172
0.020000,22.542688,6.529271,0.458593,2.301820,5.902101,0.000000,3.016851
0.020000,22.495874,6.535420,0.505810,2.419862,5.902101,0.000000,3.005176
0.020000,22.446799,6.542457,0.555388,2.537904,5.902101,0.000000,2.993194
0.020000,22.395480,6.550452,0.607326,2.655946,5.902101,-0.000000,2.980955
0.020000,22.341935,6.559472,0.661626,2.773988,5.902101,0.000000,2.968512
0.020000,22.286185,6.569583,0.718286,2.892030,5.902101,-0.000000,2.955922
0.020000,22.228249,6.580848,0.777307,3.010072,5.902101,0.000000,2.943244
0.020000,22.168150,6.593328,0.838689,3.128114,5.902101,0.000000,2.930542
0.020000,22.105908,6.607078,0.902431,3.246156,5.902101,0.000000,2.917882
0.020000,22.041546,6.622150,0.968535,3.364198,5.902101,-0.000000,2.905332
0.020000,21.975086,6.638591,1.036999,3.482240,5.902101,0.000000,2.892961
0.020000,21.906547,6.656439,1.107824,3.600282,5.902101,-0.000000,2.880841
0.020000,21.835949,6.675727,1.181010,3.718324,5.902101,0.000000,2.869046
0.020000,21.763309,6.696482,1.256557,3.836366,5.902101,-0.000000,2.857651
0.020000,21.688643,6.718721,1.334465,3.954408,5.902101,0.000000,2.846730
0.020000,21.611963,6.742451,1.414734,4.072450,5.902101,0.000000,2.836359
0.020000,21.533277,6.767672,1.497363,4.190492,5.902101,-0.000000,2.826616
