dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.500000,4.340000,0.000002,0.000500,0.049992,4.999223,3.141593
0.010000,23.500000,4.340000,0.000003,0.000004,-0.049546,-9.953776,3.141593
0.010000,23.500000,4.340000,0.000003,0.000010,0.000559,5.010405,3.141593
0.010000,23.499989,4.340000,0.000014,0.001142,0.113166,11.260727,3.141593
0.010000,23.499926,4.340000,0.000077,0.006277,0.513526,40.036035,3.141592
0.010000,23.499836,4.340000,0.000167,0.009039,0.276189,-23.733677,3.141592
0.010000,23.499713,4.340000,0.000290,0.012303,0.326408,5.021906,3.141592
0.010000,23.499552,4.340000,0.000451,0.016069,0.376630,5.022110,3.141591
0.010000,23.499348,4.340000,0.000654,0.020338,0.426853,5.022381,3.141590
0.010000,23.499097,4.340000,0.000905,0.025109,0.477081,5.022725,3.141589
0.010000,23.498794,4.340000,0.001209,0.030382,0.527312,5.023159,3.141588
0.010000,23.498432,4.340000,0.001571,0.036157,0.577549,5.023686,3.141587
0.010000,23.498008,4.340000,0.001995,0.042435,0.627792,5.024319,3.141585
0.010000,23.497515,4.340000,0.002487,0.049216,0.678043,5.025068,3.141583
0.010000,23.496950,4.340000,0.003052,0.056499,0.728302,5.025938,3.141581
0.010000,23.496308,4.340000,0.003695,0.064284,0.778572,5.026943,3.141578
0.010000,23.495582,4.340000,0.004421,0.072573,0.828853,5.028092,3.141575
0.010000,23.494768,4.340000,0.005235,0.081364,0.879147,5.029395,3.141572
0.010000,23.493862,4.340000,0.006141,0.090659,0.929455,5.030856,3.141568
0.010000,23.492857,4.340000,0.007146,0.100457,0.979780,5.032494,3.141564
0.010000,23.491750,4.340000,0.008253,0.110758,1.030123,5.034309,3.141560
0.010000,23.490534,4.340000,0.009469,0.121563,1.080486,5.036319,3.141555
0.010000,23.489205,4.340000,0.010798,0.132871,1.130872,5.038527,3.141549
0.010000,23.487758,4.340000,0.012244,0.144684,1.181281,5.040945,3.141543
0.010000,23.486188,4.340000,0.013814,0.157001,1.231717,5.043586,3.141537
0.010000,23.484490,4.340000,0.015513,0.169823,1.282181,5.046452,3.141529
0.010000,23.482659,4.340001,0.017344,0.183150,1.332677,5.049561,3.141521
0.010000,23.480689,4.340001,0.019314,0.196982,1.383206,5.052915,3.141513
0.010000,23.478576,4.340001,0.021427,0.211320,1.433772,5.056530,3.141503
0.010000,23.476314,4.340001,0.023689,0.226164,1.484376,5.060411,3.141493
0.010000,23.473901,4.340001,0.026101,0.241262,1.509889,2.551305,3.141481
0.010000,23.471338,4.340002,0.028665,0.256365,1.510301,0.041266,3.141469
0.010000,23.468623,4.340002,0.031380,0.271473,1.510740,0.043847,3.141456
0.010000,23.465757,4.340002,0.034246,0.286585,1.511204,0.046429,3.141442
0.010000,23.462740,4.340003,0.037263,0.301702,1.511694,0.049011,3.141427
0.010000,23.459572,4.340003,0.040431,0.316824,1.512210,0.051594,3.141411
0.010000,23.456252,4.340004,0.043750,0.331951,1.512752,0.054179,3.141394
0.010000,23.452781,4.340005,0.047221,0.347085,1.513320,0.056761,3.141375
0.010000,23.449159,4.340006,0.050844,0.362224,1.513913,0.059348,3.141356
0.010000,23.445386,4.340007,0.054617,0.377369,1.514532,0.061932,3.141335
0.010000,23.441460,4.340008,0.058542,0.392521,1.515178,0.064520,3.141313
0.010000,23.437384,4.340009,0.062619,0.407679,1.515849,0.067106,3.141289
0.010000,23.433155,4.340010,0.066848,0.422845,1.516546,0.069696,3.141264
0.010000,23.428775,4.340012,0.071228,0.438017,1.517268,0.072284,3.141237
0.010000,23.424243,4.340013,0.075760,0.453198,1.518017,0.074877,3.141209
0.010000,23.419559,4.340015,0.080444,0.468386,1.518792,0.077466,3.141179
0.010000,23.414723,4.340017,0.085279,0.483582,1.519592,0.080061,3.141148
0.010000,23.409735,4.340020,0.090267,0.498786,1.520419,0.082655,3.141114
0.010000,23.404595,4.340022,0.095407,0.513998,1.521272,0.085252,3.141079
0.010000,23.399303,4.340025,0.100700,0.529220,1.522150,0.087849,3.141042
0.010000,23.393859,4.340028,0.106144,0.544450,1.523055,0.090449,3.141003
0.010000,23.388262,4.340031,0.111741,0.559690,1.523985,0.093051,3.140962
0.010000,23.382512,4.340035,0.117490,0.574940,1.524942,0.095654,3.140919
0.010000,23.376610,4.340039,0.123392,0.590199,1.525924,0.098261,3.140873
0.010000,23.370556,4.340044,0.129447,0.605468,1.526933,0.100866,3.140825
0.010000,23.364348,4.340049,0.135654,0.620748,1.527968,0.103478,3.140775
0.010000,23.357988,4.340054,0.142015,0.636038,1.529029,0.106090,3.140722
0.010000,23.351475,4.340060,0.148528,0.651339,1.530116,0.108708,3.140666
0.010000,23.344808,4.340066,0.155195,0.666652,1.531229,0.111323,3.140608
0.010000,23.337988,4.340073,0.162015,0.681975,1.532368,0.113946,3.140547
0.010000,23.331015,4.340081,0.168988,0.697311,1.533534,0.116570,3.140483
