dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,24.820257,5.820231,0.000002,0.000500,0.049973,4.997317,2.356179
0.010000,24.820255,5.820233,0.000005,0.000270,-0.023023,-7.299588,2.356181
0.010000,24.820251,5.820237,0.000011,0.000606,0.033688,5.671080,2.356186
0.010000,24.820240,5.820248,0.000026,0.001503,0.089654,5.596621,2.356195
0.010000,24.820184,5.820304,0.000106,0.007931,0.642813,55.315873,2.356210
0.010000,24.820103,5.820385,0.000220,0.011421,0.348969,-29.384358,2.356231
0.010000,24.819993,5.820494,0.000375,0.015545,0.412420,6.345021,2.356259
0.010000,24.819850,5.820638,0.000578,0.020304,0.475875,6.345512,2.356297
0.010000,24.819668,5.820820,0.000835,0.025697,0.539329,6.345422,2.356344
0.010000,24.819444,5.821044,0.001153,0.031725,0.602790,6.346086,2.356402
0.010000,24.819172,5.821315,0.001536,0.038387,0.666251,6.346091,2.356472
0.010000,24.818849,5.821638,0.001993,0.045685,0.729720,6.346924,2.356556
0.010000,24.818470,5.822017,0.002529,0.053617,0.793194,6.347386,2.356654
0.010000,24.818030,5.822457,0.003151,0.062183,0.856674,6.348031,2.356768
0.010000,24.817525,5.822961,0.003865,0.071385,0.920162,6.348830,2.356898
0.010000,24.816950,5.823535,0.004677,0.081221,0.983660,6.349754,2.357047
0.010000,24.816301,5.824183,0.005594,0.091693,1.047168,6.350842,2.357215
0.010000,24.815573,5.824909,0.006622,0.102800,1.110689,6.352063,2.357403
0.010000,24.814762,5.825718,0.007768,0.114542,1.174221,6.353175,2.357613
0.010000,24.813863,5.826614,0.009037,0.126920,1.237770,6.354890,2.357846
0.010000,24.812872,5.827602,0.010436,0.139933,1.301333,6.356313,2.358102
0.010000,24.811784,5.828685,0.011972,0.153582,1.364917,6.358406,2.358384
0.010000,24.810594,5.829870,0.013651,0.167868,1.428517,6.360019,2.358691
0.010000,24.809298,5.831159,0.015479,0.182789,1.492141,6.362414,2.359026
0.010000,24.807891,5.832557,0.017462,0.198347,1.555787,6.364551,2.359390
0.010000,24.806369,5.834069,0.019607,0.214542,1.619458,6.367121,2.359783
0.010000,24.804727,5.835699,0.021921,0.231373,1.683156,6.369798,2.360208
0.010000,24.802960,5.837451,0.024410,0.248842,1.746883,6.372748,2.360664
0.010000,24.801063,5.839329,0.027079,0.266948,1.810641,6.375759,2.361154
0.010000,24.799033,5.841339,0.029936,0.285693,1.874430,6.378928,2.361678
0.010000,24.796863,5.843484,0.032987,0.305075,1.938255,6.382483,2.362238
0.010000,24.794550,5.845768,0.036238,0.325096,2.002116,6.386072,2.362835
0.010000,24.792088,5.848196,0.039695,0.345756,2.066017,6.390127,2.363470
0.010000,24.789473,5.850771,0.043366,0.367056,2.129955,6.393806,2.364144
0.010000,24.786700,5.853499,0.047256,0.388995,2.193937,6.398180,2.364859
0.010000,24.783765,5.856381,0.051368,0.411257,2.226206,3.226930,2.365615
0.010000,24.780670,5.859416,0.055704,0.433525,2.226746,0.054013,2.366412
0.010000,24.777413,5.862604,0.060262,0.455798,2.227309,0.056233,2.367250
0.010000,24.773994,5.865946,0.065042,0.478077,2.227895,0.058625,2.368130
0.010000,24.770412,5.869440,0.070046,0.500362,2.228503,0.060820,2.369050
0.010000,24.766667,5.873086,0.075273,0.522653,2.229130,0.062725,2.370013
0.010000,24.762759,5.876884,0.080722,0.544951,2.229776,0.064532,2.371016
0.010000,24.758687,5.880833,0.086395,0.567255,2.230439,0.066368,2.372062
0.010000,24.754450,5.884933,0.092290,0.589567,2.231122,0.068216,2.373148
0.010000,24.750048,5.889183,0.098409,0.611885,2.231817,0.069523,2.374277
0.010000,24.745481,5.893583,0.104751,0.634210,2.232525,0.070800,2.375447
0.010000,24.740747,5.898132,0.111317,0.656543,2.233248,0.072297,2.376659
0.010000,24.735847,5.902830,0.118105,0.678882,2.233979,0.073128,2.377912
0.010000,24.730779,5.907677,0.125118,0.701230,2.234721,0.074216,2.379208
0.010000,24.725542,5.912671,0.132354,0.723584,2.235469,0.074809,2.380545
0.010000,24.720137,5.917812,0.139813,0.745947,2.236225,0.075542,2.381925
0.010000,24.714563,5.923099,0.147496,0.768316,2.236982,0.075721,2.383346
0.010000,24.708818,5.928532,0.155403,0.790694,2.237743,0.076137,2.384810
0.010000,24.702902,5.934110,0.163534,0.813079,2.238504,0.076024,2.386315
0.010000,24.696815,5.939832,0.171889,0.835471,2.239261,0.075709,2.387864
0.010000,24.690555,5.945698,0.180467,0.857872,2.240016,0.075523,2.389454
0.010000,24.684122,5.951707,0.189270,0.880279,2.240762,0.074620,2.391087
0.010000,24.677515,5.957858,0.198297,0.902694,2.241502,0.074023,2.392762
0.010000,24.670734,5.964150,0.207548,0.925116,2.242229,0.072697,2.394480
0.010000,24.663776,5.970583,0.217024,0.947546,2.242944,0.071441,2.396240
0.010000,24.656642,5.977155,0.226724,0.969982,2.243641,0.069738,2.398043
0.010000,24.649331,5.983866,0.236648,0.992426,2.244322,0.068106,2.399888
