dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.999974,9.000000,0.000120,0.012000,0.600000,30.000000,3.141585
0.020000,9.999494,9.000000,0.000600,0.036000,1.200000,30.000000,3.141437
0.020000,9.998414,9.000000,0.001680,0.072000,1.800000,30.000000,3.141105
0.020000,9.996494,9.000002,0.003600,0.120000,2.400000,30.000000,3.140515
0.020000,9.993494,9.000007,0.006600,0.180000,3.000000,30.000000,3.139591
0.020000,9.989174,9.000018,0.010920,0.252000,3.600000,30.000000,3.138258
0.020000,9.983294,9.000043,0.016800,0.336000,4.200000,30.000000,3.136440
0.020000,9.975614,9.000092,0.024480,0.432000,4.800000,30.000000,3.134058
0.020000,9.965894,9.000180,0.034200,0.540000,5.400000,30.000000,3.131030
0.020000,9.953895,9.000329,0.046200,0.660000,6.000000,30.000000,3.127273
0.020000,9.939497,9.000568,0.060600,0.780000,6.000000,-0.000000,3.122736
0.020000,9.922701,9.000929,0.077400,0.900000,6.000000,0.000000,3.117405
0.020000,9.903508,9.001452,0.096600,1.020000,6.000000,0.000000,3.111262
0.020000,9.881921,9.002183,0.118200,1.140000,6.000000,0.000000,3.104286
0.020000,9.857941,9.003172,0.142200,1.260000,6.000000,0.000000,3.096456
0.020000,9.831574,9.004477,0.168600,1.380000,6.000000,-0.000000,3.087745
0.020000,9.802823,9.006165,0.197400,1.500000,6.000000,0.000000,3.078128
0.020000,9.771697,9.008308,0.228600,1.620000,6.000000,0.000000,3.067575
0.020000,9.738204,9.010985,0.262200,1.740000,6.000000,-0.000000,3.056055
0.020000,9.702356,9.014285,0.298200,1.860000,6.000000,0.000000,3.043537
0.020000,9.664167,9.018302,0.336600,1.980000,6.000000,-0.000000,3.029988
0.020000,9.623655,9.023142,0.377400,2.100000,6.000000,0.000000,3.015374
0.020000,9.580843,9.028915,0.420600,2.220000,6.000000,0.000000,2.999664
0.020000,9.535758,9.035744,0.466200,2.340000,6.000000,0.000000,2.982825
0.020000,9.488432,9.043758,0.514200,2.460000,6.000000,0.000000,2.964829
0.020000,9.438906,9.053095,0.564600,2.580000,6.000000,0.000000,2.945651
0.020000,9.387224,9.063900,0.617400,2.700000,6.000000,0.000000,2.925273
0.020000,9.333442,9.076328,0.672600,2.820000,6.000000,0.000000,2.903681
0.020000,9.277624,9.090539,0.730200,2.940000,6.000000,0.000000,2.880874
0.020000,9.219843,9.106699,0.790200,3.060000,6.000000,-0.000000,2.856859
