dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500035,3.500000,0.000120,0.012000,0.600000,30.000000,6.283185
0.020000,1.500515,3.500000,0.000600,0.036000,1.200000,30.000000,6.283185
0.020000,1.501595,3.500000,0.001680,0.072000,1.800000,30.000000,6.283185
0.020000,1.503515,3.500000,0.003600,0.120000,2.400000,30.000000,6.283184
0.020000,1.506515,3.500000,0.006600,0.180000,3.000000,30.000000,6.283183
0.020000,1.510835,3.500000,0.010920,0.252000,3.600000,30.000000,6.283182
0.020000,1.516715,3.500000,0.016800,0.336000,4.200000,30.000000,6.283179
0.020000,1.524395,3.500000,0.024480,0.432000,4.800000,30.000000,6.283176
0.020000,1.534115,3.500000,0.034200,0.540000,5.400000,30.000000,6.283172
0.020000,1.546115,3.500000,0.046200,0.660000,6.000000,30.000000,6.283166
0.020000,1.560515,3.499999,0.060600,0.780000,6.000000,-0.000000,6.283158
0.020000,1.577315,3.499999,0.077400,0.900000,6.000000,0.000000,6.283147
0.020000,1.596515,3.499998,0.096600,1.020000,6.000000,0.000000,6.283133
0.020000,1.618115,3.499997,0.118200,1.140000,6.000000,0.000000,6.283115
0.020000,1.642115,3.499995,0.142200,1.260000,6.000000,0.000000,6.283093
0.020000,1.668515,3.499992,0.168600,1.380000,6.000000,-0.000000,6.283065
0.020000,1.697315,3.499988,0.197400,1.500000,6.000000,0.000000,6.283031
0.020000,1.728515,3.499982,0.228600,1.620000,6.000000,0.000000,6.282990
0.020000,1.762115,3.499975,0.262200,1.740000,6.000000,-0.000000,6.282940
0.020000,1.798115,3.499965,0.298200,1.860000,6.000000,0.000000,6.282881
0.020000,1.836515,3.499952,0.336600,1.980000,6.000000,-0.000000,6.282812
0.020000,1.877315,3.499935,0.377400,2.100000,6.000000,0.000000,6.282730
0.020000,1.920515,3.499914,0.420600,2.220000,6.000000,0.000000,6.282635
0.020000,1.966115,3.499886,0.466200,2.340000,6.000000,0.000000,6.282525
0.020000,2.014115,3.499851,0.514200,2.460000,6.000000,0.000000,6.282399
0.020000,2.064515,3.499808,0.564600,2.580000,6.000000,0.000000,6.282254
0.020000,2.117315,3.499755,0.617400,2.700000,6.000000,0.000000,6.282090
0.020000,2.172515,3.499689,0.672600,2.820000,6.000000,0.000000,6.281905
0.020000,2.230115,3.499609,0.730200,2.940000,6.000000,0.000000,6.281696
0.020000,2.290114,3.499513,0.790200,3.060000,6.000000,-0.000000,6.281461
0.020000,2.352514,3.499398,0.852600,3.180000,6.000000,0.000000,6.281199
0.020000,2.417314,3.499259,0.917400,3.300000,6.000000,0.000000,6.280908
0.020000,2.484514,3.499096,0.984600,3.420000,6.000000,0.000000,6.280585
