dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499995,6.160000,0.000002,0.000500,0.049979,4.997918,0.000004
0.010000,1.499995,6.160000,0.000003,0.000038,-0.046203,-9.618249,0.000004
0.010000,1.499996,6.160000,0.000004,0.000085,0.004720,5.092312,0.000003
0.010000,1.499998,6.160000,0.000005,0.000151,0.006608,0.188787,0.000002
0.010000,1.500002,6.160000,0.000009,0.000406,0.025515,1.890770,6.283185
0.010000,1.500095,6.160000,0.000103,0.009336,0.892988,86.747302,6.283182
0.010000,1.500222,6.160000,0.000230,0.012707,0.337135,-55.585324,6.283178
0.010000,1.500388,6.160000,0.000396,0.016597,0.389002,5.186636,6.283173
0.010000,1.500598,6.160000,0.000606,0.021006,0.440868,5.186600,6.283167
0.010000,1.500858,6.160000,0.000865,0.025933,0.492733,5.186545,6.283158
0.010000,1.501171,6.160000,0.001179,0.031379,0.544598,5.186497,6.283149
0.010000,1.501545,6.160000,0.001552,0.037344,0.596462,5.186403,6.283137
0.010000,1.501983,6.160000,0.001991,0.043827,0.648325,5.186341,6.283123
0.010000,1.502491,6.160000,0.002499,0.050829,0.700188,5.186222,6.283107
0.010000,1.503075,6.160000,0.003082,0.058350,0.752049,5.186097,6.283089
0.010000,1.503739,6.160000,0.003746,0.066389,0.803908,5.185974,6.283068
0.010000,1.504488,6.160000,0.004496,0.074946,0.855766,5.185796,6.283045
0.010000,1.505328,6.160000,0.005336,0.084023,0.907623,5.185634,6.283018
0.010000,1.506265,6.159999,0.006272,0.093617,0.959477,5.185421,6.282989
0.010000,1.507302,6.159999,0.007309,0.103731,1.011329,5.185189,6.282956
0.010000,1.508446,6.159999,0.008453,0.114362,1.063178,5.184950,6.282920
0.010000,1.509701,6.159999,0.009708,0.125513,1.115025,5.184670,6.282881
0.010000,1.511072,6.159998,0.011080,0.137181,1.166868,5.184357,6.282838
0.010000,1.512566,6.159998,0.012574,0.149368,1.218709,5.184019,6.282791
0.010000,1.514187,6.159997,0.014194,0.162074,1.270545,5.183666,6.282741
0.010000,1.515940,6.159996,0.015947,0.175298,1.322378,5.183257,6.282686
0.010000,1.517830,6.159995,0.017838,0.189040,1.374206,5.182837,6.282626
0.010000,1.519863,6.159994,0.019871,0.203300,1.426030,5.182354,6.282563
0.010000,1.522044,6.159992,0.022052,0.218079,1.477849,5.181882,6.282495
0.010000,1.524378,6.159991,0.024385,0.233375,1.529662,5.181306,6.282422
0.010000,1.526870,6.159989,0.026877,0.249190,1.581469,5.180765,6.282344
0.010000,1.529525,6.159986,0.029532,0.265523,1.633271,5.180123,6.282261
0.010000,1.532349,6.159984,0.032356,0.282373,1.685065,5.179473,6.282172
0.010000,1.535346,6.159980,0.035354,0.299742,1.736853,5.178770,6.282079
0.010000,1.538522,6.159977,0.038530,0.317628,1.788633,5.178040,6.281980
0.010000,1.541880,6.159973,0.041888,0.335773,1.814477,2.584404,6.281875
0.010000,1.545419,6.159968,0.045427,0.353917,1.814387,-0.009006,6.281764
0.010000,1.549140,6.159962,0.049147,0.372060,1.814292,-0.009507,6.281648
0.010000,1.553042,6.159956,0.053049,0.390202,1.814192,-0.009981,6.281527
0.010000,1.557125,6.159949,0.057133,0.408342,1.814088,-0.010492,6.281399
0.010000,1.561390,6.159941,0.061398,0.426482,1.813978,-0.010973,6.281267
