dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500005,3.840000,0.000002,0.000500,0.049979,4.997918,0.000004
0.010000,1.500005,3.840000,0.000003,0.000038,-0.046203,-9.618249,0.000004
0.010000,1.500004,3.840000,0.000004,0.000085,0.004720,5.092312,0.000003
0.010000,1.500002,3.840000,0.000005,0.000151,0.006608,0.188787,0.000002
0.010000,1.500002,3.840000,0.000006,0.000066,-0.008524,-1.513213,6.283185
0.010000,1.500088,3.840000,0.000092,0.008656,0.859064,86.758890,6.283182
0.010000,1.500206,3.840000,0.000210,0.011782,0.312594,-54.647039,6.283178
0.010000,1.500360,3.840000,0.000364,0.015389,0.360686,4.809203,6.283173
0.010000,1.500555,3.840000,0.000559,0.019477,0.408778,4.809241,6.283167
0.010000,1.500795,3.840000,0.000799,0.024046,0.456871,4.809283,6.283158
0.010000,1.501086,3.840000,0.001090,0.029095,0.504965,4.809354,6.283149
0.010000,1.501432,3.840000,0.001437,0.034626,0.553059,4.809407,6.283137
0.010000,1.501839,3.840000,0.001843,0.040638,0.601154,4.809518,6.283123
0.010000,1.502310,3.840000,0.002314,0.047130,0.649250,4.809608,6.283107
0.010000,1.502851,3.840000,0.002855,0.054103,0.697347,4.809724,6.283089
0.010000,1.503467,3.840000,0.003471,0.061558,0.745446,4.809879,6.283068
0.010000,1.504162,3.840000,0.004166,0.069493,0.793546,4.810021,6.283045
0.010000,1.504941,3.840000,0.004945,0.077910,0.841649,4.810218,6.283018
0.010000,1.505809,3.839999,0.005813,0.086807,0.889753,4.810411,6.282989
0.010000,1.506771,3.839999,0.006775,0.096186,0.937859,4.810633,6.282956
0.010000,1.507831,3.839999,0.007835,0.106046,0.985968,4.810896,6.282920
0.010000,1.508995,3.839999,0.008999,0.116386,1.034080,4.811172,6.282881
0.010000,1.510267,3.839998,0.010271,0.127208,1.082194,4.811472,6.282838
0.010000,1.511652,3.839998,0.011656,0.138512,1.130312,4.811805,6.282791
0.010000,1.513155,3.839997,0.013159,0.150296,1.178434,4.812182,6.282741
0.010000,1.514781,3.839996,0.014785,0.162562,1.226560,4.812569,6.282686
0.010000,1.516534,3.839995,0.016538,0.175308,1.274690,4.813010,6.282626
0.010000,1.518419,3.839994,0.018423,0.188537,1.322825,4.813459,6.282563
0.010000,1.520442,3.839993,0.020446,0.202246,1.370965,4.813988,6.282495
0.010000,1.522606,3.839991,0.022610,0.216437,1.419109,4.814491,6.282422
0.010000,1.524917,3.839990,0.024921,0.231110,1.467260,4.815102,6.282344
0.010000,1.527380,3.839987,0.027384,0.246264,1.515417,4.815696,6.282261
0.010000,1.529999,3.839985,0.030003,0.261900,1.563581,4.816361,6.282172
0.010000,1.532779,3.839982,0.032783,0.278018,1.611752,4.817061,6.282079
0.010000,1.535725,3.839978,0.035729,0.294617,1.659930,4.817819,6.281980
0.010000,1.538840,3.839975,0.038844,0.311457,1.684065,2.413487,6.281875
0.010000,1.542123,3.839970,0.042127,0.328299,1.684155,0.009018,6.281764
0.010000,1.545574,3.839965,0.045578,0.345141,1.684250,0.009497,6.281648
0.010000,1.549194,3.839959,0.049198,0.361985,1.684350,0.010002,6.281527
0.010000,1.552982,3.839953,0.052986,0.378830,1.684455,0.010473,6.281399
0.010000,1.556939,3.839945,0.056943,0.395675,1.684564,0.010973,6.281267
0.010000,1.561064,3.839937,0.061068,0.412522,1.684679,0.011473,6.281128
0.010000,1.565358,3.839928,0.065362,0.429370,1.684799,0.011946,6.280984
0.010000,1.569820,3.839918,0.069824,0.446219,1.684923,0.012453,6.280835
0.010000,1.574451,3.839907,0.074455,0.463070,1.685052,0.012935,6.280680
0.010000,1.579250,3.839894,0.079254,0.479922,1.685187,0.013445,6.280519
0.010000,1.584218,3.839880,0.084222,0.496775,1.685326,0.013916,6.280353
0.010000,1.589354,3.839866,0.089358,0.513630,1.685470,0.014421,6.280182
0.010000,1.594659,3.839849,0.094663,0.530486,1.685620,0.014928,6.280005
0.010000,1.600132,3.839831,0.100137,0.547343,1.685774,0.015398,6.279822
0.010000,1.605774,3.839812,0.105779,0.564203,1.685933,0.015910,6.279634
0.010000,1.611585,3.839791,0.111589,0.581064,1.686097,0.016403,6.279441
0.010000,1.617564,3.839768,0.117569,0.597926,1.686266,0.016902,6.279242
0.010000,1.623712,3.839743,0.123716,0.614791,1.686440,0.017398,6.279038
0.010000,1.630028,3.839716,0.130033,0.631657,1.686619,0.017900,6.278828
0.010000,1.636514,3.839687,0.136518,0.648525,1.686802,0.018383,6.278613
0.010000,1.643167,3.839656,0.143172,0.665395,1.686992,0.018906,6.278393
0.010000,1.649990,3.839622,0.149995,0.682267,1.687185,0.019388,6.278167
0.010000,1.656981,3.839586,0.156986,0.699141,1.687384,0.019902,6.277936
0.010000,1.664141,3.839548,0.164146,0.716017,1.687588,0.020389,6.277700
0.010000,1.671470,3.839507,0.171475,0.732895,1.687797,0.020903,6.277458
0.010000,1.678968,3.839463,0.178973,0.749775,1.688011,0.021399,6.277211
0.010000,1.686634,3.839416,0.186640,0.766657,1.688230,0.021911,6.276959
0.010000,1.694469,3.839366,0.194475,0.783541,1.688455,0.022404,6.276701
0.010000,1.702474,3.839313,0.202479,0.800428,1.688684,0.022917,6.276438
0.010000,1.710647,3.839257,0.210653,0.817317,1.688918,0.023420,6.276170
0.010000,1.718988,3.839198,0.218995,0.834209,1.689157,0.023927,6.275897
0.010000,1.727499,3.839134,0.227506,0.851103,1.689402,0.024440,6.275619
0.010000,1.736179,3.839067,0.236186,0.868000,1.689651,0.024939,6.275336
0.010000,1.745028,3.838997,0.245035,0.884899,1.689905,0.025447,6.275047
0.010000,1.754045,3.838922,0.254053,0.901800,1.690165,0.025966,6.274754
0.010000,1.763232,3.838843,0.263240,0.918705,1.690430,0.026472,6.274455
0.010000,1.772588,3.838760,0.272596,0.935612,1.690700,0.026976,6.274151
0.010000,1.782113,3.838672,0.282121,0.952521,1.690975,0.027504,6.273842
0.010000,1.791807,3.838580,0.291815,0.969434,1.691255,0.028002,6.273529
0.010000,1.801670,3.838484,0.301679,0.986349,1.691540,0.028526,6.273210
0.010000,1.811702,3.838382,0.311712,1.003268,1.691830,0.029027,6.272886
0.010000,1.821903,3.838275,0.321913,1.020189,1.692126,0.029557,6.272558
0.010000,1.832274,3.838163,0.332285,1.037113,1.692426,0.030066,6.272224
0.010000,1.842813,3.838046,0.342825,1.054040,1.692732,0.030579,6.271886
0.010000,1.853522,3.837923,0.353535,1.070971,1.693043,0.031104,6.271542
0.010000,1.864401,3.837794,0.364414,1.087904,1.693359,0.031622,6.271194
0.010000,1.875448,3.837660,0.375462,1.104841,1.693681,0.032132,6.270841
0.010000,1.886665,3.837520,0.386680,1.121781,1.694007,0.032661,6.270484
0.010000,1.898051,3.837373,0.398067,1.138725,1.694339,0.033177,6.270121
0.010000,1.909607,3.837220,0.409624,1.155671,1.694676,0.033698,6.269754
0.010000,1.921332,3.837060,0.421350,1.172622,1.695018,0.034231,6.269383
0.010000,1.933227,3.836894,0.433246,1.189575,1.695366,0.034737,6.269006
0.010000,1.945291,3.836720,0.445311,1.206533,1.695718,0.035271,6.268625
0.010000,1.957525,3.836540,0.457546,1.223493,1.696076,0.035796,6.268240
0.010000,1.969928,3.836352,0.469951,1.240458,1.696440,0.036317,6.267850
0.010000,1.982500,3.836157,0.482525,1.257426,1.696808,0.036851,6.267455
0.010000,1.995243,3.835954,0.495269,1.274398,1.697182,0.037370,6.267056
0.010000,2.008155,3.835743,0.508183,1.291373,1.697561,0.037898,6.266652
0.010000,2.021236,3.835524,0.521266,1.308353,1.697945,0.038432,6.266244
0.010000,2.034488,3.835297,0.534520,1.325336,1.698335,0.038959,6.265832
0.010000,2.047909,3.835061,0.547943,1.342323,1.698730,0.039483,6.265415
0.010000,2.061500,3.834816,0.561536,1.359315,1.699130,0.040024,6.264994
0.010000,2.075261,3.834563,0.575299,1.376310,1.699535,0.040549,6.264568
0.010000,2.089191,3.834301,0.589232,1.393309,1.699946,0.041083,6.264139
0.010000,2.103292,3.834029,0.603335,1.410313,1.700362,0.041610,6.263705
0.010000,2.117562,3.833748,0.617608,1.427321,1.700784,0.042152,6.263267
0.010000,2.132003,3.833457,0.632052,1.444333,1.701211,0.042682,6.262825
0.010000,2.146613,3.833156,0.646665,1.461349,1.701643,0.043216,6.262378
0.010000,2.161394,3.832845,0.661449,1.478370,1.702080,0.043753,6.261928
0.010000,2.176344,3.832524,0.676403,1.495395,1.702523,0.044291,6.261474
0.010000,2.191465,3.832192,0.691527,1.512425,1.702971,0.044820,6.261015
0.010000,2.206755,3.831850,0.706822,1.529459,1.703425,0.045368,6.260553
0.010000,2.222216,3.831496,0.722287,1.546498,1.703884,0.045895,6.260087
0.010000,2.237848,3.831131,0.737922,1.563542,1.704348,0.046440,6.259616
0.010000,2.253649,3.830755,0.753728,1.580590,1.704818,0.046980,6.259142
0.010000,2.269621,3.830367,0.769705,1.597643,1.705293,0.047515,6.258665
0.010000,2.285763,3.829967,0.785852,1.614701,1.705774,0.048055,6.258183
0.010000,2.302075,3.829556,0.802169,1.631763,1.706260,0.048605,6.257698
0.010000,2.318558,3.829131,0.818657,1.648831,1.706751,0.049130,6.257209
0.010000,2.335211,3.828694,0.835317,1.665903,1.707248,0.049683,6.256717
0.010000,2.352035,3.828245,0.852146,1.682981,1.707750,0.050219,6.256221
0.010000,2.369029,3.827782,0.869147,1.700063,1.708258,0.050772,6.255721
0.010000,2.386194,3.827306,0.886318,1.717151,1.708771,0.051299,6.255218
0.010000,2.403530,3.826817,0.903661,1.734244,1.709289,0.051850,6.254711
0.010000,2.421036,3.826314,0.921174,1.751342,1.709813,0.052399,6.254201
0.010000,2.438713,3.825797,0.938859,1.768445,1.710343,0.052931,6.253688
0.010000,2.456561,3.825266,0.956714,1.785554,1.710878,0.053482,6.253172
0.010000,2.474579,3.824720,0.974741,1.802668,1.711418,0.054026,6.252652
0.010000,2.492768,3.824160,0.992939,1.819788,1.711964,0.054568,6.252129
0.010000,2.511128,3.823585,1.011308,1.836913,1.712515,0.055119,6.251602
0.010000,2.529659,3.822994,1.029848,1.854044,1.713071,0.055658,6.251073
0.010000,2.548361,3.822388,1.048560,1.871180,1.713633,0.056201,6.250540
0.010000,2.567234,3.821767,1.067443,1.888322,1.714201,0.056755,6.250005
0.010000,2.586279,3.821130,1.086498,1.905470,1.714774,0.057297,6.249467
0.010000,2.605494,3.820476,1.105724,1.922623,1.715352,0.057838,6.248925
0.010000,2.624880,3.819807,1.125122,1.939783,1.715936,0.058393,6.248381
0.010000,2.644437,3.819120,1.144692,1.956948,1.716525,0.058930,6.247834
0.010000,2.664166,3.818417,1.164433,1.974119,1.717120,0.059484,6.247284
0.010000,2.684066,3.817697,1.184346,1.991296,1.717720,0.060022,6.246731
0.010000,2.704137,3.816959,1.204431,2.008480,1.718326,0.060577,6.246176
0.010000,2.724380,3.816204,1.224687,2.025669,1.718937,0.061118,6.245618
0.010000,2.744794,3.815431,1.245116,2.042865,1.719554,0.061660,6.245058
0.010000,2.765379,3.814640,1.265717,2.060066,1.720176,0.062217,6.244495
0.010000,2.786136,3.813831,1.286489,2.077274,1.720804,0.062753,6.243930
0.010000,2.807065,3.813003,1.307434,2.094489,1.721437,0.063304,6.243362
0.010000,2.828165,3.812156,1.328551,2.111710,1.722075,0.063845,6.242792
0.010000,2.849437,3.811290,1.349841,2.128937,1.722719,0.064395,6.242219
0.010000,2.870880,3.810405,1.371302,2.146170,1.723369,0.064938,6.241645
0.010000,2.892495,3.809501,1.392937,2.163411,1.724023,0.065487,6.241068
0.010000,2.914282,3.808576,1.414743,2.180658,1.724684,0.066026,6.240489
0.010000,2.936241,3.807632,1.436722,2.197911,1.725349,0.066574,6.239908
0.010000,2.958372,3.806667,1.458874,2.215171,1.726021,0.067119,6.239325
0.010000,2.980674,3.805681,1.481198,2.232438,1.726697,0.067661,6.238740
0.010000,3.003149,3.804675,1.503695,2.249712,1.727379,0.068207,6.238153
0.010000,3.025796,3.803648,1.526365,2.266993,1.728067,0.068747,6.237565
0.010000,3.048614,3.802599,1.549208,2.284280,1.728760,0.069293,6.236974
0.010000,3.071605,3.801529,1.572224,2.301575,1.729458,0.069833,6.236382
0.010000,3.094768,3.800438,1.595413,2.318876,1.730162,0.070376,6.235788
0.010000,3.118104,3.799324,1.618775,2.336185,1.730871,0.070920,6.235193
0.010000,3.141611,3.798188,1.642310,2.353501,1.731586,0.071457,6.234596
0.010000,3.165291,3.797029,1.666018,2.370824,1.732306,0.072000,6.233998
0.010000,3.189143,3.795848,1.689899,2.388154,1.733031,0.072538,6.233398
0.010000,3.213168,3.794643,1.713954,2.405492,1.733762,0.073081,6.232797
0.010000,3.237365,3.793416,1.738183,2.422837,1.734498,0.073616,6.232194
0.010000,3.261735,3.792165,1.762585,2.440189,1.735239,0.074158,6.231591
0.010000,3.286278,3.790890,1.787160,2.457549,1.735986,0.074690,6.230986
0.010000,3.310993,3.789591,1.811909,2.474917,1.736739,0.075233,6.230380
0.010000,3.335880,3.788268,1.836832,2.492292,1.737496,0.075767,6.229774
0.010000,3.360941,3.786921,1.861929,2.509674,1.738259,0.076300,6.229166
0.010000,3.386174,3.785549,1.887199,2.527064,1.739028,0.076839,6.228557
0.010000,3.411581,3.784151,1.912644,2.544462,1.739801,0.077370,6.227948
0.010000,3.437160,3.782729,1.938263,2.561868,1.740581,0.077906,6.227337
0.010000,3.462912,3.781282,1.964056,2.579282,1.741365,0.078436,6.226727
0.010000,3.488837,3.779808,1.990023,2.596703,1.742155,0.078971,6.226115
0.010000,3.514935,3.778309,2.016164,2.614133,1.742950,0.079500,6.225503
0.010000,3.541207,3.776784,2.042480,2.631570,1.743750,0.080028,6.224890
0.010000,3.567652,3.775233,2.068970,2.649016,1.744555,0.080562,6.224278
0.010000,3.594270,3.773655,2.095635,2.666470,1.745366,0.081086,6.223664
0.010000,3.621061,3.772050,2.122474,2.683931,1.746183,0.081616,6.223051
0.010000,3.648025,3.770418,2.149488,2.701402,1.747004,0.082141,6.222437
0.010000,3.675164,3.768759,2.176677,2.718880,1.747831,0.082668,6.221823
0.010000,3.702475,3.767073,2.204040,2.736366,1.748663,0.083192,6.221209
0.010000,3.729960,3.765359,2.231579,2.753861,1.749500,0.083717,6.220595
0.010000,3.757619,3.763617,2.259293,2.771365,1.750342,0.084238,6.219982
0.010000,3.785452,3.761847,2.287181,2.788877,1.751190,0.084761,6.219368
0.010000,3.813458,3.760048,2.315245,2.806397,1.752042,0.085283,6.218754
0.010000,3.841638,3.758221,2.343485,2.823926,1.752901,0.085801,6.218141
0.010000,3.869992,3.756366,2.371899,2.841464,1.753764,0.086321,6.217529
0.010000,3.898520,3.754481,2.400489,2.859010,1.754632,0.086839,6.216916
0.010000,3.927222,3.752568,2.429255,2.876565,1.755506,0.087356,6.216305
0.010000,3.956098,3.750625,2.458196,2.894129,1.756384,0.087871,6.215694
0.010000,3.985148,3.748652,2.487313,2.911702,1.757268,0.088387,6.215083
0.010000,4.014373,3.746650,2.516606,2.929283,1.758157,0.088901,6.214474
