dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,3.500000,0.000120,0.012000,0.600000,30.000000,0.000000
0.020000,1.500465,3.500000,0.000600,0.036000,1.200000,30.000000,6.283175
0.020000,1.501545,3.500000,0.001680,0.072000,1.800000,30.000000,6.283150
0.020000,1.503465,3.500000,0.003600,0.120000,2.400000,30.000000,6.283106
0.020000,1.506465,3.500000,0.006600,0.180000,3.000000,30.000000,6.283038
0.020000,1.510785,3.499999,0.010920,0.252000,3.600000,30.000000,6.282939
0.020000,1.516665,3.499997,0.016800,0.336000,4.200000,30.000000,6.282806
0.020000,1.524345,3.499993,0.024480,0.432000,4.800000,30.000000,6.282631
0.020000,1.534065,3.499987,0.034200,0.540000,5.400000,30.000000,6.282411
0.020000,1.546065,3.499976,0.046200,0.660000,6.000000,30.000000,6.282140
0.020000,1.560465,3.499958,0.060600,0.780000,6.000000,-0.000000,6.281816
0.020000,1.577265,3.499932,0.077400,0.900000,6.000000,0.000000,6.281440
0.020000,1.596465,3.499895,0.096600,1.020000,6.000000,0.000000,6.281012
0.020000,1.618065,3.499843,0.118200,1.140000,6.000000,0.000000,6.280533
0.020000,1.642065,3.499773,0.142200,1.260000,6.000000,0.000000,6.280005
0.020000,1.668464,3.499681,0.168600,1.380000,6.000000,-0.000000,6.279428
0.020000,1.697264,3.499564,0.197400,1.500000,6.000000,0.000000,6.278804
0.020000,1.728464,3.499417,0.228600,1.620000,6.000000,0.000000,6.278133
0.020000,1.762063,3.499235,0.262200,1.740000,6.000000,-0.000000,6.277418
0.020000,1.798063,3.499014,0.298200,1.860000,6.000000,0.000000,6.276660
0.020000,1.836462,3.498748,0.336600,1.980000,6.000000,-0.000000,6.275860
0.020000,1.877261,3.498432,0.377400,2.100000,6.000000,0.000000,6.275021
0.020000,1.920459,3.498060,0.420600,2.220000,6.000000,0.000000,6.274144
0.020000,1.966057,3.497627,0.466200,2.340000,6.000000,0.000000,6.273230
0.020000,2.014054,3.497126,0.514200,2.460000,6.000000,0.000000,6.272283
0.020000,2.064451,3.496552,0.564600,2.580000,6.000000,0.000000,6.271304
0.020000,2.117247,3.495898,0.617400,2.700000,6.000000,0.000000,6.270296
0.020000,2.172442,3.495158,0.672600,2.820000,6.000000,0.000000,6.269261
0.020000,2.230036,3.494325,0.730200,2.940000,6.000000,0.000000,6.268201
0.020000,2.290029,3.493394,0.790200,3.060000,6.000000,-0.000000,6.267120
0.020000,2.352420,3.492357,0.852600,3.180000,6.000000,0.000000,6.266019
0.020000,2.417210,3.491208,0.917400,3.300000,6.000000,0.000000,6.264902
0.020000,2.484398,3.489941,0.984600,3.420000,6.000000,0.000000,6.263772
0.020000,2.553984,3.488550,1.054200,3.540000,6.000000,0.000000,6.262631
0.020000,2.625968,3.487029,1.126200,3.660000,6.000000,-0.000000,6.261483
0.020000,2.700349,3.485371,1.200600,3.780000,6.000000,0.000000,6.260331
0.020000,2.777128,3.483572,1.277400,3.900000,6.000000,0.000000,6.259179
