dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499979,6.160000,0.000002,0.000499,0.049900,4.990020,0.000018
0.010000,1.499980,6.160000,0.000003,0.000096,-0.040332,-9.023172,0.000017
0.010000,1.499982,6.160000,0.000006,0.000215,0.011961,5.229232,0.000015
0.010000,1.499986,6.160000,0.000009,0.000383,0.016745,0.478418,0.000012
0.010000,1.499992,6.160000,0.000015,0.000598,0.021529,0.478396,0.000007
0.010000,1.500008,6.160000,0.000031,0.001554,0.095635,7.410631,6.283185
0.010000,1.500142,6.160000,0.000165,0.013398,1.184328,108.869245,6.283175
0.010000,1.500317,6.160000,0.000340,0.017499,0.410130,-77.419814,6.283161
0.010000,1.500538,6.160000,0.000561,0.022147,0.464811,5.468144,6.283145
0.010000,1.500811,6.160000,0.000835,0.027342,0.519491,5.468024,6.283124
0.010000,1.501142,6.160000,0.001166,0.033084,0.574170,5.467882,6.283099
0.010000,1.501536,6.160000,0.001559,0.039372,0.628847,5.467672,6.283069
0.010000,1.501998,6.160000,0.002021,0.046207,0.683521,5.467458,6.283035
0.010000,1.502534,6.160000,0.002557,0.053589,0.738193,5.467172,6.282994
0.010000,1.503149,6.160000,0.003173,0.061518,0.792862,5.466878,6.282948
0.010000,1.503849,6.159999,0.003872,0.069993,0.847527,5.466475,6.282895
0.010000,1.504639,6.159999,0.004663,0.079015,0.902187,5.466080,6.282836
0.010000,1.505525,6.159999,0.005548,0.088583,0.956844,5.465624,6.282769
0.010000,1.506512,6.159998,0.006535,0.098698,1.011494,5.465060,6.282694
0.010000,1.507606,6.159998,0.007629,0.109360,1.066139,5.464461,6.282612
0.010000,1.508811,6.159997,0.008835,0.120568,1.120777,5.463845,6.282521
0.010000,1.510135,6.159996,0.010158,0.132322,1.175408,5.463084,6.282421
0.010000,1.511581,6.159995,0.011604,0.144622,1.230031,5.462256,6.282312
0.010000,1.513155,6.159993,0.013179,0.157468,1.284645,5.461397,6.282194
0.010000,1.514864,6.159992,0.014887,0.170861,1.339249,5.460461,6.282065
0.010000,1.516712,6.159989,0.016735,0.184799,1.393843,5.459378,6.281926
0.010000,1.518705,6.159987,0.018728,0.199284,1.448426,5.458252,6.281776
0.010000,1.520848,6.159984,0.020871,0.214314,1.502996,5.457037,6.281615
0.010000,1.523147,6.159980,0.023170,0.229889,1.557553,5.455720,6.281442
