dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500021,3.840000,0.000002,0.000499,0.049900,4.990020,0.000018
0.010000,1.500020,3.840000,0.000003,0.000096,-0.040332,-9.023172,0.000017
0.010000,1.500018,3.840000,0.000006,0.000215,0.011961,5.229232,0.000015
0.010000,1.500014,3.840000,0.000009,0.000383,0.016745,0.478418,0.000012
0.010000,1.500008,3.840000,0.000015,0.000598,0.021529,0.478396,0.000007
0.010000,1.500006,3.840000,0.000017,0.000168,-0.043010,-6.453909,6.283185
0.010000,1.500117,3.840000,0.000128,0.011053,1.088550,113.156017,6.283175
0.010000,1.500261,3.840000,0.000272,0.014437,0.338374,-75.017637,6.283161
0.010000,1.500444,3.840000,0.000455,0.018272,0.383492,4.511875,6.283145
0.010000,1.500669,3.840000,0.000680,0.022558,0.428612,4.512006,6.283124
0.010000,1.500942,3.840000,0.000953,0.027296,0.473734,4.512175,6.283099
0.010000,1.501267,3.840000,0.001278,0.032484,0.518858,4.512352,6.283069
0.010000,1.501649,3.840000,0.001659,0.038124,0.563984,4.512595,6.283035
0.010000,1.502091,3.840000,0.002101,0.044215,0.609112,4.512855,6.282994
0.010000,1.502598,3.840000,0.002609,0.050758,0.654244,4.513191,6.282948
0.010000,1.503176,3.840000,0.003187,0.057751,0.699379,4.513526,6.282895
0.010000,1.503828,3.839999,0.003839,0.065197,0.744519,4.513963,6.282836
0.010000,1.504559,3.839999,0.004569,0.073093,0.789664,4.514451,6.282769
0.010000,1.505373,3.839999,0.005384,0.081441,0.834813,4.514957,6.282694
0.010000,1.506275,3.839998,0.006286,0.090241,0.879969,4.515549,6.282612
0.010000,1.507270,3.839998,0.007281,0.099492,0.925131,4.516248,6.282521
0.010000,1.508362,3.839997,0.008373,0.109195,0.970301,4.516955,6.282421
0.010000,1.509556,3.839996,0.009567,0.119350,1.015478,4.517741,6.282312
0.010000,1.510855,3.839995,0.010866,0.129957,1.060664,4.518641,6.282194
0.010000,1.512266,3.839993,0.012276,0.141015,1.105861,4.519625,6.282065
0.010000,1.513791,3.839991,0.013802,0.152526,1.151067,4.520640,6.281926
0.010000,1.515436,3.839989,0.015447,0.164489,1.196285,4.521780,6.281776
0.010000,1.517205,3.839986,0.017216,0.176904,1.241515,4.523014,6.281615
0.010000,1.519102,3.839983,0.019113,0.189772,1.286758,4.524337,6.281442
0.010000,1.521133,3.839980,0.021144,0.203092,1.332016,4.525724,6.281257
0.010000,1.523300,3.839975,0.023311,0.216639,1.354722,2.270595,6.281060
0.010000,1.525602,3.839970,0.025612,0.230188,1.354872,0.015034,6.280850
0.010000,1.528039,3.839964,0.028050,0.243738,1.355032,0.016031,6.280628
0.010000,1.530612,3.839957,0.030623,0.257290,1.355202,0.016934,6.280395
0.010000,1.533320,3.839949,0.033331,0.270844,1.355381,0.017913,6.280148
0.010000,1.536164,3.839940,0.036175,0.284400,1.355569,0.018863,6.279890
0.010000,1.539144,3.839930,0.039155,0.297957,1.355767,0.019810,6.279619
0.010000,1.542259,3.839919,0.042270,0.311517,1.355975,0.020774,6.279337
0.010000,1.545510,3.839906,0.045521,0.325079,1.356192,0.021721,6.279042
0.010000,1.548896,3.839891,0.048907,0.338643,1.356419,0.022695,6.278735
0.010000,1.552418,3.839875,0.052429,0.352210,1.356656,0.023650,6.278416
0.010000,1.556076,3.839857,0.056087,0.365779,1.356902,0.024607,6.278085
0.010000,1.559869,3.839837,0.059881,0.379350,1.357158,0.025586,6.277741
0.010000,1.563799,3.839815,0.063810,0.392924,1.357423,0.026543,6.277386
0.010000,1.567864,3.839790,0.067875,0.406501,1.357698,0.027522,6.277019
0.010000,1.572064,3.839764,0.072076,0.420081,1.357983,0.028483,6.276640
0.010000,1.576401,3.839734,0.076412,0.433664,1.358278,0.029454,6.276249
0.010000,1.580873,3.839702,0.080885,0.447250,1.358582,0.030462,6.275845
0.010000,1.585481,3.839668,0.085493,0.460839,1.358896,0.031386,6.275430
0.010000,1.590226,3.839630,0.090237,0.474431,1.359220,0.032423,6.275004
0.010000,1.595106,3.839589,0.095118,0.488027,1.359554,0.033348,6.274565
0.010000,1.600122,3.839545,0.100134,0.501626,1.359898,0.034398,6.274114
0.010000,1.605274,3.839497,0.105286,0.515228,1.360251,0.035338,6.273652
0.010000,1.610562,3.839445,0.110575,0.528834,1.360615,0.036357,6.273178
