dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500032,3.500000,0.000120,0.012000,0.600000,30.000000,6.283182
0.020000,1.500512,3.500000,0.000600,0.036000,1.200000,30.000000,6.283125
0.020000,1.501592,3.500000,0.001680,0.072000,1.800000,30.000000,6.282999
0.020000,1.503512,3.499999,0.003600,0.120000,2.400000,30.000000,6.282774
0.020000,1.506512,3.499998,0.006600,0.180000,3.000000,30.000000,6.282423
0.020000,1.510832,3.499993,0.010920,0.252000,3.600000,30.000000,6.281917
0.020000,1.516712,3.499984,0.016800,0.336000,4.200000,30.000000,6.281230
0.020000,1.524392,3.499965,0.024480,0.432000,4.800000,30.000000,6.280333
0.020000,1.534112,3.499932,0.034200,0.540000,5.400000,30.000000,6.279200
0.020000,1.546112,3.499876,0.046200,0.660000,6.000000,30.000000,6.277804
0.020000,1.560512,3.499786,0.060600,0.780000,6.000000,-0.000000,6.276132
0.020000,1.577311,3.499651,0.077400,0.900000,6.000000,0.000000,6.274187
0.020000,1.596510,3.499457,0.096600,1.020000,6.000000,0.000000,6.271970
0.020000,1.618109,3.499188,0.118200,1.140000,6.000000,0.000000,6.269486
0.020000,1.642106,3.498826,0.142200,1.260000,6.000000,0.000000,6.266737
0.020000,1.668502,3.498352,0.168600,1.380000,6.000000,-0.000000,6.263727
0.020000,1.697295,3.497745,0.197400,1.500000,6.000000,0.000000,6.260460
0.020000,1.728486,3.496981,0.228600,1.620000,6.000000,0.000000,6.256940
0.020000,1.762073,3.496036,0.262200,1.740000,6.000000,-0.000000,6.253174
0.020000,1.798054,3.494884,0.298200,1.860000,6.000000,0.000000,6.249165
0.020000,1.836429,3.493496,0.336600,1.980000,6.000000,-0.000000,6.244921
0.020000,1.877195,3.491844,0.377400,2.100000,6.000000,0.000000,6.240448
0.020000,1.920352,3.489897,0.420600,2.220000,6.000000,0.000000,6.235753
0.020000,1.965895,3.487623,0.466200,2.340000,6.000000,0.000000,6.230843
0.020000,2.013822,3.484988,0.514200,2.460000,6.000000,0.000000,6.225728
0.020000,2.064131,3.481960,0.564600,2.580000,6.000000,0.000000,6.220416
0.020000,2.116818,3.478503,0.617400,2.700000,6.000000,0.000000,6.214916
0.020000,2.171878,3.474581,0.672600,2.820000,6.000000,0.000000,6.209239
0.020000,2.229308,3.470157,0.730200,2.940000,6.000000,0.000000,6.203395
0.020000,2.289102,3.465195,0.790200,3.060000,6.000000,-0.000000,6.197396
