dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.499978,6.160000,0.000007,0.001495,0.149477,14.947683,0.000019
0.010000,1.499986,6.160000,0.000016,0.000825,-0.067007,-21.648348,0.000012
0.010000,1.500022,6.160000,0.000052,0.003619,0.279426,34.643262,6.283181
0.010000,1.500175,6.160000,0.000204,0.015257,1.163800,88.437421,6.283153
0.010000,1.500413,6.160000,0.000443,0.023839,0.858208,-30.559241,6.283108
0.010000,1.500757,6.160000,0.000786,0.034328,1.048927,19.071947,6.283044
0.010000,1.501224,6.160000,0.001253,0.046725,1.239651,19.072381,6.282957
0.010000,1.501834,6.160000,0.001864,0.061029,1.430384,19.073324,6.282843
0.010000,1.502607,6.159999,0.002636,0.077240,1.621123,19.073826,6.282699
0.010000,1.503560,6.159999,0.003590,0.095359,1.811876,19.075322,6.282522
0.010000,1.504714,6.159998,0.004744,0.115385,2.002646,19.077052,6.282307
0.010000,1.506087,6.159997,0.006117,0.137319,2.193430,19.078327,6.282051
0.010000,1.507699,6.159994,0.007728,0.161162,2.384240,19.081026,6.281750
0.010000,1.509568,6.159991,0.009597,0.186913,2.575071,19.083108,6.281402
0.010000,1.511714,6.159987,0.011743,0.214572,2.765934,19.086302,6.281002
0.010000,1.514146,6.159981,0.014175,0.243186,2.861459,9.552495,6.280548
0.010000,1.516864,6.159973,0.016893,0.271803,2.861640,0.018137,6.280041
0.010000,1.519868,6.159963,0.019897,0.300421,2.861843,0.020285,6.279481
0.010000,1.523158,6.159950,0.023188,0.329042,2.862059,0.021559,6.278867
0.010000,1.526735,6.159933,0.026764,0.357665,2.862291,0.023208,6.278200
0.010000,1.530598,6.159913,0.030627,0.386290,2.862539,0.024837,6.277479
0.010000,1.534747,6.159887,0.034776,0.414918,2.862799,0.026013,6.276705
0.010000,1.539182,6.159857,0.039212,0.443549,2.863069,0.026948,6.275877
0.010000,1.543904,6.159820,0.043934,0.472182,2.863349,0.028037,6.274996
0.010000,1.548912,6.159777,0.048942,0.500819,2.863639,0.028992,6.274061
0.010000,1.554206,6.159726,0.054237,0.529458,2.863930,0.029112,6.273073
0.010000,1.559787,6.159667,0.059818,0.558100,2.864228,0.029803,6.272031
0.010000,1.565654,6.159598,0.065685,0.586746,2.864525,0.029686,6.270935
0.010000,1.571807,6.159519,0.071839,0.615394,2.864822,0.029712,6.269786
0.010000,1.578247,6.159429,0.078279,0.644045,2.865114,0.029146,6.268582
0.010000,1.584973,6.159326,0.085006,0.672699,2.865400,0.028677,6.267326
0.010000,1.591986,6.159211,0.092020,0.701356,2.865676,0.027567,6.266015
0.010000,1.599285,6.159080,0.099320,0.730015,2.865941,0.026481,6.264651
0.010000,1.606870,6.158934,0.106907,0.758677,2.866188,0.024747,6.263232
0.010000,1.614742,6.158771,0.114780,0.787341,2.866419,0.023096,6.261760
0.010000,1.622900,6.158590,0.122940,0.816007,2.866626,0.020673,6.260235
0.010000,1.631345,6.158390,0.131387,0.844676,2.866809,0.018281,6.258655
0.010000,1.640075,6.158169,0.140121,0.873345,2.866960,0.015161,6.257022
0.010000,1.649092,6.157925,0.149141,0.902016,2.867081,0.012072,6.255334
0.010000,1.658395,6.157658,0.158448,0.930688,2.867164,0.008271,6.253593
0.010000,1.667984,6.157365,0.168041,0.959360,2.867203,0.003938,6.251798
0.010000,1.677859,6.157046,0.177921,0.988032,2.867201,-0.000239,6.249949
0.010000,1.688020,6.156698,0.188088,1.016703,2.867147,-0.005402,6.248046
0.010000,1.698467,6.156321,0.198542,1.045373,2.867036,-0.011084,6.246089
0.010000,1.709200,6.155912,0.209283,1.074042,2.866871,-0.016536,6.244078
0.010000,1.720218,6.155469,0.220310,1.102709,2.866639,-0.023193,6.242014
0.010000,1.731522,6.154992,0.231623,1.131372,2.866337,-0.030222,6.239895
0.010000,1.743111,6.154477,0.243224,1.160032,2.865963,-0.037375,6.237723
0.010000,1.754985,6.153924,0.255111,1.188687,2.865507,-0.045539,6.235498
0.010000,1.767144,6.153330,0.267284,1.217336,2.864969,-0.053791,6.233218
0.010000,1.779587,6.152693,0.279744,1.245980,2.864338,-0.063147,6.230885
0.010000,1.792315,6.152011,0.292490,1.274616,2.863614,-0.072430,6.228498
0.010000,1.805327,6.151283,0.305522,1.303244,2.862786,-0.082817,6.226058
0.010000,1.818623,6.150506,0.318841,1.331862,2.861848,-0.093781,6.223564
0.010000,1.832202,6.149678,0.332446,1.360470,2.860800,-0.104757,6.221017
0.010000,1.846065,6.148797,0.346336,1.389066,2.859628,-0.117246,6.218417
0.010000,1.860211,6.147861,0.360513,1.417650,2.858332,-0.129612,6.215764
0.010000,1.874639,6.146867,0.374975,1.446219,2.856900,-0.143126,6.213058
0.010000,1.889349,6.145813,0.389723,1.474772,2.855331,-0.156967,6.210298
0.010000,1.904340,6.144697,0.404756,1.503308,2.853613,-0.171744,6.207487
0.010000,1.919613,6.143517,0.420074,1.531826,2.851743,-0.187030,6.204622
0.010000,1.935166,6.142270,0.435677,1.560323,2.849715,-0.202835,6.201705
0.010000,1.951000,6.140953,0.451565,1.588798,2.847515,-0.219971,6.198736
0.010000,1.967112,6.139565,0.467738,1.617249,2.845145,-0.237025,6.195715
0.010000,1.983504,6.138102,0.484195,1.645675,2.842592,-0.255241,6.192643
0.010000,2.000174,6.136562,0.500935,1.674074,2.839851,-0.274157,6.189518
0.010000,2.017121,6.134943,0.517960,1.702443,2.836913,-0.293728,6.186343
0.010000,2.034345,6.133242,0.535268,1.730781,2.833776,-0.313773,6.183116
0.010000,2.051845,6.131456,0.552858,1.759085,2.830425,-0.335028,6.179839
0.010000,2.069620,6.129582,0.570732,1.787354,2.826859,-0.356657,6.176511
0.010000,2.087669,6.127618,0.588888,1.815584,2.823068,-0.379104,6.173134
0.010000,2.105992,6.125562,0.607326,1.843775,2.819047,-0.402106,6.169706
0.010000,2.124587,6.123410,0.626045,1.871922,2.814783,-0.426317,6.166229
0.010000,2.143454,6.121160,0.645045,1.900025,2.810278,-0.450524,6.162703
0.010000,2.162591,6.118808,0.664326,1.928080,2.805517,-0.476107,6.159129
0.010000,2.181997,6.116352,0.683887,1.956085,2.800498,-0.501921,6.155507
0.010000,2.201671,6.113790,0.703727,1.984038,2.795212,-0.528611,6.151836
0.010000,2.221612,6.111118,0.723846,2.011934,2.789652,-0.555962,6.148119
0.010000,2.241819,6.108333,0.744244,2.039772,2.783814,-0.583835,6.144355
0.010000,2.262290,6.105433,0.764920,2.067549,2.777688,-0.612581,6.140545
0.010000,2.283024,6.102414,0.785872,2.095262,2.771271,-0.641715,6.136689
0.010000,2.304020,6.099275,0.807101,2.122907,2.764555,-0.671625,6.132788
0.010000,2.325275,6.096011,0.828606,2.150483,2.757535,-0.701921,6.128842
0.010000,2.346789,6.092619,0.850386,2.177985,2.750207,-0.732878,6.124853
0.010000,2.368561,6.089098,0.872440,2.205410,2.742563,-0.764381,6.120821
0.010000,2.390587,6.085444,0.894768,2.232756,2.734600,-0.796308,6.116746
0.010000,2.412867,6.081654,0.917368,2.260020,2.726312,-0.828752,6.112630
0.010000,2.435399,6.077725,0.940240,2.287196,2.717696,-0.861585,6.108472
0.010000,2.458181,6.073654,0.963383,2.314284,2.708750,-0.894676,6.104275
0.010000,2.481211,6.069439,0.986795,2.341279,2.699465,-0.928435,6.100038
0.010000,2.504488,6.065076,1.010477,2.368177,2.689844,-0.962121,6.095762
0.010000,2.528009,6.060563,1.034427,2.394976,2.679880,-0.996446,6.091448
0.010000,2.551771,6.055896,1.058644,2.421672,2.669573,-1.030688,6.087098
0.010000,2.575774,6.051074,1.083126,2.448261,2.658921,-1.065197,6.082712
0.010000,2.600015,6.046092,1.107874,2.474740,2.647921,-1.099970,6.078291
0.010000,2.624492,6.040949,1.132885,2.501106,2.636574,-1.134656,6.073836
0.010000,2.649201,6.035641,1.158158,2.527355,2.624880,-1.169421,6.069347
0.010000,2.674142,6.030165,1.183693,2.553483,2.612839,-1.204109,6.064827
0.010000,2.699312,6.024520,1.209488,2.579487,2.600451,-1.238848,6.060276
0.010000,2.724708,6.018702,1.235542,2.605365,2.587717,-1.273341,6.055695
0.010000,2.750327,6.012709,1.261853,2.631111,2.574641,-1.307606,6.051086
0.010000,2.776168,6.006538,1.288420,2.656723,2.561224,-1.341696,6.046449
0.010000,2.802227,6.000187,1.315242,2.682198,2.547469,-1.375484,6.041786
0.010000,2.828502,5.993653,1.342317,2.707532,2.533381,-1.408829,6.037097
0.010000,2.854990,5.986933,1.369644,2.732721,2.518964,-1.441763,6.032385
0.010000,2.881689,5.980025,1.397222,2.757764,2.504221,-1.474300,6.027650
0.010000,2.908595,5.972928,1.425049,2.782655,2.489159,-1.506164,6.022894
0.010000,2.935706,5.965638,1.453123,2.807393,2.473784,-1.537482,6.018118
0.010000,2.963018,5.958153,1.481442,2.831974,2.458103,-1.568136,6.013323
0.010000,2.990530,5.950472,1.510006,2.856395,2.442122,-1.598069,6.008511
0.010000,3.018238,5.942592,1.538813,2.880654,2.425850,-1.627224,6.003683
0.010000,3.046139,5.934510,1.567860,2.904747,2.409294,-1.655533,5.998841
0.010000,3.074229,5.926226,1.597147,2.928671,2.392465,-1.682948,5.993986
0.010000,3.102507,5.917738,1.626671,2.952425,2.375370,-1.709522,5.989119
0.010000,3.130968,5.909042,1.656431,2.976005,2.358020,-1.734947,5.984242
0.010000,3.159610,5.900139,1.686425,2.999410,2.340425,-1.759502,5.979357
0.010000,3.188430,5.891025,1.716652,3.022636,2.322596,-1.782893,5.974465
0.010000,3.217424,5.881700,1.747109,3.045681,2.304544,-1.805184,5.969568
