dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500022,3.840000,0.000007,0.001495,0.149477,14.947683,0.000019
0.010000,1.500014,3.840000,0.000016,0.000825,-0.067007,-21.648348,0.000012
0.010000,1.500013,3.840000,0.000017,0.000092,-0.073251,-0.624418,6.283181
0.010000,1.500099,3.840000,0.000103,0.008659,0.856714,92.996500,6.283153
0.010000,1.500235,3.840000,0.000239,0.013530,0.487083,-36.963139,6.283108
0.010000,1.500429,3.840000,0.000433,0.019483,0.595318,10.823506,6.283044
0.010000,1.500695,3.840000,0.000699,0.026519,0.703547,10.822938,6.282957
0.010000,1.501041,3.840000,0.001045,0.034637,0.811771,10.822342,6.282843
0.010000,1.501479,3.840000,0.001483,0.043836,0.919982,10.821132,6.282699
0.010000,1.502021,3.839999,0.002024,0.054118,1.028183,10.820075,6.282522
0.010000,1.502675,3.839999,0.002679,0.065482,1.136370,10.818697,6.282307
0.010000,1.503455,3.839998,0.003459,0.077927,1.244535,10.816568,6.282051
0.010000,1.504369,3.839997,0.004373,0.091454,1.352683,10.814721,6.281750
0.010000,1.505430,3.839995,0.005434,0.106062,1.460802,10.811970,6.281402
0.010000,1.506647,3.839993,0.006651,0.121751,1.568895,10.809276,6.281002
0.010000,1.508027,3.839989,0.008031,0.137979,1.622845,5.395045,6.280548
0.010000,1.509569,3.839985,0.009573,0.154206,1.622663,-0.018268,6.280041
0.010000,1.511273,3.839979,0.011277,0.170431,1.622464,-0.019878,6.279481
0.010000,1.513140,3.839972,0.013144,0.186653,1.622246,-0.021807,6.278867
0.010000,1.515169,3.839962,0.015173,0.202873,1.622013,-0.023325,6.278200
0.010000,1.517360,3.839950,0.017364,0.219091,1.621766,-0.024639,6.277479
0.010000,1.519713,3.839936,0.019717,0.235306,1.621507,-0.025974,6.276705
0.010000,1.522228,3.839919,0.022232,0.251518,1.621235,-0.027189,6.275877
0.010000,1.524905,3.839898,0.024909,0.267728,1.620954,-0.028042,6.274996
0.010000,1.527744,3.839873,0.027748,0.283935,1.620668,-0.028674,6.274061
0.010000,1.530745,3.839845,0.030750,0.300138,1.620373,-0.029464,6.273073
0.010000,1.533909,3.839811,0.033913,0.316339,1.620077,-0.029594,6.272031
0.010000,1.537234,3.839772,0.037239,0.332537,1.619779,-0.029825,6.270935
0.010000,1.540721,3.839727,0.040726,0.348732,1.619483,-0.029596,6.269786
0.010000,1.544370,3.839676,0.044375,0.364924,1.619190,-0.029304,6.268582
0.010000,1.548180,3.839618,0.048186,0.381113,1.618904,-0.028536,6.267326
0.010000,1.552153,3.839553,0.052159,0.397299,1.618627,-0.027689,6.266015
0.010000,1.556287,3.839479,0.056294,0.413483,1.618364,-0.026365,6.264651
0.010000,1.560583,3.839396,0.060591,0.429664,1.618115,-0.024922,6.263232
0.010000,1.565040,3.839304,0.065049,0.445843,1.617885,-0.022923,6.261760
0.010000,1.569659,3.839201,0.069669,0.462019,1.617677,-0.020832,6.260235
0.010000,1.574440,3.839088,0.074451,0.478194,1.617495,-0.018170,6.258655
0.010000,1.579382,3.838963,0.079395,0.494368,1.617342,-0.015345,6.257022
0.010000,1.584486,3.838825,0.084500,0.510540,1.617223,-0.011904,6.255334
0.010000,1.589751,3.838673,0.089767,0.526711,1.617140,-0.008244,6.253593
0.010000,1.595177,3.838508,0.095196,0.542882,1.617098,-0.004242,6.251798
0.010000,1.600764,3.838327,0.100787,0.559053,1.617103,0.000516,6.249949
0.010000,1.606513,3.838131,0.106539,0.575225,1.617157,0.005407,6.248046
0.010000,1.612423,3.837917,0.112453,0.591398,1.617264,0.010718,6.246089
0.010000,1.618495,3.837686,0.118529,0.607572,1.617433,0.016897,6.244078
0.010000,1.624727,3.837435,0.124766,0.623749,1.617665,0.023153,6.242014
0.010000,1.631121,3.837165,0.131166,0.639928,1.617965,0.029982,6.239895
0.010000,1.637675,3.836874,0.137727,0.656112,1.618340,0.037547,6.237723
0.010000,1.644391,3.836561,0.144450,0.672300,1.618794,0.045369,6.235498
0.010000,1.651268,3.836225,0.151335,0.688493,1.619334,0.053992,6.233218
0.010000,1.658306,3.835865,0.158382,0.704693,1.619962,0.062864,6.230885
0.010000,1.665504,3.835480,0.165590,0.720899,1.620689,0.072673,6.228498
0.010000,1.672864,3.835068,0.172962,0.737115,1.621517,0.082773,6.226058
0.010000,1.680384,3.834628,0.180495,0.753339,1.622452,0.093484,6.223564
0.010000,1.688066,3.834160,0.188191,0.769574,1.623503,0.105146,6.221017
0.010000,1.695908,3.833661,0.196049,0.785821,1.624672,0.116929,6.218417
0.010000,1.703912,3.833132,0.204070,0.802081,1.625970,0.129777,6.215764
0.010000,1.712076,3.832569,0.212253,0.818355,1.627400,0.142990,6.213058
0.010000,1.720401,3.831973,0.220600,0.834644,1.628971,0.157050,6.210298
0.010000,1.728887,3.831341,0.229109,0.850951,1.630687,0.171627,6.207487
0.010000,1.737534,3.830673,0.237782,0.867277,1.632557,0.186979,6.204622
0.010000,1.746342,3.829967,0.246618,0.883623,1.634588,0.203113,6.201705
0.010000,1.755311,3.829221,0.255618,0.899990,1.636784,0.219583,6.198736
0.010000,1.764441,3.828434,0.264782,0.916382,1.639156,0.237200,6.195715
0.010000,1.773732,3.827605,0.274110,0.932799,1.641708,0.255269,6.192643
0.010000,1.783184,3.826732,0.283602,0.949244,1.644449,0.274059,6.189518
0.010000,1.792797,3.825813,0.293260,0.965717,1.647385,0.293603,6.186343
0.010000,1.802572,3.824848,0.303082,0.982223,1.650525,0.314008,6.183116
0.010000,1.812508,3.823834,0.313069,0.998761,1.653874,0.334857,6.179839
0.010000,1.822606,3.822770,0.323223,1.015336,1.657440,0.356627,6.176511
0.010000,1.832865,3.821654,0.333542,1.031948,1.661231,0.379063,6.173134
0.010000,1.843285,3.820484,0.344028,1.048601,1.665254,0.402311,6.169706
0.010000,1.853867,3.819259,0.354681,1.065296,1.669514,0.425992,6.166229
0.010000,1.864612,3.817978,0.365502,1.082036,1.674021,0.450787,6.162703
0.010000,1.875518,3.816638,0.376490,1.098824,1.678780,0.475899,6.159129
0.010000,1.886586,3.815237,0.387646,1.115662,1.683800,0.501964,6.155507
0.010000,1.897817,3.813774,0.398972,1.132553,1.689086,0.528599,6.151836
0.010000,1.909210,3.812248,0.410467,1.149499,1.694645,0.555905,6.148119
0.010000,1.920766,3.810655,0.422132,1.166504,1.700485,0.583938,6.144355
0.010000,1.932485,3.808995,0.433968,1.183570,1.706609,0.612471,6.140545
0.010000,1.944366,3.807265,0.445975,1.200700,1.713027,0.641751,6.136689
0.010000,1.956411,3.805464,0.458154,1.217898,1.719742,0.671524,6.132788
0.010000,1.968620,3.803589,0.470505,1.235165,1.726762,0.701975,6.128842
0.010000,1.980992,3.801639,0.483030,1.252506,1.734091,0.732908,6.124853
0.010000,1.993528,3.799611,0.495730,1.269924,1.741734,0.764345,6.120821
0.010000,2.006229,3.797504,0.508604,1.287421,1.749697,0.796308,6.116746
0.010000,2.019094,3.795316,0.521654,1.305000,1.757984,0.828696,6.112630
0.010000,2.032124,3.793044,0.534881,1.322666,1.766600,0.861527,6.108472
0.010000,2.045320,3.790686,0.548285,1.340422,1.775548,0.894819,6.104275
0.010000,2.058680,3.788240,0.561867,1.358270,1.784831,0.928276,6.100038
0.010000,2.072207,3.785705,0.575630,1.376215,1.794453,0.962262,6.095762
0.010000,2.085900,3.783078,0.589572,1.394259,1.804416,0.996297,6.091448
0.010000,2.099759,3.780356,0.603696,1.412406,1.814723,1.030730,6.087098
0.010000,2.113785,3.777538,0.618003,1.430660,1.825376,1.065284,6.082712
0.010000,2.127979,3.774621,0.632493,1.449024,1.836375,1.099884,6.078291
0.010000,2.142340,3.771603,0.647168,1.467501,1.847722,1.134655,6.073836
0.010000,2.156870,3.768482,0.662029,1.486095,1.859416,1.169419,6.069347
0.010000,2.171568,3.765255,0.677077,1.504810,1.871458,1.204184,6.064827
0.010000,2.186435,3.761921,0.692314,1.523648,1.883846,1.238786,6.060276
0.010000,2.201472,3.758476,0.707740,1.542614,1.896579,1.273312,6.055695
0.010000,2.216678,3.754919,0.723357,1.561710,1.909655,1.307662,6.051086
0.010000,2.232055,3.751246,0.739166,1.580941,1.923072,1.341713,6.046449
0.010000,2.247603,3.747457,0.755169,1.600309,1.936827,1.375447,6.041786
0.010000,2.263323,3.743548,0.771368,1.619819,1.950915,1.408854,6.037097
0.010000,2.279214,3.739516,0.787762,1.639472,1.965334,1.441821,6.032385
0.010000,2.295278,3.735360,0.804355,1.659273,1.980076,1.474245,6.027650
0.010000,2.311514,3.731077,0.821147,1.679224,1.995138,1.506197,6.022894
0.010000,2.327925,3.726664,0.838141,1.699329,2.010513,1.537507,6.018118
0.010000,2.344509,3.722120,0.855336,1.719591,2.026195,1.568154,6.013323
0.010000,2.361268,3.717440,0.872737,1.740013,2.042175,1.598080,6.008511
0.010000,2.378203,3.712624,0.890343,1.760597,2.058448,1.627231,6.003683
0.010000,2.395313,3.707668,0.908156,1.781347,2.075003,1.655560,5.998841
0.010000,2.412600,3.702570,0.926179,1.802266,2.091833,1.683010,5.993986
0.010000,2.430063,3.697328,0.944412,1.823355,2.108928,1.709469,5.989119
0.010000,2.447705,3.691938,0.962858,1.844618,2.126279,1.735044,5.984242
0.010000,2.465524,3.686399,0.981519,1.866056,2.143873,1.759491,5.979357
0.010000,2.483522,3.680707,1.000396,1.887674,2.161703,1.782919,5.974465
0.010000,2.501700,3.674861,1.019490,1.909471,2.179755,1.805221,5.969568
0.010000,2.520058,3.668857,1.038805,1.931451,2.198019,1.826362,5.964666
0.010000,2.538596,3.662694,1.058341,1.953616,2.216482,1.846316,5.959763
0.010000,2.557316,3.656368,1.078101,1.975967,2.235132,1.865066,5.954859
0.010000,2.576217,3.649877,1.098086,1.998507,2.253958,1.882531,5.949956
0.010000,2.595302,3.643219,1.118298,2.021236,2.272945,1.898772,5.945055
0.010000,2.614569,3.636391,1.138740,2.044157,2.292082,1.913677,5.940159
0.010000,2.634020,3.629390,1.159412,2.067271,2.311355,1.927304,5.935269
0.010000,2.653656,3.622214,1.180318,2.090578,2.330751,1.939597,5.930387
0.010000,2.673477,3.614861,1.201459,2.114081,2.350257,1.950569,5.925513
0.010000,2.693483,3.607328,1.222837,2.137779,2.369859,1.960204,5.920651
0.010000,2.713676,3.599613,1.244454,2.161675,2.389544,1.968513,5.915802
0.010000,2.734056,3.591713,1.266311,2.185768,2.409299,1.975496,5.910967
0.010000,2.754624,3.583625,1.288412,2.210059,2.429111,1.981167,5.906148
0.010000,2.775380,3.575348,1.310757,2.234549,2.448966,1.985537,5.901347
0.010000,2.796325,3.566880,1.333350,2.259237,2.468852,1.988625,5.896565
0.010000,2.817460,3.558217,1.356191,2.284125,2.488757,1.990456,5.891805
0.010000,2.838785,3.549357,1.379283,2.309211,2.508667,1.991058,5.887067
0.010000,2.860301,3.540299,1.402628,2.334497,2.528572,1.990458,5.882355
0.010000,2.882008,3.531040,1.426228,2.359982,2.548459,1.988701,5.877669
0.010000,2.903908,3.521577,1.450085,2.385665,2.568317,1.985813,5.873010
0.010000,2.926001,3.511909,1.474200,2.411546,2.588136,1.981857,5.868382
0.010000,2.948287,3.502034,1.498576,2.437625,2.607904,1.976850,5.863785
0.010000,2.970768,3.491949,1.523215,2.463901,2.627613,1.970892,5.859222
0.010000,2.993444,3.481653,1.548119,2.490374,2.647253,1.963972,5.854693
0.010000,3.016315,3.471143,1.573289,2.517042,2.666815,1.956206,5.850201
0.010000,3.039382,3.460418,1.598728,2.543905,2.686291,1.947624,5.845747
0.010000,3.062647,3.449475,1.624438,2.570962,2.705674,1.938289,5.841334
0.010000,3.086109,3.438313,1.650420,2.598211,2.724957,1.928279,5.836962
0.010000,3.109770,3.426930,1.676677,2.625653,2.744133,1.917654,5.832633
0.010000,3.133630,3.415325,1.703210,2.653285,2.763198,1.906480,5.828349
0.010000,3.157691,3.403495,1.730021,2.681106,2.782147,1.894839,5.824111
0.010000,3.181952,3.391440,1.757112,2.709116,2.800974,1.882789,5.819922
0.010000,3.206414,3.379157,1.784485,2.737313,2.819679,1.870426,5.815783
0.010000,3.231079,3.366645,1.812142,2.765695,2.838257,1.857803,5.811695
0.010000,3.255947,3.353902,1.840084,2.794262,2.856707,1.844996,5.807660
0.010000,3.281019,3.340928,1.868315,2.823013,2.875028,1.832107,5.803679
0.010000,3.306296,3.327721,1.896834,2.851945,2.893220,1.819212,5.799755
0.010000,3.331779,3.314280,1.925645,2.881058,2.911283,1.806330,5.795888
0.010000,3.357469,3.300604,1.954748,2.910350,2.929219,1.793609,5.792081
0.010000,3.383367,3.286691,1.984146,2.939820,2.947030,1.781127,5.788334
0.010000,3.409473,3.272540,2.013841,2.969467,2.964719,1.768879,5.784649
0.010000,3.435789,3.258152,2.043834,2.999290,2.982290,1.757034,5.781029
0.010000,3.462316,3.243524,2.074127,3.029288,2.999746,1.745624,5.777474
0.010000,3.489055,3.228656,2.104721,3.059459,3.017093,1.734730,5.773985
0.010000,3.516007,3.213547,2.135619,3.089802,3.034337,1.724415,5.770565
0.010000,3.543174,3.198198,2.166823,3.120317,3.051485,1.714788,5.767214
0.010000,3.570556,3.182606,2.198333,3.151002,3.068544,1.705882,5.763935
0.010000,3.598155,3.166772,2.230151,3.181857,3.085522,1.697793,5.760729
