dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.800097,13.500000,0.000119,0.011855,0.592771,29.638543,0.000000
0.020000,4.800571,13.500000,0.000593,0.035566,1.185542,29.638543,0.000000
0.020000,4.801638,13.500000,0.001660,0.071133,1.778313,29.638543,0.000000
0.020000,4.803535,13.500000,0.003557,0.118554,2.371083,29.638543,0.000000
0.020000,4.806498,13.500000,0.006520,0.177831,2.963854,29.638543,0.000000
0.020000,4.810766,13.500000,0.010788,0.248964,3.556625,29.638543,0.000000
0.020000,4.816576,13.500000,0.016598,0.331952,4.149396,29.638543,0.000000
0.020000,4.824163,13.500000,0.024185,0.426795,4.742167,29.638543,0.000000
0.020000,4.833766,13.500000,0.033788,0.533494,5.334938,29.638543,0.000000
0.020000,4.845621,13.500000,0.045643,0.652048,5.927709,29.638543,0.000000
0.020000,4.859848,13.500000,0.059870,0.770602,5.927709,0.000000,0.000000
0.020000,4.876445,13.500000,0.076467,0.889156,5.927709,-0.000000,0.000000
0.020000,4.895414,13.500000,0.095436,1.007710,5.927709,0.000000,0.000000
0.020000,4.916754,13.500000,0.116776,1.126265,5.927709,-0.000000,0.000000
0.020000,4.940465,13.500000,0.140487,1.244819,5.927709,0.000000,0.000000
0.020000,4.966547,13.500000,0.166569,1.363373,5.927709,-0.000000,0.000000
0.020000,4.995000,13.500000,0.195022,1.481927,5.927709,-0.000000,0.000000
0.020000,5.025824,13.500000,0.225846,1.600481,5.927709,0.000000,0.000000
0.020000,5.059019,13.500000,0.259041,1.719035,5.927709,-0.000000,0.000000
0.020000,5.094585,13.500000,0.294607,1.837590,5.927709,-0.000000,0.000000
0.020000,5.132522,13.500000,0.332544,1.956144,5.927709,0.000000,0.000000
0.020000,5.172831,13.500000,0.372853,2.074698,5.927709,0.000000,0.000000
0.020000,5.215510,13.500000,0.415532,2.193252,5.927709,-0.000000,0.000000
0.020000,5.260561,13.500000,0.460583,2.311806,5.927709,0.000000,0.000000
0.020000,5.307983,13.500000,0.508005,2.430361,5.927709,0.000000,0.000000
0.020000,5.357775,13.500000,0.557797,2.548915,5.927709,-0.000000,0.000000
0.020000,5.409821,13.500000,0.609843,2.655613,5.334938,-29.638543,0.000000
0.020000,5.463881,13.500000,0.663903,2.750457,4.742167,-29.638543,0.000000
0.020000,5.519720,13.500000,0.719742,2.833445,4.149396,-29.638543,0.000000
0.020000,5.577101,13.500000,0.777123,2.904577,3.556625,-29.638543,0.000000
0.020000,5.635785,13.500000,0.835807,2.963854,2.963854,-29.638543,0.000000
0.020000,5.695536,13.500000,0.895558,3.011276,2.371083,-29.638543,0.000000
0.020000,5.756117,13.500000,0.956139,3.046842,1.778313,-29.638543,0.000000
0.020000,5.817291,13.500000,1.017313,3.070553,1.185542,-29.638543,0.000000
0.020000,5.878821,13.500000,1.078843,3.082408,0.592771,-29.638543,0.000000
0.020000,5.940432,13.500000,1.140454,3.078695,-0.185693,-38.923199,0.000000
0.020000,6.001850,13.500000,1.201872,3.063125,-0.778464,-29.638543,0.000000
0.020000,6.062838,13.500000,1.262860,3.035701,-1.371235,-29.638543,0.000000
0.020000,6.123160,13.500000,1.323182,2.996420,-1.964006,-29.638543,0.000000
0.020000,6.182577,13.500000,1.382599,2.945285,-2.556777,-29.638543,0.000000
0.020000,6.240853,13.500000,1.440875,2.882294,-3.149547,-29.638543,0.000000
0.020000,6.297750,13.500000,1.497772,2.807448,-3.742318,-29.638543,0.000000
0.020000,6.353032,13.500000,1.553054,2.720746,-4.335089,-29.638543,0.000000
0.020000,6.406461,13.500000,1.606483,2.622189,-4.927860,-29.638543,0.000000
0.020000,6.457801,13.500000,1.657823,2.511776,-5.520631,-29.638543,0.000000
0.020000,6.506851,13.500000,1.706873,2.393222,-5.927709,-20.353887,0.000000
0.020000,6.553530,13.500000,1.753552,2.274668,-5.927709,0.000000,0.000000
0.020000,6.597838,13.500000,1.797860,2.156114,-5.927709,-0.000000,0.000000
0.020000,6.639774,13.500000,1.839796,2.037559,-5.927709,0.000000,0.000000
0.020000,6.679340,13.500000,1.879362,1.919005,-5.927709,-0.000000,0.000000
0.020000,6.716534,13.500000,1.916556,1.800451,-5.927709,0.000000,0.000000
0.020000,6.751358,13.500000,1.951380,1.681897,-5.927709,0.000000,0.000000
0.020000,6.783810,13.500000,1.983832,1.563343,-5.927709,-0.000000,0.000000
0.020000,6.813892,13.500000,2.013914,1.444789,-5.927709,0.000000,0.000000
0.020000,6.841602,13.500000,2.041624,1.326234,-5.927709,-0.000000,0.000000
0.020000,6.866941,13.500000,2.066963,1.207680,-5.927709,0.000000,0.000000
0.020000,6.889909,13.500000,2.089931,1.089126,-5.927709,-0.000000,0.000000
0.020000,6.910506,13.500000,2.110528,0.970572,-5.927709,0.000000,0.000000
0.020000,6.928732,13.500000,2.128754,0.852018,-5.927709,-0.000000,0.000000
0.020000,6.944587,13.500000,2.144609,0.733463,-5.927709,-0.000000,0.000000
0.020000,6.958071,13.500000,2.158093,0.614909,-5.927709,0.000000,0.000000
0.020000,6.969220,13.500000,2.169242,0.500069,-5.742015,9.284656,0.000000
0.020000,6.978192,13.500000,2.178214,0.397084,-5.149245,29.638543,0.000000
0.020000,6.985222,13.500000,2.185244,0.305955,-4.556474,29.638543,0.000000
0.020000,6.990549,13.500000,2.190571,0.226681,-3.963703,29.638543,0.000000
0.020000,6.994408,13.500000,2.194430,0.159262,-3.370932,29.638543,0.000000
0.020000,6.997038,13.500000,2.197060,0.103699,-2.778161,29.638543,0.000000
0.020000,6.998674,13.500000,2.198696,0.059991,-2.185390,29.638543,0.000000
0.020000,6.999556,13.500000,2.199578,0.028139,-1.592619,29.638543,0.000000
0.020000,6.999919,13.500000,2.199941,0.008142,-0.999849,29.638543,0.000000
0.020000,7.000000,13.500000,2.200022,0.000000,-0.407078,29.638543,0.000000
0.020000,7.000000,13.500000,2.200022,0.000000,0.000000,20.353887,0.000000
