dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.500000,10.160000,0.000012,0.002489,0.248879,24.887914,0.000000
0.010000,1.500047,10.160000,0.000060,0.004722,0.223319,-2.556043,0.000000
0.010000,1.500159,10.160000,0.000172,0.011200,0.647758,42.443957,0.000000
0.010000,1.500358,10.160000,0.000371,0.019910,0.871077,22.331871,0.000000
0.010000,1.500669,10.160000,0.000682,0.031110,1.119956,24.887914,0.000000
0.010000,1.501117,10.160000,0.001130,0.044798,1.368835,24.887914,0.000000
0.010000,1.501727,10.160000,0.001740,0.060975,1.617714,24.887914,0.000000
0.010000,1.502524,10.160000,0.002536,0.079641,1.866594,24.887914,0.000000
0.010000,1.503532,10.160000,0.003544,0.100796,2.115473,24.887914,0.000000
0.010000,1.504776,10.160000,0.004788,0.124440,2.364352,24.887914,0.000000
0.010000,1.506282,10.160000,0.006294,0.150572,2.613231,24.887914,0.000000
0.010000,1.508074,10.160000,0.008086,0.179193,2.862110,24.887914,0.000000
0.010000,1.510177,10.160000,0.010189,0.210303,3.110989,24.887914,0.000000
0.010000,1.512616,10.160000,0.012628,0.243902,3.359868,24.887914,0.000000
0.010000,1.515416,10.160000,0.015428,0.279989,3.608748,24.887914,0.000000
0.010000,1.518601,10.160000,0.018614,0.318565,3.857627,24.887914,0.000000
0.010000,1.522185,10.160000,0.022197,0.358386,3.982066,12.443957,0.000000
0.010000,1.526167,10.160000,0.026180,0.398207,3.982066,0.000000,0.000000
0.010000,1.530547,10.160000,0.030560,0.438027,3.982066,-0.000000,0.000000
0.010000,1.535326,10.160000,0.035338,0.477848,3.982066,0.000000,0.000000
0.010000,1.540503,10.160000,0.040515,0.517669,3.982066,-0.000000,0.000000
0.010000,1.546077,10.160000,0.046090,0.557489,3.982066,0.000000,0.000000
0.010000,1.552051,10.160000,0.052063,0.597310,3.982066,-0.000000,0.000000
0.010000,1.558422,10.160000,0.058434,0.637131,3.982066,0.000000,0.000000
0.010000,1.565191,10.160000,0.065204,0.676951,3.982066,0.000000,0.000000
0.010000,1.572359,10.160000,0.072371,0.716772,3.982066,0.000000,0.000000
0.010000,1.579925,10.160000,0.079937,0.756593,3.982066,-0.000000,0.000000
0.010000,1.587889,10.160000,0.087902,0.796413,3.982066,0.000000,0.000000
0.010000,1.596251,10.160000,0.096264,0.836234,3.982066,0.000000,0.000000
0.010000,1.605012,10.160000,0.105024,0.876055,3.982066,0.000000,0.000000
0.010000,1.614171,10.160000,0.114183,0.915875,3.982066,-0.000000,0.000000
0.010000,1.623728,10.160000,0.123740,0.955696,3.982066,0.000000,0.000000
0.010000,1.633683,10.160000,0.133695,0.995517,3.982066,-0.000000,0.000000
0.010000,1.644036,10.160000,0.144049,1.035337,3.982066,0.000000,0.000000
0.010000,1.654788,10.160000,0.154800,1.075158,3.982066,0.000000,0.000000
0.010000,1.665938,10.160000,0.165950,1.114979,3.982066,0.000000,0.000000
0.010000,1.677486,10.160000,0.177498,1.154799,3.982066,-0.000000,0.000000
0.010000,1.689432,10.160000,0.189444,1.194620,3.982066,-0.000000,0.000000
0.010000,1.701776,10.160000,0.201789,1.234441,3.982066,-0.000000,0.000000
0.010000,1.714519,10.160000,0.214531,1.274261,3.982066,0.000000,0.000000
0.010000,1.727660,10.160000,0.227672,1.314082,3.982066,0.000000,0.000000
0.010000,1.741199,10.160000,0.241211,1.353903,3.982066,-0.000000,0.000000
0.010000,1.755136,10.160000,0.255148,1.393723,3.982066,0.000000,0.000000
0.010000,1.769471,10.160000,0.269484,1.433544,3.982066,-0.000000,0.000000
0.010000,1.784205,10.160000,0.284217,1.473365,3.982066,0.000000,0.000000
0.010000,1.799337,10.160000,0.299349,1.513185,3.982066,0.000000,0.000000
0.010000,1.814867,10.160000,0.314879,1.553006,3.982066,0.000000,0.000000
0.010000,1.830795,10.160000,0.330808,1.592826,3.982066,0.000000,0.000000
0.010000,1.847122,10.160000,0.347134,1.632647,3.982066,-0.000000,0.000000
0.010000,1.863846,10.160000,0.363859,1.672468,3.982066,0.000000,0.000000
0.010000,1.880969,10.160000,0.380982,1.712288,3.982066,-0.000000,0.000000
0.010000,1.898490,10.160000,0.398503,1.752109,3.982066,0.000000,0.000000
0.010000,1.916410,10.160000,0.416422,1.791930,3.982066,-0.000000,0.000000
0.010000,1.934727,10.160000,0.434740,1.831750,3.982066,0.000000,0.000000
0.010000,1.953430,10.160000,0.453443,1.870327,3.857627,-12.443957,0.000000
0.010000,1.972494,10.160000,0.472507,1.906414,3.608748,-24.887914,0.000000
0.010000,1.991895,10.160000,0.491907,1.940013,3.359868,-24.887914,0.000000
0.010000,2.011606,10.160000,0.511618,1.971123,3.110989,-24.887914,0.000000
0.010000,2.031603,10.160000,0.531616,1.999744,2.862110,-24.887914,0.000000
0.010000,2.051862,10.160000,0.551874,2.025876,2.613231,-24.887914,0.000000
0.010000,2.072357,10.160000,0.572370,2.049520,2.364352,-24.887914,0.000000
0.010000,2.093064,10.160000,0.593076,2.070674,2.115473,-24.887914,0.000000
0.010000,2.113957,10.160000,0.613970,2.089340,1.866594,-24.887914,0.000000
0.010000,2.135013,10.160000,0.635025,2.105518,1.617714,-24.887914,0.000000
0.010000,2.156205,10.160000,0.656217,2.119206,1.368835,-24.887914,0.000000
0.010000,2.177509,10.160000,0.677521,2.130405,1.119956,-24.887914,0.000000
0.010000,2.198900,10.160000,0.698912,2.139116,0.871077,-24.887914,0.000000
0.010000,2.220353,10.160000,0.720366,2.145338,0.622198,-24.887914,0.000000
0.010000,2.241844,10.160000,0.741856,2.149071,0.373319,-24.887914,0.000000
0.010000,2.263344,10.160000,0.763357,2.150014,0.094312,-27.900668,0.000000
0.010000,2.284826,10.160000,0.784838,2.148168,-0.184695,-27.900668,0.000000
0.010000,2.306264,10.160000,0.806277,2.143832,-0.433574,-24.887914,0.000000
0.010000,2.327634,10.160000,0.827647,2.137007,-0.682453,-24.887914,0.000000
0.010000,2.348911,10.160000,0.848924,2.127694,-0.931332,-24.887914,0.000000
0.010000,2.370070,10.160000,0.870082,2.115892,-1.180211,-24.887914,0.000000
0.010000,2.391086,10.160000,0.891098,2.101601,-1.429090,-24.887914,0.000000
0.010000,2.411934,10.160000,0.911947,2.084821,-1.677969,-24.887914,0.000000
0.010000,2.432590,10.160000,0.932602,2.065553,-1.926849,-24.887914,0.000000
0.010000,2.453028,10.160000,0.953040,2.043795,-2.175728,-24.887914,0.000000
0.010000,2.473223,10.160000,0.973236,2.019549,-2.424607,-24.887914,0.000000
0.010000,2.493151,10.160000,0.993164,1.992815,-2.673486,-24.887914,0.000000
0.010000,2.512787,10.160000,1.012800,1.963591,-2.922365,-24.887914,0.000000
0.010000,2.532106,10.160000,1.032118,1.931878,-3.171244,-24.887914,0.000000
0.010000,2.551083,10.160000,1.051095,1.897677,-3.420123,-24.887914,0.000000
0.010000,2.569693,10.160000,1.069705,1.860987,-3.669003,-24.887914,0.000000
