dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.375009,14.498300,0.000030,0.005970,0.597015,59.701493,6.283185
0.010000,1.375129,14.498300,0.000150,0.012001,0.603114,0.609900,6.283185
0.010000,1.375399,14.498300,0.000420,0.027003,1.500159,89.704463,6.283184
0.010000,1.375879,14.498300,0.000900,0.048005,2.100215,60.005641,6.283181
0.010000,1.376629,14.498300,0.001650,0.075008,2.700261,60.004566,6.283178
0.010000,1.377679,14.498300,0.002700,0.105010,3.000260,29.999959,6.283174
0.010000,1.379029,14.498300,0.004050,0.135012,3.000215,-0.004498,6.283168
0.010000,1.380679,14.498300,0.005700,0.165014,3.000157,-0.005783,6.283161
0.010000,1.382629,14.498300,0.007651,0.195015,3.000087,-0.007068,6.283152
0.010000,1.384879,14.498300,0.009901,0.225015,3.000003,-0.008354,6.283142
0.010000,1.387430,14.498300,0.012451,0.255014,2.999907,-0.009639,6.283131
0.010000,1.390280,14.498299,0.015301,0.285012,2.999798,-0.010924,6.283119
0.010000,1.393430,14.498299,0.018451,0.315009,2.999675,-0.012209,6.283106
0.010000,1.396880,14.498299,0.021901,0.345004,2.999541,-0.013494,6.283091
0.010000,1.400630,14.498299,0.025651,0.374998,2.999393,-0.014780,6.283075
0.010000,1.404680,14.498298,0.029701,0.404990,2.999232,-0.016065,6.283058
0.010000,1.409030,14.498298,0.034051,0.434981,2.999059,-0.017350,6.283039
0.010000,1.413679,14.498297,0.038700,0.464970,2.998872,-0.018635,6.283020
0.010000,1.418629,14.498296,0.043650,0.494956,2.998673,-0.019920,6.282999
0.010000,1.423878,14.498295,0.048899,0.524941,2.998461,-0.021206,6.282977
0.010000,1.429427,14.498294,0.054449,0.554923,2.998236,-0.022491,6.282954
0.010000,1.435276,14.498292,0.060298,0.584903,2.997998,-0.023776,6.282930
0.010000,1.441425,14.498291,0.066447,0.614881,2.997748,-0.025061,6.282904
0.010000,1.447874,14.498289,0.072895,0.644856,2.997484,-0.026346,6.282878
0.010000,1.454622,14.498287,0.079643,0.674828,2.997208,-0.027632,6.282851
0.010000,1.461670,14.498284,0.086691,0.704797,2.996919,-0.028917,6.282822
0.010000,1.469018,14.498281,0.094039,0.734763,2.996617,-0.030202,6.282793
0.010000,1.476665,14.498278,0.101686,0.764726,2.996302,-0.031487,6.282763
0.010000,1.484612,14.498275,0.109633,0.794686,2.995974,-0.032773,6.282732
0.010000,1.492858,14.498271,0.117879,0.824642,2.995634,-0.034058,6.282699
0.010000,1.501404,14.498267,0.126425,0.854595,2.995280,-0.035343,6.282666
0.010000,1.510250,14.498262,0.135271,0.884544,2.994914,-0.036628,6.282632
0.010000,1.519395,14.498257,0.144416,0.914489,2.994535,-0.037914,6.282598
0.010000,1.528839,14.498251,0.153860,0.944431,2.994143,-0.039199,6.282562
0.010000,1.538583,14.498245,0.163604,0.974368,2.993738,-0.040484,6.282526
0.010000,1.548626,14.498238,0.173647,1.004301,2.993320,-0.041769,6.282489
0.010000,1.558968,14.498230,0.183989,1.034230,2.992890,-0.043055,6.282452
0.010000,1.569609,14.498222,0.194631,1.064155,2.992446,-0.044340,6.282413
0.010000,1.580550,14.498214,0.205571,1.094075,2.991990,-0.045625,6.282375
0.010000,1.591790,14.498204,0.216811,1.123990,2.991521,-0.046910,6.282335
0.010000,1.603329,14.498194,0.228350,1.153900,2.991039,-0.048195,6.282295
0.010000,1.615167,14.498184,0.240188,1.183806,2.990544,-0.049481,6.282255
0.010000,1.627304,14.498172,0.252325,1.213706,2.990036,-0.050766,6.282214
0.010000,1.639740,14.498160,0.264761,1.243601,2.989516,-0.052051,6.282173
0.010000,1.652475,14.498147,0.277496,1.273491,2.988983,-0.053336,6.282131
0.010000,1.665509,14.498133,0.290530,1.303375,2.988436,-0.054622,6.282090
0.010000,1.678841,14.498118,0.303863,1.333254,2.987877,-0.055907,6.282048
0.010000,1.692473,14.498102,0.317494,1.363127,2.987305,-0.057192,6.282005
0.010000,1.706403,14.498085,0.331424,1.392994,2.986721,-0.058477,6.281963
0.010000,1.720631,14.498067,0.345652,1.422856,2.986123,-0.059763,6.281921
0.010000,1.735158,14.498049,0.360179,1.452711,2.985512,-0.061048,6.281878
0.010000,1.749984,14.498029,0.375005,1.482560,2.984889,-0.062333,6.281836
0.010000,1.765108,14.498008,0.390129,1.512402,2.984253,-0.063618,6.281793
0.010000,1.780530,14.497987,0.405551,1.542238,2.983604,-0.064904,6.281751
0.010000,1.796251,14.497964,0.421272,1.572068,2.982942,-0.066189,6.281709
0.010000,1.812270,14.497940,0.437291,1.601890,2.982267,-0.067474,6.281667
0.010000,1.828587,14.497915,0.453608,1.631706,2.981580,-0.068759,6.281626
0.010000,1.845202,14.497888,0.470223,1.661515,2.980879,-0.070044,6.281584
0.010000,1.862115,14.497861,0.487136,1.691317,2.980166,-0.071330,6.281544
0.010000,1.879326,14.497832,0.504348,1.721111,2.979440,-0.072615,6.281503
0.010000,1.896835,14.497802,0.521857,1.750898,2.978701,-0.073900,6.281464
0.010000,1.914642,14.497771,0.539663,1.780678,2.977949,-0.075185,6.281424
0.010000,1.932746,14.497739,0.557768,1.810449,2.977184,-0.076470,6.281386
0.010000,1.951148,14.497706,0.576170,1.840213,2.976407,-0.077755,6.281348
0.010000,1.969848,14.497671,0.594870,1.869970,2.975616,-0.079041,6.281311
0.010000,1.988845,14.497635,0.613867,1.899718,2.974813,-0.080326,6.281275
0.010000,2.008140,14.497598,0.633161,1.929458,2.973997,-0.081611,6.281240
0.010000,2.027732,14.497559,0.652753,1.959189,2.973168,-0.082896,6.281206
0.010000,2.047621,14.497520,0.672642,1.988913,2.972326,-0.084181,6.281173
0.010000,2.067807,14.497479,0.692829,2.018627,2.971472,-0.085467,6.281142
0.010000,2.088290,14.497437,0.713312,2.048333,2.970604,-0.086752,6.281111
0.010000,2.109070,14.497393,0.734092,2.078031,2.969724,-0.088037,6.281082
0.010000,2.130148,14.497349,0.755170,2.107719,2.968830,-0.089322,6.281054
