dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.375009,12.168300,0.000030,0.005970,0.597015,59.701493,6.283185
0.010000,1.375127,12.168300,0.000149,0.011879,0.590916,-0.609900,6.283185
0.010000,1.375395,12.168300,0.000416,0.026728,1.484916,89.400014,6.283184
0.010000,1.375870,12.168300,0.000891,0.047517,2.078890,59.397344,6.283181
0.010000,1.376612,12.168300,0.001634,0.074246,2.672874,59.398419,6.283178
0.010000,1.377652,12.168300,0.002673,0.103945,2.969889,29.701534,6.283174
0.010000,1.378988,12.168300,0.004009,0.133644,2.969934,0.004498,6.283168
0.010000,1.380622,12.168300,0.005643,0.163344,2.969992,0.005783,6.283161
0.010000,1.382552,12.168300,0.007573,0.193045,2.970063,0.007068,6.283152
0.010000,1.384780,12.168300,0.009801,0.222746,2.970146,0.008354,6.283142
0.010000,1.387304,12.168300,0.012325,0.252449,2.970242,0.009639,6.283131
0.010000,1.390126,12.168299,0.015147,0.282152,2.970352,0.010924,6.283119
0.010000,1.393244,12.168299,0.018265,0.311857,2.970474,0.012209,6.283106
0.010000,1.396660,12.168299,0.021681,0.341563,2.970609,0.013494,6.283091
0.010000,1.400372,12.168299,0.025394,0.371271,2.970757,0.014780,6.283075
0.010000,1.404382,12.168298,0.029404,0.400980,2.970917,0.016065,6.283058
0.010000,1.408689,12.168298,0.033710,0.430691,2.971091,0.017350,6.283039
0.010000,1.413293,12.168297,0.038314,0.460404,2.971277,0.018635,6.283020
0.010000,1.418194,12.168296,0.043216,0.490118,2.971476,0.019920,6.282999
0.010000,1.423393,12.168295,0.048414,0.519835,2.971688,0.021206,6.282977
0.010000,1.428888,12.168294,0.053910,0.549554,2.971913,0.022491,6.282954
0.010000,1.434681,12.168292,0.059702,0.579276,2.972151,0.023776,6.282930
0.010000,1.440771,12.168291,0.065792,0.609000,2.972402,0.025061,6.282904
0.010000,1.447158,12.168289,0.072180,0.638726,2.972665,0.026346,6.282878
0.010000,1.453843,12.168287,0.078864,0.668456,2.972941,0.027632,6.282851
0.010000,1.460825,12.168284,0.085846,0.698188,2.973231,0.028917,6.282822
0.010000,1.468104,12.168281,0.093125,0.727924,2.973533,0.030202,6.282793
0.010000,1.475681,12.168278,0.100702,0.757662,2.973847,0.031487,6.282763
0.010000,1.483555,12.168275,0.108576,0.787404,2.974175,0.032773,6.282732
0.010000,1.491726,12.168271,0.116747,0.817149,2.974516,0.034058,6.282699
0.010000,1.500195,12.168267,0.125216,0.846898,2.974869,0.035343,6.282666
0.010000,1.508962,12.168262,0.133983,0.876650,2.975235,0.036628,6.282632
0.010000,1.518026,12.168257,0.143047,0.906406,2.975615,0.037914,6.282598
