dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.004139,23.999999,0.003704,0.148148,2.962963,59.259259,6.282613
0.050000,0.017034,23.999980,0.016599,0.257898,2.194992,-15.359427,6.280829
0.050000,0.038528,23.999897,0.038093,0.429883,3.439712,24.894398,6.277853
0.050000,0.068625,23.999674,0.068190,0.601946,3.441251,0.030787,6.273682
0.050000,0.107327,23.999202,0.106895,0.774109,3.443256,0.040102,6.268310
0.050000,0.154639,23.998343,0.154215,0.946387,3.445573,0.046348,6.261731
0.050000,0.210560,23.996925,0.210154,1.118787,3.447999,0.048514,6.253940
0.050000,0.275088,23.994746,0.274719,1.291301,3.450276,0.045530,6.244930
0.050000,0.348215,23.991573,0.347915,1.463905,3.452088,0.036245,6.234698
0.050000,0.429923,23.987139,0.429742,1.636558,3.453060,0.019445,6.223240
0.050000,0.520184,23.981147,0.520202,1.809196,3.452754,-0.006131,6.210557
0.050000,0.618957,23.973270,0.619289,1.981729,3.450667,-0.041726,6.196655
0.050000,0.726182,23.963152,0.726991,2.154042,3.446241,-0.088527,6.181544
0.050000,0.841781,23.950409,0.843290,2.325985,3.438864,-0.147534,6.165244
0.050000,0.965650,23.934633,0.968159,2.497379,3.427890,-0.219481,6.147781
0.050000,1.097656,23.915396,1.101560,2.668012,3.412656,-0.304673,6.129193
0.050000,1.237638,23.892255,1.243442,2.837638,3.392515,-0.402825,6.109531
0.050000,1.385400,23.864755,1.393741,3.005981,3.366868,-0.512951,6.088859
0.050000,1.540711,23.832439,1.552378,3.172742,3.335209,-0.633181,6.067256
0.050000,1.703303,23.794853,1.719258,3.337600,3.297172,-0.760740,6.044817
0.050000,1.872874,23.751557,1.894269,3.500229,3.252576,-0.891916,6.021653
0.050000,2.049089,23.702132,2.077284,3.660302,3.201466,-1.022200,5.997893
0.050000,2.231583,23.646190,2.268160,3.817509,3.144140,-1.146508,5.973680
0.050000,2.419966,23.583381,2.466738,3.971567,3.081162,-1.259558,5.949170
0.050000,2.613835,23.513402,2.672850,4.122235,3.013347,-1.356313,5.924535
0.050000,2.812776,23.436006,2.886316,4.269321,2.941722,-1.432493,5.899952
0.050000,3.016379,23.351002,3.106951,4.412694,2.867470,-1.485051,5.875608
0.050000,3.220496,23.259990,3.330439,4.469771,1.141532,-34.518750,5.852115
0.050000,3.421258,23.164925,3.552571,4.442630,-0.542811,-33.686852,5.829979
0.050000,3.618699,23.066194,3.773322,4.415026,-0.552090,-0.185589,5.809223
0.050000,3.812889,22.964170,3.992681,4.387181,-0.556894,-0.096072,5.789861
0.050000,4.003917,22.859211,4.210645,4.359283,-0.557969,-0.021519,5.771894
0.050000,4.191898,22.751658,4.427219,4.331480,-0.556050,0.038384,5.755317
0.050000,4.376960,22.641837,4.642414,4.303889,-0.551826,0.084486,5.740121
0.050000,4.559246,22.530056,4.856243,4.276593,-0.545927,0.117979,5.726289
0.050000,4.738906,22.416605,5.068726,4.249647,-0.538915,0.140241,5.713806
